faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",98701.0,566155.0,439778.0,366291.0,73487.0,22441.0,417337.0,457392.31,381283.42,76108.89,22101.95,435290.36,11607081.404,9988930.929,1618150.475,1732592.076,9874489.328,2.046173,2.112416,1.71432,6.320828,1.829127,1952.04946863297,2015.24446625759,1635.46089637542,6030.07035752327,1744.98719005366
B Indústrias extrativas,9730.0,201907.0,185966.0,163501.0,22465.0,31537.0,154429.0,186260.5,164000.94,22259.56,31099.02,155161.48,11616807.811,10079479.561,1537328.25,5044342.495,6572465.316,5.028915,4.955643,5.568757,13.078747,3.415487,4797.58510712767,4727.68376580881,5312.59464386399,12477.1245450574,3258.37479171327
C Indústrias de transformação,383380.0,7763580.0,7209270.0,5081365.0,2127905.0,905642.0,6303628.0,7312002.36,5134067.49,2177934.87,910110.05,6401892.31,290068880.964,224408462.283,65660418.681,103016933.628,187051947.336,3.198697,3.524406,2.4309,9.126893,2.355929,3051.55684377878,3362.28330461324,2319.07827298803,8707.05637174994,2247.55597826332
D Eletricidade e gás,2791.0,131624.0,126382.0,102920.0,23462.0,46921.0,79461.0,126743.46,103048.79,23694.67,47571.14,79172.32,12561863.252,10477370.96,2084492.292,7101263.898,5460599.354,7.991656,8.198185,7.093456,12.036504,5.561286,7624.03971953085,7821.06817855593,6767.15737856138,11482.8248613954,5305.4666599873
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",11949.0,412125.0,396884.0,320942.0,75942.0,54033.0,342851.0,390650.87,315031.67,75619.2,53489.54,337161.33,16903537.943,13687481.605,3216056.338,5313338.561,11590199.382,3.488969,3.503302,3.429255,8.009528,2.771797,3328.47626695811,3342.150331694,3271.50973663994,7641.08928299166,2644.29434601941
F Construção,236979.0,2202934.0,1827956.0,1645639.0,182317.0,116844.0,1711112.0,1843085.28,1660574.54,182510.74,116000.88,1727084.4,53147925.217,47506854.639,5641070.578,8760007.988,44387917.229,2.32514,2.30678,2.492191,6.089077,2.072333,2218.18381608974,2200.66810958648,2377.55052661558,5808.97979659889,1977.0053921288
G Comércio; reparação de veículos automotores e motocicletas,1791924.0,11277873.0,8838245.0,4936422.0,3901823.0,712489.0,8125756.0,8779607.95,4926220.62,3853387.33,703285.3,8076322.65,221432998.821,132896282.563,88536716.258,45251496.714,176181502.107,2.033647,2.17524,1.852631,5.188116,1.758956,1940.09888580678,2075.1792814315,1767.41034627079,4949.46270399137,1678.04381106542
"H Transporte, armazenagem e correio",217842.0,2611747.0,2312513.0,1908775.0,403738.0,245243.0,2067270.0,2322301.34,1919458.04,402843.3,244155.3,2078146.04,84647821.089,71025492.945,13622328.144,20878125.782,63769695.307,2.93904,2.983623,2.726613,6.89499,2.474267,2803.84407520516,2846.37608296334,2601.18859043283,6577.82024612393,2360.45065315118
I Alojamento e alimentação,292320.0,2262131.0,1866575.0,828315.0,1038260.0,88381.0,1778194.0,1863473.41,824153.01,1039320.4,89076.91,1774396.5,37124047.395,17660540.33,19463507.065,3624947.953,33499099.442,1.606351,1.727844,1.51001,3.281292,1.522267,1532.45865389705,1648.36272612496,1440.5498546491,3130.35275056992,1452.242383949
J Informação e comunicação,140855.0,1114588.0,902014.0,572187.0,329827.0,441976.0,460038.0,879496.38,556978.06,322518.32,427941.36,451555.02,55906550.278,38851095.66,17055454.618,41549749.78,14356800.498,5.125508,5.624364,4.264,7.82875,2.56363,4889.73458598938,5365.64370237492,4067.85588966996,7468.6274737771,2445.7025615105
