faixas,total_empresas,total_empresas_ate_1966,total_empresas_ate_1970,total_empresas_ate_1980,total_empresas_ate_1990,total_empresas_ate_1995,total_empresas_ate_2000,total_empresas_ate_2005,total_empresas_ate_2010,total_empresas_2011,total_empresas_2012,total_empresas_2013,total_empresas_2014,total_empresas_2015,total_empresas_2016,total_empresas_2017,total_empresas_2018,total_empresas_2019
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",101332.0,259.0,275.0,1186.0,2909.0,1750.0,2532.0,3725.0,42884.0,4857.0,4813.0,4769.0,4807.0,4805.0,5047.0,5077.0,5731.0,5906.0
B Indústrias extrativas,10745.0,134.0,102.0,594.0,1113.0,765.0,1235.0,1312.0,1824.0,466.0,455.0,486.0,390.0,339.0,352.0,358.0,389.0,431.0
C Indústrias de transformação,390555.0,3712.0,2326.0,10297.0,30494.0,28957.0,40176.0,47937.0,71390.0,18340.0,16598.0,16852.0,15630.0,15836.0,16483.0,17602.0,18891.0,19034.0
D Eletricidade e gás,4970.0,51.0,38.0,50.0,38.0,45.0,157.0,389.0,1028.0,288.0,219.0,248.0,275.0,343.0,228.0,256.0,467.0,850.0
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",12525.0,15.0,135.0,238.0,489.0,579.0,1145.0,1598.0,2413.0,626.0,667.0,703.0,615.0,621.0,643.0,705.0,682.0,651.0
F Construção,271425.0,599.0,559.0,4016.0,10246.0,9595.0,15793.0,21163.0,44407.0,15868.0,16173.0,17996.0,17052.0,16151.0,16789.0,19512.0,23149.0,22357.0
G Comércio; reparação de veículos automotores e motocicletas,1793803.0,7334.0,6690.0,33841.0,118545.0,121835.0,175973.0,229493.0,333606.0,77623.0,72309.0,76548.0,72959.0,77052.0,84184.0,94809.0,103310.0,107692.0
"H Transporte, armazenagem e correio",225363.0,646.0,610.0,2515.0,8016.0,9218.0,17519.0,27413.0,42453.0,12363.0,12652.0,13508.0,12530.0,11326.0,11835.0,13211.0,14625.0,14923.0
I Alojamento e alimentação,290608.0,1562.0,932.0,5266.0,15650.0,15409.0,21577.0,28698.0,48553.0,12464.0,12080.0,13839.0,13931.0,15214.0,17368.0,20152.0,23104.0,24809.0
J Informação e comunicação,158440.0,431.0,334.0,1199.0,4768.0,5739.0,11972.0,18384.0,28210.0,7620.0,7291.0,7242.0,7323.0,7933.0,8995.0,10938.0,13546.0,16515.0
"K Atividades financeiras, de seguros e serviços relacionados",133458.0,383.0,377.0,1447.0,4217.0,4974.0,9015.0,11974.0,18800.0,5469.0,6281.0,6674.0,7266.0,8939.0,9587.0,11003.0,12866.0,14186.0
L Atividades imobiliárias,131408.0,1366.0,889.0,3736.0,6475.0,4401.0,6149.0,9493.0,20479.0,6851.0,7613.0,8422.0,8270.0,9037.0,8745.0,9176.0,9882.0,10424.0
"M Atividades profissionais, científicas e técnicas",384040.0,448.0,599.0,3527.0,13982.0,13967.0,24971.0,36688.0,61793.0,17130.0,16572.0,17977.0,18131.0,22584.0,28181.0,31332.0,35664.0,40494.0
N Atividades administrativas e serviços complementares,514749.0,685.0,957.0,5007.0,45711.0,53188.0,49491.0,55737.0,74132.0,21159.0,21892.0,22952.0,23213.0,24118.0,24994.0,27844.0,30935.0,32734.0
"O Administração pública, defesa e seguridade social",18942.0,170.0,174.0,4643.0,2825.0,3028.0,2996.0,1790.0,1414.0,308.0,202.0,322.0,157.0,167.0,90.0,226.0,349.0,81.0
P Educação,190268.0,323.0,964.0,8968.0,10572.0,11042.0,33161.0,21487.0,31980.0,6624.0,6459.0,7153.0,6956.0,7146.0,7751.0,8740.0,10204.0,10738.0
Q Saúde humana e serviços sociais,279977.0,478.0,1820.0,4277.0,9417.0,10733.0,20412.0,24578.0,36226.0,9492.0,10552.0,12430.0,13338.0,17322.0,19949.0,24589.0,31327.0,33037.0
"R Artes, cultura, esporte e recreação",74090.0,230.0,1063.0,3445.0,4994.0,3149.0,4318.0,6550.0,11348.0,3099.0,3261.0,3856.0,4026.0,3973.0,4185.0,4844.0,5832.0,5917.0
S Outras atividades de serviços,252284.0,708.0,4736.0,14405.0,26709.0,19082.0,29381.0,31770.0,39297.0,9556.0,8186.0,8568.0,8195.0,8569.0,9563.0,10347.0,11660.0,11552.0
U Organismos internacionais e outras instituições extraterritoriais,267.0,74.0,5.0,23.0,13.0,8.0,30.0,32.0,40.0,5.0,12.0,7.0,6.0,4.0,4.0,1.0,2.0,1.0
