codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_part_rel,pessoal_ocup_part_acc,pessoal_ocup_assalariado,salario_medio_mensal_sal_min
84.11-6,Administração pública em geral,14624.0,6293096.0,11.8246191278382,11.8246191278382,6292958,3.649192
86.10-1,Atividades de atendimento hospitalar,17549.0,1900604.0,3.57120222110799,15.39582134894619,1863563,3.290602
56.11-2,Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,229043.0,1591834.0,2.99102870268357,18.38685005162976,1287768,1.490394
47.11-3,Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados,22599.0,1443699.0,2.71268558595656,21.09953563758632,1412449,1.669836
49.30-2,Transporte rodoviário de carga,139885.0,1093527.0,2.05471842174464,23.15425405933096,908180,2.321823
85.20-1,Ensino médio,2964.0,1002223.0,1.88315977638977,25.03741383572073,996662,3.415304
47.81-4,Comércio varejista de artigos do vestuário e acessórios,160808.0,857706.0,1.61161481942459,26.649028655145322,648842,1.718638
41.20-4,Construção de edifícios,88268.0,766451.0,1.4401482442268,28.089176899372124,626069,1.895447
47.44-0,Comércio varejista de ferragens, madeira e materiais de construção,135771.0,756230.0,1.42094316105222,29.510120060424345,571104,1.710432
81.21-4,Limpeza em prédios e em domicílios,9745.0,735577.0,1.38213652933275,30.892256589757096,723437,1.330884
81.12-5,Condomínios prediais,194391.0,721340.0,1.35538545124289,32.247642040999985,573528,2.089122
47.71-7,Comércio varejista de produtos farmacêuticos para uso humano e veterinário,73453.0,593667.0,1.11549008052099,33.36313212152098,485831,1.788024
86.30-5,Atividades de atenção ambulatorial executadas por médicos e odontólogos,162773.0,581725.0,1.09305126795168,34.456183389472656,309648,1.984771
85.32-5,Educação superior - graduação e pós-graduação,1692.0,579714.0,1.08927263354565,35.5454560230183,577084,6.434175
45.30-7,Comércio de peças e acessórios para veículos automotores,109539.0,570953.0,1.07281086525561,36.618266888273915,419915,1.913973
80.11-1,Atividades de vigilância e segurança privada,5349.0,529656.0,0.995214512661854,37.61348140093577,523160,2.030419
85.13-9,Ensino fundamental,12615.0,518252.0,0.973786592837675,38.587267993773445,497577,2.991687
47.12-1,Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns,137497.0,515153.0,0.967963625147817,39.55523161892126,352805,1.335475
84.24-8,Segurança e ordem pública,130.0,507093.0,0.952819023798914,40.50805064272018,507083,7.134993
47.89-0,Comércio varejista de outros produtos novos não especificados anteriormente,120286.0,489531.0,0.919820327906925,41.427870970627104,325829,1.679655
14.12-6,Confecção de peças do vestuário, exceto roupas íntimas,41059.0,477241.0,0.896727629324044,42.32459859995115,421036,1.585337
49.21-3,Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana,8913.0,441916.0,0.830352561997742,43.154951161948894,430170,2.223855
64.22-1,Bancos múltiplos, com carteira comercial,119.0,441028.0,0.828684025273446,43.98363518722234,440833,6.634267
82.20-2,Atividades de teleatendimento,2544.0,433698.0,0.814911081366813,44.798546268589156,430538,1.393721
78.20-5,Locação de mão-de-obra temporária,3102.0,432072.0,0.811855855337866,45.610402123927024,428087,1.673659
47.31-8,Comércio varejista de combustíveis para veículos automotores,39742.0,420260.0,0.789661310532253,46.40006343445928,355683,1.740206
69.20-6,Atividades de contabilidade, consultoria e auditoria contábil e tributária,70675.0,396336.0,0.744708526081737,47.144771960541014,293537,2.242124
10.12-1,Abate de suínos, aves e outros pequenos animais,935.0,383130.0,0.719894679256227,47.86466663979724,381710,2.173619
85.99-6,Atividades de ensino não especificadas anteriormente,58615.0,369803.0,0.694853475512204,48.55952011530945,283113,2.547203
47.21-1,Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes,53848.0,367755.0,0.691005318742656,49.2505254340521,295882,1.402908
55.10-8,Hotéis e similares,30977.0,367295.0,0.690140986655746,49.94066642070785,322163,1.742684
84.23-0,Justiça,141.0,361132.0,0.678560815673948,50.619227236381796,361123,11.944515
84.22-1,Defesa,283.0,350293.0,0.65819452113043,51.27742175751223,350292,5.174858
82.11-3,Serviços combinados de escritório e apoio administrativo,76242.0,336755.0,0.632756852016106,51.91017860952834,241162,1.8993
86.40-2,Atividades de serviços de complementação diagnóstica e terapêutica,27351.0,328625.0,0.617480721871369,52.527659331399704,268588,2.067951
56.20-1,Serviços de catering, bufê e outros serviços de comida preparada,23622.0,317944.0,0.597411306609876,53.12507063800958,287531,1.529996
82.99-7,Atividades de serviços prestados principalmente às empresas não especificadas anteriormente,47768.0,309744.0,0.582003647669305,53.707074285678885,237769,2.286606
45.20-0,Manutenção e reparação de veículos automotores,73229.0,296610.0,0.557325087605224,54.26439937328411,199789,1.713189
47.54-7,Comércio varejista especializado de móveis, colchoaria e artigos de iluminação,48070.0,272050.0,0.511177270095416,54.77557664337952,205927,1.732234
45.11-1,Comércio a varejo e por atacado de veículos automotores,29247.0,266592.0,0.500921781985948,55.276498425365475,228164,2.868457
71.12-0,Serviços de engenharia,51905.0,253048.0,0.475472838974838,55.75197126434031,176104,3.201707
81.11-7,Serviços combinados para apoio a edifícios, exceto condomínios prediais,9829.0,250922.0,0.471478121547076,56.22344938588739,238979,1.394863
85.31-7,Educação superior - graduação,1363.0,244587.0,0.459574765524085,56.68302415141148,242378,4.794973
47.82-2,Comércio varejista de calçados e artigos de viagem,31772.0,231815.0,0.435576397232747,57.118600548644224,188991,1.651537
85.12-1,Educação infantil - pré-escola,14770.0,223524.0,0.419997750857591,57.538598299501814,201188,1.763886
42.21-9,Obras para geração e distribuição de energia elétrica e para telecomunicações,3638.0,210716.0,0.395931739185538,57.93453003868735,205713,2.784294
19.31-4,Fabricação de álcool,323.0,209276.0,0.39322600395695,58.327756042644296,208832,2.8983
47.13-0,Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios,12905.0,200067.0,0.375922451373569,58.703678494017865,183348,2.041497
88.00-6,Serviços de assistência social sem alojamento,6599.0,197998.0,0.372034835965272,59.07571332998314,194220,2.306875
31.01-2,Fabricação de móveis com predominância de madeira,19856.0,197309.0,0.370740216817704,59.44645354680084,169340,1.929107
65.50-2,Planos de saúde,1262.0,197230.0,0.370591777176691,59.81704532397753,192319,3.001346
38.11-4,Coleta de resíduos não-perigosos,4393.0,194882.0,0.366179925567854,60.18322524954539,188874,2.207653
47.53-9,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,17679.0,191143.0,0.359154408887513,60.5423796584329,167502,2.077835
47.29-6,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo,42492.0,189958.0,0.356927814272321,60.89930747270522,134323,1.524411
10.91-1,Fabricação de produtos de panificação,18028.0,187895.0,0.353051472760809,61.25235894546603,163509,1.684742
68.10-2,Atividades imobiliárias de imóveis próprios,78960.0,186802.0,0.350997744562999,61.603356690029024,51221,2.99183
69.11-7,Atividades jurídicas, exceto cartórios,59675.0,186676.0,0.350760992730497,61.954117682759524,91075,3.059621
70.20-4,Atividades de consultoria em gestão empresarial,56379.0,182354.0,0.342640029079138,62.29675771183866,99880,4.9019
43.21-5,Instalações elétricas,21295.0,181466.0,0.340971492354842,62.6377292041935,152914,2.204004
10.11-2,Abate de reses, exceto suínos,1555.0,174880.0,0.328596511649646,62.96632571584314,172619,2.055958
94.91-0,Atividades de organizações religiosas,52140.0,174430.0,0.327750969390713,63.294076685233854,143996,1.896405
43.99-1,Serviços especializados para construção não especificados anteriormente,23633.0,171830.0,0.322865614116873,63.616942299350725,140494,2.054597
85.11-2,Educação infantil - creche,9478.0,170419.0,0.320214369389416,63.937156668740144,158748,1.818592
41.10-7,Incorporação de empreendimentos imobiliários,58993.0,159528.0,0.299750367740421,64.23690703648056,61816,2.091589
47.55-5,Comércio varejista especializado de tecidos e artigos de cama, mesa e banho,33395.0,159033.0,0.298820271255594,64.53572730773615,116042,1.453021
36.00-6,Captação, tratamento e distribuição de água,2203.0,156304.0,0.29369252720086,64.82941983493701,154692,5.207224
78.30-2,Fornecimento e gestão de recursos humanos para terceiros,961.0,153425.0,0.288282935726481,65.1177027706635,152213,1.82216
74.90-1,Atividades profissionais, científicas e técnicas não especificadas anteriormente,34728.0,150441.0,0.282676051058351,65.40037882172184,101600,3.828864
93.13-1,Atividades de condicionamento físico,30342.0,148495.0,0.279019550534162,65.679398372256,106662,1.481451
47.72-5,Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal,26833.0,148119.0,0.278313053002253,65.95771142525825,111804,1.815299
94.30-8,Atividades de associações de defesa de direitos sociais,45087.0,144934.0,0.272328492791799,66.23003991805005,113118,2.120582
82.19-9,Fotocópias, preparação de documentos e outros serviços especializados de apoio administrativo,38933.0,140839.0,0.264634058235502,66.49467397628555,89665,1.820635
10.71-6,Fabricação de açúcar em bruto,224.0,140022.0,0.263098929289838,66.7577729055754,139593,2.226939
47.61-0,Comércio varejista de livros, jornais, revistas e papelaria,31214.0,139977.0,0.263014375063944,67.02078728063934,97620,1.592476
42.11-1,Construção de rodovias e ferrovias,2753.0,137091.0,0.257591630709982,67.27837891134932,132802,2.691659
62.09-1,Suporte técnico, manutenção e outros serviços em tecnologia da informação,31562.0,136575.0,0.256622075586405,67.53500098693573,92611,4.556011
82.91-1,Atividades de cobrança e informações cadastrais,17602.0,136423.0,0.256336470201165,67.79133745713689,112263,2.047175
22.29-3,Fabricação de artefatos de material plástico não especificados anteriormente,7768.0,136093.0,0.255716405877947,68.04705386301484,124628,2.386643
