codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
"Agricultura, pecuária, produção florestal, pesca e aquicultura",0 a 4,88140,108628,14823,12089,2734,738,14085,24145.53,20578.12,3567.41,932.14,23213.39,486487.865,421657.935,64829.93,37004.63,449483.235,1.552964,1.579358,1.400711,3.059856,1.492454,1549.85802595919,1576.19966105897,1397.90988204543,3053.73656317721,1489.46937356149
"Agricultura, pecuária, produção florestal, pesca e aquicultura",5 a 9,6276,40566,25445,21328,4117,1288,24157,27862.17,23597.23,4264.94,1297.77,26564.4,572374.6,491395.929,80978.671,51896.664,520477.936,1.583403,1.60508,1.46347,3.08225,1.510179,1580.23640601631,1601.86966208126,1460.54306472343,3076.08518992046,1507.15861482632
"Agricultura, pecuária, produção florestal, pesca e aquicultura",10 a 19,3623,47956,35994,30485,5509,1610,34384,37654.23,31952.67,5701.56,1571.03,36083.2,842414.621,719202.106,123212.515,85684.332,756730.289,1.724401,1.734882,1.665663,4.20381,1.61645,1720.95206016184,1731.41208303021,1662.33202303067,4195.40203658648,1613.21673883606
"Agricultura, pecuária, produção florestal, pesca e aquicultura",20 a 29,1082,25772,22934,19581,3353,1021,21913,23363.93,19950.84,3413.09,1033.51,22330.42,525905.36,451107.797,74797.563,53761.487,472143.873,1.734953,1.742791,1.689141,4.009431,1.629685,1731.48346453437,1739.30520064472,1685.76237143108,4001.41169412971,1626.42527375385
"Agricultura, pecuária, produção florestal, pesca e aquicultura",30 a 49,834,31514,29400,24813,4587,1408,27992,29255.54,24556.67,4698.87,1370.69,27884.85,685432.829,577208.171,108224.658,89723.02,595709.809,1.805855,1.811712,1.775247,5.045344,1.646617,1802.24334368018,1808.08833357542,1771.69695954723,5035.25287937518,1643.32357755335
"Agricultura, pecuária, produção florestal, pesca e aquicultura",50 a 99,694,47894,45920,38593,7327,2340,43580,44978.05,37680.21,7297.84,2264.42,42713.63,1091352.144,927831.083,163521.061,162054.162,929297.982,1.87021,1.897937,1.727052,5.516064,1.676929,1866.46964292754,1894.14076432246,1723.59809941656,5505.03209176335,1673.57492570512
"Agricultura, pecuária, produção florestal, pesca e aquicultura",100 a 249,397,60334,59076,49077,9999,3006,56070,58470.71,48438.76,10031.95,3012.62,55458.09,1435573.274,1212910.951,222662.323,215652.499,1219920.775,1.892401,1.930021,1.710754,5.517423,1.695481,1888.61591358503,1926.16083451796,1707.33217370501,5506.38771874009,1692.08964130183
"Agricultura, pecuária, produção florestal, pesca e aquicultura",250 a 499,159,54393,53787,43578,10209,2631,51156,54702.15,44465.41,10236.74,2640.59,52061.56,1361093.273,1116775.137,244318.136,215867.607,1145225.666,1.917828,1.93584,1.839586,6.301045,1.695509,1913.99209242162,1931.96868687887,1835.90701426731,6288.44331700928,1692.11760077877
"Agricultura, pecuária, produção florestal, pesca e aquicultura",500 ou mais,127,157869,157418,130402,27016,9847,147571,166512.46,138349.71,28162.75,10064.85,156447.61,4842636.694,4083404.564,759232.13,857312.36,3985324.334,2.241616,2.274942,2.077905,6.56535,1.963455,2237.13297445174,2270.3917730266,2073.74888952469,6552.2193192531,1959.52760357088
"Agricultura, pecuária e serviços relacionados",0 a 4,79937,95919,11421,9217,2204,607,10814,18293.25,15426.18,2867.07,715.42,17577.83,372560.728,320758.292,51802.436,24285.154,348275.574,1.569757,1.602676,1.392637,2.616411,1.527158,1566.61706030703,1599.47017143783,1389.85192870449,2611.17772669309,1524.10330337879
