codigo_cnae,atividade,tipo_empresa,total_empresas,pessoal_ocupado_total,numero_empresas_percent_total,pessoal_ocupado_percent_total,numero_empresas_mais_de_um_local_pct,pessoal_ocupado_mais_de_um_local_pct
B,Indústrias extrativas,Unidade local única,9303,64120,86.64,30.75,,
B,Indústrias extrativas,Mais de uma unidade local,1435,144395,13.36,69.25,100,100
B,Indústrias extrativas,Mais de uma unidade local - não diversificada,634,19050,5.9,9.14,44.18,13.19
B,Indústrias extrativas,Mais de uma unidade local - diversificada,801,125345,7.46,60.11,55.82,86.81
B,Indústrias extrativas,Mais de uma unidade local - diversificada - espacial,245,20322,2.28,9.75,17.07,14.07
B,Indústrias extrativas,Mais de uma unidade local - diversificada - atividade,370,15037,3.45,7.21,25.78,10.41
B,Indústrias extrativas,Mais de uma unidade local - diversificada - mista,186,89986,1.73,43.16,12.96,62.32
05,Extração de carvão mineral,Unidade local única,38,204,79.17,5.64,,
05,Extração de carvão mineral,Mais de uma unidade local,10,3415,20.83,94.36,100,100
05,Extração de carvão mineral,Mais de uma unidade local - não diversificada,2,,,,,
05,Extração de carvão mineral,Mais de uma unidade local - diversificada,8,,,,,
05,Extração de carvão mineral,Mais de uma unidade local - diversificada - espacial,2,,,,,
05,Extração de carvão mineral,Mais de uma unidade local - diversificada - atividade,4,2060,8.33,56.92,40,60.32
05,Extração de carvão mineral,Mais de uma unidade local - diversificada - mista,2,,,,,
06,Extração de petróleo e gás natural,Unidade local única,133,1334,77.33,28.84,,
06,Extração de petróleo e gás natural,Mais de uma unidade local,39,3291,22.67,71.16,100,100
06,Extração de petróleo e gás natural,Mais de uma unidade local - não diversificada,6,246,3.49,5.32,15.38,7.47
06,Extração de petróleo e gás natural,Mais de uma unidade local - diversificada,33,3045,19.19,65.84,84.62,92.53
06,Extração de petróleo e gás natural,Mais de uma unidade local - diversificada - espacial,28,1907,16.28,41.23,71.79,57.95
06,Extração de petróleo e gás natural,Mais de uma unidade local - diversificada - atividade,1,,,,,
06,Extração de petróleo e gás natural,Mais de uma unidade local - diversificada - mista,4,,,,,
07,Extração de minerais metálicos,Unidade local única,704,6759,81.77,7.52,,
07,Extração de minerais metálicos,Mais de uma unidade local,157,83162,18.23,92.48,100,100
07,Extração de minerais metálicos,Mais de uma unidade local - não diversificada,60,7217,6.97,8.03,38.22,8.68
07,Extração de minerais metálicos,Mais de uma unidade local - diversificada,97,75945,11.27,84.46,61.78,91.32
07,Extração de minerais metálicos,Mais de uma unidade local - diversificada - espacial,41,8396,4.76,9.34,26.11,10.1
07,Extração de minerais metálicos,Mais de uma unidade local - diversificada - atividade,24,1431,2.79,1.59,15.29,1.72
07,Extração de minerais metálicos,Mais de uma unidade local - diversificada - mista,32,66118,3.72,73.53,20.38,79.51
08,Extração de minerais não-metálicos,Unidade local única,7943,49443,87.35,58.01,,
08,Extração de minerais não-metálicos,Mais de uma unidade local,1150,35788,12.65,41.99,100,100
08,Extração de minerais não-metálicos,Mais de uma unidade local - não diversificada,549,10487,6.04,12.3,47.74,29.3
08,Extração de minerais não-metálicos,Mais de uma unidade local - diversificada,601,25301,6.61,29.69,52.26,70.7
08,Extração de minerais não-metálicos,Mais de uma unidade local - diversificada - espacial,145,5318,1.59,6.24,12.61,14.86
08,Extração de minerais não-metálicos,Mais de uma unidade local - diversificada - atividade,329,11020,3.62,12.93,28.61,30.79
08,Extração de minerais não-metálicos,Mais de uma unidade local - diversificada - mista,127,8963,1.4,10.52,11.04,25.04
09,Atividades de apoio à extração de minerais,Unidade local única,485,6380,85.99,25.4,,
09,Atividades de apoio à extração de minerais,Mais de uma unidade local,79,18739,14.01,74.6,100,100
09,Atividades de apoio à extração de minerais,Mais de uma unidade local - não diversificada,17,775,3.01,3.09,21.52,4.14
09,Atividades de apoio à extração de minerais,Mais de uma unidade local - diversificada,62,17964,10.99,71.52,78.48,95.86
09,Atividades de apoio à extração de minerais,Mais de uma unidade local - diversificada - espacial,29,4236,5.14,16.86,36.71,22.61
09,Atividades de apoio à extração de minerais,Mais de uma unidade local - diversificada - atividade,12,503,2.13,2,15.19,2.68
09,Atividades de apoio à extração de minerais,Mais de uma unidade local - diversificada - mista,21,13225,3.72,52.65,26.58,70.57
C,Indústrias de transformação,Unidade local única,369301,3776942,94.6,48.77,,
C,Indústrias de transformação,Mais de uma unidade local,21088,3967783,5.4,51.23,100,100
C,Indústrias de transformação,Mais de uma unidade local - não diversificada,6466,458713,1.66,5.92,30.66,11.56
C,Indústrias de transformação,Mais de uma unidade local - diversificada,14622,3509070,3.75,45.31,69.34,88.44
C,Indústrias de transformação,Mais de uma unidade local - diversificada - espacial,1721,318659,0.44,4.11,8.16,8.03
C,Indústrias de transformação,Mais de uma unidade local - diversificada - atividade,8835,675013,2.26,8.72,41.9,17.01
C,Indústrias de transformação,Mais de uma unidade local - diversificada - mista,4066,2515398,1.04,32.48,19.28,63.4
10,Fabricação de produtos alimentícios,Unidade local única,50368,567513,92.75,33.31,,
10,Fabricação de produtos alimentícios,Mais de uma unidade local,3935,1136341,7.25,66.69,100,100
10,Fabricação de produtos alimentícios,Mais de uma unidade local - não diversificada,1192,95033,2.2,5.58,30.29,8.36
10,Fabricação de produtos alimentícios,Mais de uma unidade local - diversificada,2743,1041308,5.05,61.11,69.71,91.64
10,Fabricação de produtos alimentícios,Mais de uma unidade local - diversificada - espacial,263,35672,0.48,2.09,6.68,3.14
10,Fabricação de produtos alimentícios,Mais de uma unidade local - diversificada - atividade,1648,185776,3.03,10.9,41.88,16.35
10,Fabricação de produtos alimentícios,Mais de uma unidade local - diversificada - mista,832,819860,1.53,48.12,21.14,72.15
11,Fabricação de bebidas,Unidade local única,4931,42057,92.62,23.03,,
11,Fabricação de bebidas,Mais de uma unidade local,393,140574,7.38,76.97,100,100
11,Fabricação de bebidas,Mais de uma unidade local - não diversificada,116,5092,2.18,2.79,29.52,3.62
11,Fabricação de bebidas,Mais de uma unidade local - diversificada,277,135482,5.2,74.18,70.48,96.38
11,Fabricação de bebidas,Mais de uma unidade local - diversificada - espacial,25,3702,0.47,2.03,6.36,2.63
11,Fabricação de bebidas,Mais de uma unidade local - diversificada - atividade,171,13803,3.21,7.56,43.51,9.82
11,Fabricação de bebidas,Mais de uma unidade local - diversificada - mista,81,117977,1.52,64.6,20.61,83.93
12,Fabricação de produtos do fumo,Unidade local única,220,2328,86.96,14.57,,
12,Fabricação de produtos do fumo,Mais de uma unidade local,33,13646,13.04,85.43,100,100
12,Fabricação de produtos do fumo,Mais de uma unidade local - não diversificada,5,61,1.98,0.38,15.15,0.45
12,Fabricação de produtos do fumo,Mais de uma unidade local - diversificada,28,13585,11.07,85.04,84.85,99.55
12,Fabricação de produtos do fumo,Mais de uma unidade local - diversificada - espacial,3,63,1.19,0.39,9.09,0.46
12,Fabricação de produtos do fumo,Mais de uma unidade local - diversificada - atividade,5,89,1.98,0.56,15.15,0.65
12,Fabricação de produtos do fumo,Mais de uma unidade local - diversificada - mista,20,13433,7.91,84.09,60.61,98.44
13,Fabricação de produtos têxteis,Unidade local única,10197,137709,93.41,53.7,,
13,Fabricação de produtos têxteis,Mais de uma unidade local,719,118725,6.59,46.3,100,100
13,Fabricação de produtos têxteis,Mais de uma unidade local - não diversificada,225,20780,2.06,8.1,31.29,17.5
13,Fabricação de produtos têxteis,Mais de uma unidade local - diversificada,494,97945,4.53,38.2,68.71,82.5
13,Fabricação de produtos têxteis,Mais de uma unidade local - diversificada - espacial,44,12019,0.4,4.69,6.12,10.12
13,Fabricação de produtos têxteis,Mais de uma unidade local - diversificada - atividade,300,32157,2.75,12.54,41.72,27.09
13,Fabricação de produtos têxteis,Mais de uma unidade local - diversificada - mista,150,53769,1.37,20.97,20.86,45.29
14,Confecção de artigos do vestuário e acessórios,Unidade local única,48733,411313,91.46,65.82,,
14,Confecção de artigos do vestuário e acessórios,Mais de uma unidade local,4549,213620,8.54,34.18,100,100
14,Confecção de artigos do vestuário e acessórios,Mais de uma unidade local - não diversificada,1349,43234,2.53,6.92,29.65,20.24
14,Confecção de artigos do vestuário e acessórios,Mais de uma unidade local - diversificada,3200,170386,6.01,27.26,70.35,79.76
14,Confecção de artigos do vestuário e acessórios,Mais de uma unidade local - diversificada - espacial,155,22098,0.29,3.54,3.41,10.34
14,Confecção de artigos do vestuário e acessórios,Mais de uma unidade local - diversificada - atividade,2603,72445,4.89,11.59,57.22,33.91
14,Confecção de artigos do vestuário e acessórios,Mais de uma unidade local - diversificada - mista,442,75843,0.83,12.14,9.72,35.5
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",Unidade local única,10957,142794,95.62,42.71,,
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",Mais de uma unidade local,502,191512,4.38,57.29,100,100
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",Mais de uma unidade local - não diversificada,164,34098,1.43,10.2,32.67,17.8
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",Mais de uma unidade local - diversificada,338,157414,2.95,47.09,67.33,82.2
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",Mais de uma unidade local - diversificada - espacial,60,28178,0.52,8.43,11.95,14.71
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",Mais de uma unidade local - diversificada - atividade,192,22935,1.68,6.86,38.25,11.98
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",Mais de uma unidade local - diversificada - mista,86,106301,0.75,31.8,17.13,55.51
16,Fabricação de produtos de madeira,Unidade local única,14806,130089,95.09,69.87,,
16,Fabricação de produtos de madeira,Mais de uma unidade local,764,56095,4.91,30.13,100,100
16,Fabricação de produtos de madeira,Mais de uma unidade local - não diversificada,272,9811,1.75,5.27,35.6,17.49
16,Fabricação de produtos de madeira,Mais de uma unidade local - diversificada,492,46284,3.16,24.86,64.4,82.51
16,Fabricação de produtos de madeira,Mais de uma unidade local - diversificada - espacial,60,7819,0.39,4.2,7.85,13.94
16,Fabricação de produtos de madeira,Mais de uma unidade local - diversificada - atividade,338,13126,2.17,7.05,44.24,23.4
16,Fabricação de produtos de madeira,Mais de uma unidade local - diversificada - mista,94,25339,0.6,13.61,12.3,45.17
17,"Fabricação de celulose, papel e produtos de papel",Unidade local única,4568,76843,93,39.07,,
17,"Fabricação de celulose, papel e produtos de papel",Mais de uma unidade local,344,119841,7,60.93,100,100
17,"Fabricação de celulose, papel e produtos de papel",Mais de uma unidade local - não diversificada,99,13547,2.02,6.89,28.78,11.3
17,"Fabricação de celulose, papel e produtos de papel",Mais de uma unidade local - diversificada,245,106294,4.99,54.04,71.22,88.7
17,"Fabricação de celulose, papel e produtos de papel",Mais de uma unidade local - diversificada - espacial,34,6490,0.69,3.3,9.88,5.42
17,"Fabricação de celulose, papel e produtos de papel",Mais de uma unidade local - diversificada - atividade,119,15484,2.42,7.87,34.59,12.92
17,"Fabricação de celulose, papel e produtos de papel",Mais de uma unidade local - diversificada - mista,92,84320,1.87,42.87,26.74,70.36
18,Impressão e reprodução de gravações,Unidade local única,18789,97250,98.58,80.21,,
18,Impressão e reprodução de gravações,Mais de uma unidade local,271,24001,1.42,19.79,100,100
18,Impressão e reprodução de gravações,Mais de uma unidade local - não diversificada,107,2602,0.56,2.15,39.48,10.84
18,Impressão e reprodução de gravações,Mais de uma unidade local - diversificada,164,21399,0.86,17.65,60.52,89.16
18,Impressão e reprodução de gravações,Mais de uma unidade local - diversificada - espacial,23,2028,0.12,1.67,8.49,8.45
18,Impressão e reprodução de gravações,Mais de uma unidade local - diversificada - atividade,100,3717,0.52,3.07,36.9,15.49
18,Impressão e reprodução de gravações,Mais de uma unidade local - diversificada - mista,41,15654,0.22,12.91,15.13,65.22
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",Unidade local única,441,66015,73.99,24.61,,
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",Mais de uma unidade local,155,202284,26.01,75.39,100,100
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",Mais de uma unidade local - não diversificada,24,16582,4.03,6.18,15.48,8.2
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",Mais de uma unidade local - diversificada,131,185702,21.98,69.21,84.52,91.8
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",Mais de uma unidade local - diversificada - espacial,16,11241,2.68,4.19,10.32,5.56
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",Mais de uma unidade local - diversificada - atividade,53,51914,8.89,19.35,34.19,25.66
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",Mais de uma unidade local - diversificada - mista,62,122547,10.4,45.68,40,60.58
20,Fabricação de produtos químicos,Unidade local única,8835,111808,88.02,35.76,,
20,Fabricação de produtos químicos,Mais de uma unidade local,1202,200887,11.98,64.24,100,100
20,Fabricação de produtos químicos,Mais de uma unidade local - não diversificada,281,18759,2.8,6,23.38,9.34
20,Fabricação de produtos químicos,Mais de uma unidade local - diversificada,921,182128,9.18,58.24,76.62,90.66
20,Fabricação de produtos químicos,Mais de uma unidade local - diversificada - espacial,151,19412,1.5,6.21,12.56,9.66
20,Fabricação de produtos químicos,Mais de uma unidade local - diversificada - atividade,371,28268,3.7,9.04,30.87,14.07
20,Fabricação de produtos químicos,Mais de uma unidade local - diversificada - mista,399,134448,3.98,43,33.19,66.93
21,Fabricação de produtos farmoquímicos e farmacêuticos,Unidade local única,486,19086,72.97,17.13,,
21,Fabricação de produtos farmoquímicos e farmacêuticos,Mais de uma unidade local,180,92340,27.03,82.87,100,100
21,Fabricação de produtos farmoquímicos e farmacêuticos,Mais de uma unidade local - não diversificada,38,6230,5.71,5.59,21.11,6.75
21,Fabricação de produtos farmoquímicos e farmacêuticos,Mais de uma unidade local - diversificada,142,86110,21.32,77.28,78.89,93.25
21,Fabricação de produtos farmoquímicos e farmacêuticos,Mais de uma unidade local - diversificada - espacial,16,12214,2.4,10.96,8.89,13.23
21,Fabricação de produtos farmoquímicos e farmacêuticos,Mais de uma unidade local - diversificada - atividade,68,12457,10.21,11.18,37.78,13.49
21,Fabricação de produtos farmoquímicos e farmacêuticos,Mais de uma unidade local - diversificada - mista,58,61439,8.71,55.14,32.22,66.54
22,Fabricação de produtos de borracha e de material plástico,Unidade local única,15050,239586,94.43,60.31,,
22,Fabricação de produtos de borracha e de material plástico,Mais de uma unidade local,888,157680,5.57,39.69,100,100
22,Fabricação de produtos de borracha e de material plástico,Mais de uma unidade local - não diversificada,335,34749,2.1,8.75,37.73,22.04
22,Fabricação de produtos de borracha e de material plástico,Mais de uma unidade local - diversificada,553,122931,3.47,30.94,62.27,77.96
22,Fabricação de produtos de borracha e de material plástico,Mais de uma unidade local - diversificada - espacial,140,32956,0.88,8.3,15.77,20.9
22,Fabricação de produtos de borracha e de material plástico,Mais de uma unidade local - diversificada - atividade,248,19657,1.56,4.95,27.93,12.47
22,Fabricação de produtos de borracha e de material plástico,Mais de uma unidade local - diversificada - mista,165,70318,1.04,17.7,18.58,44.6
23,Fabricação de produtos de minerais não-metálicos,Unidade local única,27486,270124,95.07,65.4,,
23,Fabricação de produtos de minerais não-metálicos,Mais de uma unidade local,1425,142902,4.93,34.6,100,100
23,Fabricação de produtos de minerais não-metálicos,Mais de uma unidade local - não diversificada,483,22912,1.67,5.55,33.89,16.03
23,Fabricação de produtos de minerais não-metálicos,Mais de uma unidade local - diversificada,942,119990,3.26,29.05,66.11,83.97
23,Fabricação de produtos de minerais não-metálicos,Mais de uma unidade local - diversificada - espacial,122,12471,0.42,3.02,8.56,8.73
23,Fabricação de produtos de minerais não-metálicos,Mais de uma unidade local - diversificada - atividade,608,29560,2.1,7.16,42.67,20.69
