codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",101332,574926,444797,369946,74851,23889,420908,466944.77,389569.62,77375.15,24187.62,442757.15,11843270.66,10001493.673,1841776.987,1768956.761,10074313.899,1.954935,1.978818,1.834686,5.637028,1.753784,1951.02478607909,1974.86053238403,1831.01619636477,5625.75387739678,1750.27602151654
01,"Agricultura, pecuária e serviços relacionados",90083,477052,362905,297533,65372,20397,342508,382222.3,314342.54,67879.76,20566.94,361655.36,10032925.739,8389306.968,1643618.771,1549251.839,8483673.9,2.023195,2.05707,1.866323,5.806019,1.80807,2019.14832908654,2052.95568722824,1862.5907509668,5794.40686775064,1804.45355489823
01.1,Produção de lavouras temporárias,24347,149700,118907,104652,14255,7513,111394,127221.63,112331.61,14890.02,7630,119591.63,4003472.97,3631282.122,372190.848,629159.376,3374313.594,2.425504,2.491633,1.926622,6.355683,2.174757,2420.65330581576,2486.64996433328,1922.7687559029,6342.97183183789,2170.40761258832
01.2,Horticultura e floricultura,6068,16357,9535,6441,3094,431,9104,9465.45,6390.52,3074.93,436.12,9029.33,201623.407,126597.86,75025.547,36465.523,165157.884,1.641821,1.52692,1.880616,6.444698,1.40984,1638.53729576025,1523.86612092239,1876.85440744242,6431.80828847388,1407.02052260629
01.3,Produção de lavouras permanentes,14475,93485,76398,57737,18661,2663,73735,83033.86,62300.25,20733.61,2715.73,80318.13,1635234.014,1274696.889,360537.125,193973.639,1441260.375,1.517927,1.577042,1.340297,5.505316,1.383104,1514.89081497782,1573.88785512344,1337.61679707489,5494.30508697336,1380.33819627409
01.4,Produção de sementes e mudas certificadas,748,10137,8983,6548,2435,2151,6832,10091.63,7706.79,2384.84,2193.15,7898.48,437520.105,351757.835,85762.27,232929.272,204590.833,3.341664,3.518004,2.771808,8.18619,1.996497,3334.98083979572,3510.96825007558,2766.26427446189,8169.81798221385,1992.50442928454
01.5,Pecuária,31721,123827,83513,66315,17198,4390,79123,83358.09,66374.51,16983.58,4351.41,79006.68,2021823.492,1653574.226,368249.266,323339.602,1698483.89,1.869483,1.920209,1.67124,5.727367,1.657005,1865.74433267365,1916.3684580815,1667.89726402705,5715.91210134717,1653.69063632438
01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,12724,83546,65569,55840,9729,3249,62320,69051.64,59238.86,9812.78,3240.53,65811.11,1733251.751,1351398.036,381853.715,133384.427,1599867.324,1.934701,1.758339,2.999377,3.172599,1.873747,1930.83115432495,1754.82268019545,2993.3782977207,3166.25383454606,1869.99911155988
01.7,Caça e serviços relacionados,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Produção florestal,8497,83611,71469,63644,7825,2899,68570,74138.15,66249.15,7889,3026.47,71111.68,1602647.822,1439514.046,163133.776,187290.141,1415357.681,1.666182,1.674795,1.593852,4.769849,1.534092,1662.84971627034,1671.44559126129,1590.66446951451,4760.30951011473,1531.02370481517
02.1,Produção florestal - florestas plantadas,5760,48438,39939,34663,5276,1425,38514,42059.93,36680.98,5378.95,1523.38,40536.55,920149.685,813325.114,106824.571,107211.591,812938.094,1.686227,1.709029,1.530734,5.424499,1.545741,1682.85456014787,1705.61065455973,1527.67262984554,5413.64955660338,1542.64977010776
02.2,Produção florestal - florestas nativas,867,5323,4124,3669,455,116,4008,4063.54,3594.55,468.99,115.66,3947.88,77873.812,68949.357,8924.455,5510.695,72363.117,1.477111,1.478468,1.46671,3.672394,1.412796,1474.15633432161,1475.51061810455,1463.77649515243,3665.04941539526,1409.97031707768
02.3,Atividades de apoio à produção florestal,1870,29850,27406,25312,2094,1358,26048,28014.68,25973.62,2041.06,1387.43,26627.25,604624.325,557239.575,47384.75,74567.855,530056.47,1.663512,1.653619,1.789406,4.14254,1.534341,1660.18542640996,1650.31222803397,1785.82734913759,4134.25459025237,1531.27246018213
03,Pesca e aquicultura,2752,14263,10423,8769,1654,593,9830,10584.32,8977.93,1606.39,594.21,9990.11,207697.099,172672.659,35024.44,32414.781,175282.318,1.512494,1.482428,1.68053,4.204644,1.352365,1509.46871627813,1479.46266352814,1677.16911354509,4196.23481985778,1349.66033715036
03.1,Pesca,1093,2866,1600,1309,291,143,1457,1899.13,1603.73,295.4,140.76,1758.37,47403.877,39411.699,7992.178,8672.684,38731.193,1.923912,1.894175,2.085359,4.74898,1.697762,1920.06449106858,1890.38625818944,2081.18795896047,4739.48237042866,1694.36611092178
03.2,Aquicultura,1659,11397,8823,7460,1363,450,8373,8685.19,7374.2,1310.99,453.45,8231.74,160293.222,133260.96,27032.262,23742.097,136551.125,1.422532,1.392881,1.589312,4.035671,1.278585,1419.68659823836,1390.09561402228,1586.13320409063,4027.59985410994,1276.02823853859
B,Indústrias extrativas,10745,208518,191333,167298,24035,33562,157771,192535.89,168772.61,23763.28,33398.12,159137.77,11563500.857,9958976.547,1604524.31,5059417.978,6504082.879,4.629177,4.548193,5.204344,11.676284,3.150206,4619.91821848424,4539.09623723897,5193.9356403273,11652.9313119329,3143.90523139406
05,Extração de carvão mineral,48,3619,3548,3376,172,308,3240,3928.85,3736.36,192.49,335.79,3593.06,198620.039,187680.443,10939.596,35934.631,162685.408,3.896581,3.871653,4.380455,8.248435,3.489878,3888.78795028101,3863.90956809466,4371.69403405572,8231.9377724631,3482.89818534791
05.0,Extração de carvão mineral,48,3619,3548,3376,172,308,3240,3928.85,3736.36,192.49,335.79,3593.06,198620.039,187680.443,10939.596,35934.631,162685.408,3.896581,3.871653,4.380455,8.248435,3.489878,3888.78795028101,3863.90956809466,4371.69403405572,8231.9377724631,3482.89818534791
06,Extração de petróleo e gás natural,172,4625,4392,3129,1263,3050,1342,4355.59,3033.22,1322.37,3162.41,1193.18,1221201.239,893848.873,327352.366,1083842.094,137359.145,21.610576,22.713617,19.08045,26.416419,8.873148,21567.3552483484,22668.1894539086,19042.2886414311,26363.5862425273,8855.40159650939
06.0,Extração de petróleo e gás natural,172,4625,4392,3129,1263,3050,1342,4355.59,3033.22,1322.37,3162.41,1193.18,1221201.239,893848.873,327352.366,1083842.094,137359.145,21.610576,22.713617,19.08045,26.416419,8.873148,21567.3552483484,22668.1894539086,19042.2886414311,26363.5862425273,8855.40159650939
07,Extração de minerais metálicos,862,89922,88531,76309,12222,19137,69394,87047.2,75236.87,11810.33,18582.43,68464.77,4939755.73,4239208.65,700547.08,2155876.424,2783879.306,4.37398,4.342903,4.571949,8.942264,3.134075,4365.23185122554,4334.21769242824,4562.80535116944,8924.37899671894,3127.80663690245
07.1,Extração de minério de ferro,226,74101,73678,63130,10548,16973,56705,72556.87,62395.95,10160.92,16436.27,56120.6,4004536.694,3399290.111,605246.583,1830780.67,2173756.024,4.254023,4.199117,4.591192,8.585373,2.985483,4245.51505810334,4190.71838304101,4582.00925325054,8568.20204995977,2979.5120124545
07.2,Extração de minerais metálicos não-ferrosos,636,15821,14853,13179,1674,2164,12689,14490.33,12840.92,1649.41,2146.16,12344.17,935219.036,839918.539,95300.497,325095.754,610123.282,4.974634,5.041585,4.45341,11.675495,3.809621,4964.68512767852,5031.50228991501,4444.50285953066,11652.144151558,3802.00209117714
