codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,quatro_maiores_empresas_percent,oito_maiores_empresas_percent,doze_maiores_empresas_percent
B,Indústrias extrativas,10738,208515,31.05,34.61,37.39
05,Extração de carvão mineral,48,3619,71.65,94.5,97.49
05.0,Extração de carvão mineral,48,3619,71.65,94.5,97.49
06,Extração de petróleo e gás natural,172,4625,47.91,62.51,72.09
06.0,Extração de petróleo e gás natural,172,4625,47.91,62.51,72.09
07,Extração de minerais metálicos,861,89921,71.95,79.02,83.5
07.1,Extração de minério de ferro,226,74101,86.26,91.35,93.82
07.2,Extração de minerais metálicos não-ferrosos,635,15820,45.09,61.59,69.36
08,Extração de minerais não-metálicos,9093,85231,3.56,5.81,7.41
08.1,"Extração de pedra, areia e argila",7972,71151,2.91,4.69,5.93
08.9,Extração de outros minerais não-metálicos,1121,14080,20.43,28.54,33.94
09,Atividades de apoio à extração de minerais,564,25119,27.28,47.82,57.43
09.1,Atividades de apoio à extração de petróleo e gás natural,204,21494,31.88,55.88,66.53
09.9,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",360,3625,38.57,51.12,57.77
C,Indústrias de transformação,390389,7744725,3.17,4.36,5.29
10,Fabricação de produtos alimentícios,54303,1703854,13.57,17.27,20.03
10.1,Abate e fabricação de produtos de carne,4608,607197,38.07,46.78,52.44
10.2,Preservação do pescado e fabricação de produtos do pescado,654,19891,21.69,31.03,37.63
10.3,"Fabricação de conservas de frutas, legumes e outros vegetais",3422,106970,39.49,44.17,47.45
10.4,Fabricação de óleos e gorduras vegetais e animais,414,55771,41.49,60.85,70.62
10.5,Laticínios,6797,157637,15.63,22.35,27.17
10.6,"Moagem, fabricação de produtos amiláceos e de alimentos para animais",5047,139851,10.43,16.15,20.34
10.7,Fabricação e refino de açúcar,264,155218,22.56,37.58,48.97
10.8,Torrefação e moagem de café,1762,25889,35.74,46.65,53.11
10.9,Fabricação de outros produtos alimentícios,31335,435430,7.4,10.71,13.41
11,Fabricação de bebidas,5324,182631,38.9,50.45,55.05
11.1,Fabricação de bebidas alcoólicas,3649,89203,58.31,65.67,69.11
11.2,Fabricação de bebidas não-alcoólicas,1675,93428,42.95,51.88,56.68
12,Fabricação de produtos do fumo,253,15974,61.56,76.29,81.37
12.1,Processamento industrial do fumo,31,5313,60.08,86.07,94.82
12.2,Fabricação de produtos do fumo,222,10661,79.03,83.13,86.3
13,Fabricação de produtos têxteis,10916,256434,6.35,9.48,12.08
13.1,Preparação e fiação de fibras têxteis,701,31664,16.27,28.68,37.24
13.2,"Tecelagem, exceto malha",977,73001,21.88,32.43,40.45
13.3,Fabricação de tecidos de malha,779,25837,21.82,31.97,40.03
13.4,"Acabamentos em fios, tecidos e artefatos têxteis",2671,35527,4.86,8.87,12.24
13.5,"Fabricação de artefatos têxteis, exceto vestuário",5788,90405,6.47,10.62,13.33
14,Confecção de artigos do vestuário e acessórios,53282,624933,4.36,6.04,7.17
14.1,Confecção de artigos do vestuário e acessórios,51344,607392,4.49,6.22,7.38
14.2,Fabricação de artigos de malharia e tricotagem,1938,17541,19.2,24.39,27.88
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",11459,334306,16.65,25.37,29.89
15.1,Curtimento e outras preparações de couro,575,25616,20.73,31.71,37.95
15.2,Fabricação de artigos para viagem e de artefatos diversos de couro,2434,22595,10,13.92,16.94
15.3,Fabricação de calçados,6970,259574,21.44,32.67,38.49
15.4,"Fabricação de partes para calçados, de qualquer material",1480,26521,10.54,14.94,18.06
16,Fabricação de produtos de madeira,15570,186184,6.45,9.09,10.94
16.1,Desdobramento de madeira,7110,74326,4.19,6.92,9.17
16.2,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis",8460,111858,10.73,15.13,17.84
17,"Fabricação de celulose, papel e produtos de papel",4912,196684,19.36,25.61,29.32
17.1,Fabricação de celulose e outras pastas para a fabricação de papel,45,28132,85.28,96.53,99.08
