codigo_cnae,atividade,natureza_juridica,total_empresas,pessoal_ocupado_total,pessoal_ocupado_assalariado,salario_outras_rem
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",Total,101332,574926,444797,11843270.66
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",Administração pública,6,131,131,8782.555
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",Entidades empresariais,100443,570545,441167,11711562.556
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",Entidades sem fins lucrativos,883,4250,3499,122925.549
01,"Agricultura, pecuária e serviços relacionados",Total,90083,477052,362905,10032925.739
01,"Agricultura, pecuária e serviços relacionados",Administração pública,4,,,
01,"Agricultura, pecuária e serviços relacionados",Entidades empresariais,89367,473084,359534,9914866.933
01,"Agricultura, pecuária e serviços relacionados",Entidades sem fins lucrativos,712,,,
01.1,Produção de lavouras temporárias,Total,24347,149700,118907,4003472.97
01.1,Produção de lavouras temporárias,Administração pública,,,,
01.1,Produção de lavouras temporárias,Entidades empresariais,24238,147857,117171,3937942.155
01.1,Produção de lavouras temporárias,Entidades sem fins lucrativos,109,1843,1736,65530.815
01.2,Horticultura e floricultura,Total,6068,16357,9535,201623.407
01.2,Horticultura e floricultura,Administração pública,,,,
01.2,Horticultura e floricultura,Entidades empresariais,6023,16306,9521,201434.607
01.2,Horticultura e floricultura,Entidades sem fins lucrativos,45,51,14,188.8
01.3,Produção de lavouras permanentes,Total,14475,93485,76398,1635234.014
01.3,Produção de lavouras permanentes,Administração pública,1,,,
01.3,Produção de lavouras permanentes,Entidades empresariais,14423,93379,76329,1633580.408
01.3,Produção de lavouras permanentes,Entidades sem fins lucrativos,51,,,
01.4,Produção de sementes e mudas certificadas,Total,748,10137,8983,437520.105
01.4,Produção de sementes e mudas certificadas,Administração pública,,,,
01.4,Produção de sementes e mudas certificadas,Entidades empresariais,737,10121,8982,437495.294
01.4,Produção de sementes e mudas certificadas,Entidades sem fins lucrativos,11,16,1,24.811
01.5,Pecuária,Total,31721,123827,83513,2021823.492
01.5,Pecuária,Administração pública,1,,,
01.5,Pecuária,Entidades empresariais,31572,123512,83344,2018181.811
01.5,Pecuária,Entidades sem fins lucrativos,148,,,
01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,Total,12724,83546,65569,1733251.751
01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,Administração pública,2,,,
