codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",7549,78051,65559,56067,9492,5104,60455,69945.33,60575.5,9369.83,5108.54,64836.79,2308222.891,1918644.722,389578.169,330125.174,1978097.717,2.543578,2.441314,3.204712,4.980901,2.35154,2538.49123308161,2436.43148696192,3198.30257982679,4970.9396723616,2346.83677039153
01,"Agricultura, pecuária e serviços relacionados",6667,71847,60618,51854,8764,4884,55734,65235.37,56546.84,8688.53,4895.31,60340.06,2195078.542,1820970.697,374107.845,314657.061,1880421.481,2.593541,2.482108,3.318766,4.954312,2.402014,2588.35345823073,2477.14406322263,3312.12835064868,4944.40378805271,2397.21018226978
01.1,Produção de lavouras temporárias,1470,36946,34090,29952,4138,2973,31117,37197.35,33021.23,4176.12,2987.71,34209.64,1359133.271,1238589.694,120543.577,228808.836,1130324.435,2.816282,2.891081,2.224832,5.902832,2.546717,2810.64949932848,2885.29925468228,2220.3822797606,5891.02680390925,2541.62374878948
01.2,Horticultura e floricultura,125,1252,1074,831,243,25,1049,972.31,754.17,218.14,20.22,952.09,20449.453,7861.856,12587.597,534.196,19915.257,1.621075,0.803493,4.447681,2.036318,1.612256,1617.83263172635,801.885720522102,4438.78560698493,2032.2453016815,1609.03154759933
01.3,Produção de lavouras permanentes,87,1459,1285,1089,196,27,1258,1256.37,1077.23,179.14,29.6,1226.77,30358.486,25797.064,4561.422,1683.198,28675.288,1.862467,1.845814,1.962609,4.382981,1.801651,1858.74237194947,1842.12242368068,1958.68379694438,4374.21517671518,1798.04803232504
01.4,Produção de sementes e mudas certificadas,110,1388,1190,942,248,230,960,1237.36,987.16,250.2,217.23,1020.13,39310.473,31267.358,8043.115,12976.276,26334.197,2.448715,2.441348,2.477782,4.604223,1.989714,2443.81791755151,2436.46560295736,2472.82635430117,4595.01485486847,1985.73462356608
01.5,Pecuária,2044,15833,11741,9568,2173,662,11079,11664.16,9519.35,2144.81,643.91,11020.25,309933.062,260313.052,49620.01,40790.995,269142.067,2.04805,2.107729,1.783176,4.882758,1.882419,2043.95385259039,2103.51346710405,1779.60931091978,4872.99288123161,1878.65392555313
01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,2831,14969,11238,9472,1766,967,10271,12907.82,11187.7,1720.12,996.64,11911.18,435893.797,257141.673,178752.124,29863.56,406030.237,2.602878,1.771568,8.009743,2.309561,2.627421,2597.67273458439,1768.02458881698,7993.723335939,2304.94152660632,2622.16633061092
01.7,Caça e serviços relacionados,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Produção florestal,768,5831,4742,4058,684,216,4526,4512.28,3871.79,640.49,209.54,4302.74,109575.437,95013.807,14561.63,15384.286,94191.151,1.87173,1.891477,1.752362,5.658959,1.687295,1867.9868645631,1887.69390504531,1748.85694486313,5647.64061937871,1683.9207467442
