faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",7549.0,78051.0,65559.0,56067.0,9492.0,5104.0,60455.0,69945.33,60575.5,9369.83,5108.54,64836.79,2308222.891,1918644.722,389578.169,330125.174,1978097.717,2.543578,2.441314,3.204712,4.980901,2.35154,2538.49123308161,2436.43148696192,3198.30257982679,4970.9396723616,2346.83677039153
B Indústrias extrativas,1068.0,11419.0,9927.0,8738.0,1189.0,935.0,8992.0,10305.51,9080.23,1225.28,1018.9,9286.61,406950.682,361246.152,45704.53,95293.551,311657.131,3.043676,3.066426,2.87508,7.208718,2.586699,3037.58849541504,3060.29313557713,2869.33033830886,7194.30086745132,2581.52603173154
C Indústrias de transformação,28471.0,367172.0,330736.0,240622.0,90114.0,27523.0,303213.0,342029.05,248962.21,93066.84,28319.49,313709.56,10194679.634,7888241.54,2306438.094,2230716.444,7963963.19,2.2974,2.442153,1.910174,6.071347,1.956715,2292.80561312645,2437.26873556124,1906.3537015233,6059.20419525156,1952.80167131956
D Eletricidade e gás,344.0,15169.0,14601.0,11788.0,2813.0,5934.0,8667.0,15059.92,12229.77,2830.15,6061.13,8998.79,2140625.217,1936648.648,203976.569,1704152.682,436472.535,10.9558,12.205587,5.555165,21.671103,3.738513,10933.8879775437,12181.1753551438,5544.05431079353,21627.7604747223,3731.03610425573
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",1200.0,32036.0,30595.0,24068.0,6527.0,4405.0,26190.0,31483.83,24607.37,6876.46,4412.11,27071.72,1696887.686,1347083.681,349804.005,584099.166,1112788.52,4.154241,4.219446,3.920902,10.203904,3.168275,4145.93211816987,4211.00758087454,3913.05997338971,10183.4961224727,3161.93861797761
F Construção,23571.0,174792.0,142735.0,127223.0,15512.0,8266.0,134469.0,149252.06,133694.45,15557.61,8279.03,140973.03,3914354.32,3453414.837,460939.483,462563.087,3451791.233,2.021464,1.990955,2.283637,4.306432,1.887272,2017.42058676804,1986.97324499144,2279.07006974029,4297.81942124584,1883.49787571752
G Comércio; reparação de veículos automotores e motocicletas,159149.0,897664.0,696839.0,407017.0,289822.0,50864.0,645975.0,700734.59,410999.08,289735.51,51497.43,649237.16,16547862.551,10475637.662,6072224.889,2479108.179,14068754.372,1.82018,1.964562,1.615371,3.710531,1.670238,1816.54013101177,1960.63281137347,1612.14005915522,3703.10963389525,1666.89761684194
"H Transporte, armazenagem e correio",19662.0,268301.0,243720.0,195314.0,48406.0,42311.0,201409.0,276578.97,220308.46,56270.51,52352.75,224226.22,10648221.256,8476912.063,2171309.193,3509193.099,7139028.157,2.967454,2.965737,2.974178,5.16647,2.454024,2961.51924627252,2959.80535060845,2968.2294345106,5156.13660585753,2449.11595118949
I Alojamento e alimentação,24319.0,180816.0,150883.0,67490.0,83393.0,5341.0,145542.0,150744.2,67624.15,83120.05,5368.29,145375.91,2813438.722,1356234.207,1457204.515,180997.158,2632441.564,1.438543,1.54582,1.351266,2.598734,1.395701,1435.66626928777,1542.72857005625,1348.5633730971,2593.53691914787,1392.90962940887
J Informação e comunicação,9749.0,88051.0,75170.0,47918.0,27252.0,34649.0,40521.0,75709.63,48347.89,27361.74,35838.15,39871.48,4723158.693,3233436.893,1489721.8,3335877.663,1387281.03,4.808477,5.154814,4.196503,7.174483,2.681811,4798.85979447447,5144.50402791422,4188.11028156048,7160.13449569587,2676.44756062768
