faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",5918.0,119609,109335,91943,17392,3777,105558,108228.43,89506.4,18722.03,3684.55,104543.88,2025408.378,1696638.837,328769.541,231773.152,1793635.226,1.508966,1.528423,1.415947,5.07209,1.383387,1439.55377031283,1458.11561820418,1350.81316995581,4838.77379869998,1319.75148101963
B Indústrias extrativas,1628.0,25457,22962,20826,2136,1852,21110,22871.55,20760.25,2111.3,1836.66,21034.89,817392.874,741516.509,75876.365,198017.596,619375.278,2.881665,2.880027,2.897776,8.693272,2.374225,2749.1086053668,2747.54549976703,2764.47850212592,8293.38188299999,2265.01075849915
C Indústrias de transformação,50833.0,949545,881830,644927,236903,56270,825560,864717.89,625705.62,239012.27,55868.45,808849.44,22312316.101,17365882.238,4946433.863,5286148.664,17026167.437,2.080552,2.237871,1.668708,7.629236,1.697296,1984.84618812412,2134.92903456863,1591.94719391796,7278.29070446186,1619.21999656888
D Eletricidade e gás,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",2061.0,82402,79915,67411,12504,10133,69782,74335.58,62335.28,12000.3,10015.84,64319.74,2984452.203,2420782.883,563669.32,997105.854,1987346.349,3.237249,3.13134,3.787395,8.027164,2.491366,3088.3359810284,2987.29817084445,3613.17454243131,7657.9148935778,2376.76327791317
F Construção,33159.0,407687,352251,318694,33557,17433,334818,364804.34,330669.84,34134.5,17232.83,347571.51,8415802.247,7559571.068,856231.179,1101959.611,7313842.636,1.860132,1.843363,2.02258,5.156053,1.696718,1774.56606907523,1758.56820437337,1929.54157366166,4918.87426052929,1618.6691472276
G Comércio; reparação de veículos automotores e motocicletas,329813.0,1837847,1422639,846824,575815,83694,1338945,1413925.99,844534.52,569391.47,81721.21,1332204.78,26390587.495,16224431.109,10166156.386,3166640.354,23223947.141,1.50498,1.549032,1.439641,3.12444,1.405637,1435.75067314738,1477.77637583218,1373.41718465208,2980.7160165453,1340.97812829092
"H Transporte, armazenagem e correio",20510.0,284754,257541,216912,40629,14318,243223,259414.55,219613.51,39801.04,13917.65,245496.9,6658983.67,5706611.572,952372.098,945564.407,5713419.263,2.069769,2.09521,1.929392,5.478144,1.876542,1974.55968864092,1998.83022188879,1840.64014794202,5226.14978932396,1790.22134072381
I Alojamento e alimentação,42966.0,355218,300258,149616,150642,10595,289663,299035.67,147858.51,151177.16,10343.49,288692.18,4952912.652,2580088.328,2372824.324,360029.817,4592882.835,1.335506,1.407008,1.265574,2.806594,1.282799,1274.07302588041,1342.28549255012,1207.35796333256,2677.49099266227,1223.79026551874
J Informação e comunicação,12395.0,94057,76006,51297,24709,20540,55466,74179.97,49964.92,24215.05,20136.31,54043.66,2254465.429,1562933.211,691532.218,1095605.377,1158860.052,2.450559,2.522223,2.302689,4.387151,1.728998,2337.83348274992,2406.20082280497,2196.76548262341,4185.34163867698,1649.46417254266
