codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",6695,124429,113287,95345,17942,3852,109435,108658.66,90030.79,18627.87,3824.12,104834.54,2011977.231,1646307.073,365670.158,219877.747,1792099.484,1.4272,1.409438,1.513047,4.431756,1.317601,1424.34555430457,1406.61884245806,1510.0209359582,4422.89280832031,1314.96553007757
01,"Agricultura, pecuária e serviços relacionados",5037,104692,96112,79979,16133,3057,93055,91100.74,74276.11,16824.63,3037.48,88063.26,1690606.358,1362796.793,327809.565,174742.21,1515864.148,1.430364,1.414191,1.501766,4.434151,1.326758,1427.50369451529,1411.36258399183,1498.76225418422,4425.28295216379,1324.10422304987
01.1,Produção de lavouras temporárias,818,29972,28485,25773,2712,975,27510,23889.66,21401.09,2488.57,920.29,22969.37,501319.171,447060.176,54258.995,61488.134,439831.037,1.617448,1.610112,1.680537,5.149828,1.47592,1614.21356159301,1606.892186692,1677.17558523724,5139.52825906884,1472.96842239503
01.2,Horticultura e floricultura,337,3263,2781,2070,711,69,2712,2742.8,2028.8,714,61.62,2681.18,37370.691,22381.54,14989.151,1678.051,35692.64,1.050178,0.850309,1.618098,2.098986,1.026074,1048.07807294062,848.608499150692,1614.86220642103,2094.78815569371,1024.02214409614
01.3,Produção de lavouras permanentes,1012,36041,34238,24497,9741,968,33270,36468.93,25708.52,10760.41,977.35,35491.58,622710.976,452502.052,170208.924,56573.196,566137.78,1.316102,1.356656,1.219213,4.46156,1.229484,1313.46996765993,1353.94220102309,1216.77465392547,4452.63652498318,1227.02511412566
01.4,Produção de sementes e mudas certificadas,121,1032,861,649,212,67,794,868.15,661.12,207.03,81.53,786.62,19596.72,15813.509,3783.211,4848.033,14748.687,1.739862,1.843631,1.408489,4.583257,1.445155,1736.38196164257,1839.94398782486,1405.67179041313,4574.09070752625,1442.26486056213
01.5,Pecuária,1640,22140,19143,17197,1946,647,18496,19272.5,17336.93,1935.57,652.99,18619.51,354577.701,314181.949,40395.752,37059.935,317517.766,1.418076,1.396803,1.608618,4.374458,1.314395,1415.2397337777,1394.00933330003,1605.40075453822,4365.70886348831,1311.76618173419
01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,1109,12244,10604,9793,811,331,10273,7858.7,7139.65,719.05,343.7,7515,155031.099,110857.567,44173.532,13094.861,141936.238,1.520527,1.196781,4.7351,2.936618,1.455762,1517.48624503368,1194.38700130205,4725.62965023295,2930.74483561245,1452.85058600747
01.7,Caça e serviços relacionados,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Produção florestal,649,10399,9523,8832,691,415,9108,10021.67,9282.17,739.5,401.94,9619.73,187350.826,171994.168,15356.658,25523.739,161827.087,1.440926,1.428204,1.600607,4.894509,1.296625,1438.04395874141,1425.34780287202,1597.4055234826,4884.72045196183,1294.03189710506
