codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",2059,27129,23960,21270,2690,973,22987,23335.91,20662.34,2673.57,932.25,22403.66,495461.484,439167.987,56293.497,64600.03,430861.454,1.636482,1.638239,1.622904,5.341047,1.48233,1633.20915473851,1634.962586336,1619.65798539032,5330.36532788745,1479.36492382186
01,"Agricultura, pecuária e serviços relacionados",1420,20168,17903,15653,2250,805,17098,17901.2,15644.72,2256.48,784.09,17117.11,385778.802,338920.681,46858.121,57277.008,328501.794,1.661049,1.669769,1.600588,5.630416,1.479222,1657.72643518526,1666.42941614708,1597.38656941513,5619.15557181917,1476.26373664893
01.1,Produção de lavouras temporárias,188,1178,867,760,107,50,817,848.37,745.78,102.59,46.39,801.98,22658.356,20264.769,2393.587,3188.029,19470.327,2.058587,2.094387,1.798334,5.296927,1.871267,2054.46970253364,2090.19869749173,1794.73707888758,5286.33326147877,1867.52470328245
01.2,Horticultura e floricultura,73,379,290,234,56,5,285,306.47,247.92,58.55,4.34,302.13,4831.323,4000.105,831.218,167.163,4664.16,1.215078,1.243615,1.094244,2.96877,1.189887,1212.64799415679,1241.1277211011,1092.05544242265,2962.83232896136,1187.50716069751
01.3,Produção de lavouras permanentes,116,9249,9006,7990,1016,416,8590,9144.41,8106.22,1038.19,433.79,8710.62,183694.143,162308.928,21385.215,31873.351,151820.792,1.548338,1.543299,1.58768,5.663362,1.343409,1545.24115741832,1540.21259648099,1584.50431853662,5652.03492650644,1340.72229778574
01.4,Produção de sementes e mudas certificadas,22,245,220,184,36,21,199,251.31,217.1,34.21,18.69,232.62,7338.86,5777.587,1561.273,1458.626,5880.234,2.250842,2.051223,3.517644,6.015348,1.94838,2246.33994790375,2047.12007936789,3510.60868392058,6003.31728196897,1944.48324438007
01.5,Pecuária,654,7291,6250,5398,852,249,6001,6148.44,5316.14,832.3,233.47,5914.97,143641.649,126664.494,16977.155,18898.349,124743.3,1.800701,1.836473,1.572212,6.239056,1.625514,1797.09936429153,1832.80023012649,1569.06764387841,6226.57794939887,1622.26325096128
01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,367,1826,1270,1087,183,64,1206,1202.2,1011.56,190.64,47.41,1154.79,23614.471,19904.798,3709.673,1691.49,21922.981,1.514006,1.516674,1.49985,2.749955,1.463264,1510.97801466542,1513.64062210082,1496.84988217825,2744.455080882,1460.33751058301
01.7,Caça e serviços relacionados,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Produção florestal,498,6069,5361,5006,355,156,5205,4518.12,4192.69,325.43,136.25,4381.87,90788.576,83001.368,7787.208,6949.064,83839.512,1.548815,1.525874,1.84438,3.931116,1.47474,1545.71738142958,1522.82201054326,1840.69077835479,3923.254199012,1471.79017879792
02.1,Produção florestal - florestas plantadas,158,1873,1617,1496,121,57,1560,1561.75,1442.34,119.41,54.53,1507.22,34228.524,31510.249,2718.275,3415.621,30812.903,1.689284,1.683877,1.754603,4.827922,1.575731,1685.9058009383,1680.50896993241,1751.09351748662,4818.26658578905,1572.57952236058
02.2,Produção florestal - florestas nativas,212,1764,1466,1365,101,47,1419,1242.58,1140.17,102.41,43.62,1198.96,25548.229,23150.31,2397.919,2170.463,23377.766,1.584757,1.564996,1.804755,3.835243,1.50288,1581.58700817282,1561.86628039948,1801.14547107028,3827.57203823229,1499.87463494003
02.3,Atividades de apoio à produção florestal,128,2432,2278,2145,133,52,2226,1713.79,1610.18,103.61,38.1,1675.69,31011.823,28340.809,2671.014,1362.98,29648.843,1.394748,1.356638,1.987012,2.757342,1.363767,1391.95866830466,1353.92454928594,1983.03846525061,2751.82717544922,1361.03947076681
03,Pesca e aquicultura,141,892,696,611,85,12,684,916.59,824.93,91.66,11.91,904.68,18894.106,17245.938,1648.168,373.958,18520.148,1.58883,1.611372,1.385951,2.420122,1.577886,1585.65200278289,1608.14931616575,1383.17863676799,2415.28127623845,1574.73003628992
03.1,Pesca,67,566,486,448,38,3,483,699.18,653.31,45.87,3.67,695.51,14371.77,13611.667,760.103,128.047,14243.723,1.584336,1.605899,1.277232,2.689239,1.578506,1581.1676095294,1602.68679140425,1274.67760057688,2683.86082582268,1575.34902445687
03.2,Aquicultura,74,326,210,163,47,9,201,217.41,171.62,45.79,8.24,209.17,4522.336,3634.271,888.065,245.911,4276.425,1.60328,1.632208,1.494859,2.30026,1.575823,1600.07359367094,1628.94364113919,1491.86923580896,2295.65907393577,1572.67184218946
B,Indústrias extrativas,564,,,,,,,,,,,,,,,,,,,,,,,,,,
05,Extração de carvão mineral,1,,,,,,,,,,,,,,,,,,,,,,,,,,
05.0,Extração de carvão mineral,1,,,,,,,,,,,,,,,,,,,,,,,,,,
06,Extração de petróleo e gás natural,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.0,Extração de petróleo e gás natural,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,Extração de minerais metálicos,172,4950,4614,4105,509,654,3960,4507.59,3977.76,529.83,646.69,3860.9,301821.642,272836.23,28985.412,111190.215,190631.427,5.160979,5.28676,4.216664,13.252461,3.805678,5150.65686644424,5276.18617203962,4208.23108718471,13225.9559627309,3798.06675207255
07.1,Extração de minério de ferro,14,67,19,14,5,4,15,16.5,12.01,4.49,2.73,13.77,454.43,343.976,110.454,85.929,368.501,2.1228,2.207554,1.8961,2.426069,2.062675,2118.55477855478,2203.13841029911,1892.30769230769,2421.21724429417,2058.54980168706
07.2,Extração de minerais metálicos não-ferrosos,158,4883,4595,4091,504,650,3945,4491.09,3965.75,525.34,643.96,3847.13,301367.212,272492.254,28874.958,111104.286,190262.926,5.172141,5.296085,4.236498,13.298358,3.811917,5161.79663083332,5285.49268496113,4228.02492744625,13271.7615045368,3804.29299043903
08,Extração de minerais não-metálicos,362,2995,2520,2217,303,112,2408,2652.75,2340.67,312.08,112.92,2539.83,70615.896,62621.293,7994.603,7332.058,63283.838,2.051787,2.062092,1.9745,5.004735,1.9205,2047.68334746961,2057.96739329403,1970.55069705993,4994.72601433282,1916.65880726723
08.1,"Extração de pedra, areia e argila",333,2634,2192,1933,259,68,2124,2327.79,2059.52,268.27,70.95,2256.84,59331.869,52709.156,6622.713,3737.189,55594.68,1.964583,1.972632,1.902786,4.059932,1.89871,1960.65363416671,1968.68710259597,1898.98036134663,4051.81221878896,1894.91228715985
08.9,Extração de outros minerais não-metálicos,29,361,328,284,44,44,284,324.96,281.15,43.81,41.97,282.99,11284.027,9912.137,1371.89,3594.869,7689.158,2.676457,2.717411,2.413638,6.601919,2.094275,2671.10437260917,2711.97608722418,2408.81077379594,6588.71538278257,2090.08690168448
09,Atividades de apoio à extração de minerais,29,,,,,,,,,,,,,,,,,,,,,,,,,,
09.1,Atividades de apoio à extração de petróleo e gás natural,1,,,,,,,,,,,,,,,,,,,,,,,,,,
09.9,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",28,196,172,147,25,5,167,152.29,125.9,26.39,4.03,148.26,4164.096,3562.437,601.659,182.176,3981.92,2.107538,2.180959,1.757264,3.484273,2.070116,2103.32311329094,2176.59742164111,1753.74996356429,3477.30482916587,2065.97557305773
C,Indústrias de transformação,11442,248376,233706,172842,60864,23448,210258,234848.09,173342.37,61505.72,23582.2,211265.89,8027560.034,6161433.592,1866126.442,2662751.782,5364808.252,2.634648,2.739701,2.338577,8.70307,1.957271,2629.37892320095,2734.2214725335,2333.89980389066,8685.66376987076,1953.35630302721
10,Fabricação de produtos alimentícios,2646,68459,64921,47750,17171,2535,62386,64816.48,47766.37,17050.11,2456.12,62360.36,1359475.579,1029059.497,330416.082,127556.057,1231919.522,1.616635,1.660521,1.493689,4.002926,1.522649,1613.40209370305,1657.19988448261,1490.70133226752,3994.92060022124,1519.60380206025
10.1,Abate e fabricação de produtos de carne,311,29200,28792,21380,7412,902,27890,27014.34,19836.81,7177.53,798.01,26216.33,584439.2,435615.116,148824.084,41206.762,543232.438,1.66752,1.692611,1.598175,3.980029,1.597129,1664.18507868271,1689.2259933388,1594.97855969093,3972.06917592126,1593.93441474778
