faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",2059.0,27129,23960,21270,2690,973,22987,23335.91,20662.34,2673.57,932.25,22403.66,495461.484,439167.987,56293.497,64600.03,430861.454,1.636482,1.638239,1.622904,5.341047,1.48233,1633.20915473851,1634.962586336,1619.65798539032,5330.36532788745,1479.36492382186
B Indústrias extrativas,564.0,,,,,,,,,,,,,,,,,,,,,,,,,,
C Indústrias de transformação,11442.0,248376,233706,172842,60864,23448,210258,234848.09,173342.37,61505.72,23582.2,211265.89,8027560.034,6161433.592,1866126.442,2662751.782,5364808.252,2.634648,2.739701,2.338577,8.70307,1.957271,2629.37892320095,2734.2214725335,2333.89980389066,8685.66376987076,1953.35630302721
D Eletricidade e gás,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",554.0,18021,17343,14363,2980,2037,15306,16923.04,14104.95,2818.09,2012.64,14910.4,611794.864,507969.078,103825.786,153671.422,458123.442,2.786465,2.775823,2.839726,5.88509,2.368205,2780.89181285486,2770.27174584373,2834.04679164857,5873.3199257615,2363.46877140994
F Construção,8691.0,94145,81944,73002,8942,3770,78174,85018.97,75754.34,9264.63,3897.02,81121.95,1936565.342,1717757.677,218807.665,199267.87,1737297.472,1.755668,1.747755,1.820374,3.941221,1.650676,1752.15678064826,1744.25921898438,1816.7329775883,3933.33821543325,1647.37493461293
G Comércio; reparação de veículos automotores e motocicletas,81827.0,557675,453257,266734,186523,27604,425653,460081.69,271100.65,188981.04,28523.29,431558.4,9457079.382,5730300.462,3726778.92,1092394.675,8364684.707,1.584339,1.629195,1.519993,2.95193,1.49395,1581.17060639651,1625.93613564102,1516.95271408424,2946.02619877948,1490.96225482773
"H Transporte, armazenagem e correio",6546.0,92615,83243,69872,13371,4213,79030,85816.31,71896.66,13919.65,4393.23,81423.08,2197161.155,1880097.68,317063.475,228832.133,1968329.022,1.973414,2.01557,1.755675,4.014756,1.863272,1969.46706912079,2011.53848400661,1752.16317054833,4006.72666107415,1859.54553388586
I Alojamento e alimentação,9033.0,74661,63495,27150,36345,2075,61420,63905.08,27472.31,36432.77,2067.18,61837.9,1087054.898,487162.478,599892.42,58496.653,1028558.245,1.311119,1.366799,1.269133,2.181116,1.282036,1308.49703244971,1364.06573634437,1266.59517706808,2176.75409904389,1279.47205516358
J Informação e comunicação,2990.0,23494,19513,13358,6155,4095,15418,19481.91,13227.46,6254.45,4254.93,15226.98,584719.955,411668.653,173051.302,224363.918,360356.037,2.313356,2.398819,2.132612,4.064309,1.824081,2308.72938417861,2394.02118483356,2128.34679554311,4056.18022460462,1820.43288648479
"K Atividades financeiras, de seguros e serviços relacionados",1867.0,22530,19366,8480,10886,8341,11025,19141.04,8410.48,10730.56,8234.55,10906.49,738078.036,353888.593,384189.443,427360.359,310717.677,2.972096,3.243186,2.759619,4.000189,2.195872,2966.1519718083,3236.69986273536,2754.09988639205,3992.18825184506,2191.48046431352
L Atividades imobiliárias,2234.0,8818,5353,3402,1951,547,4806,5387.29,3418.54,1968.75,586.71,4800.58,124687.587,82392.904,42294.683,21629.949,103057.638,1.783935,1.857699,1.655851,2.841568,1.654675,1780.36690917954,1853.98318940474,1652.53950671551,2835.88524274212,1651.36517158023
"M Atividades profissionais, científicas e técnicas",11233.0,49160,34330,17665,16665,9835,24495,35001.09,18103.79,16897.3,10594.6,24406.49,1074666.497,607340.563,467325.934,549845.766,524820.731,2.366564,2.585764,2.131713,4.000207,1.657417,2361.8308348507,2580.59250831753,2127.44928297602,3992.20623278332,1654.10206307988
