faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",76587.0,268395.0,180779.0,148855.0,31924.0,9772.0,171007.0,193726.14,160539.27,33186.87,9678.09,184048.05,5242555.882,4519257.742,723298.14,850452.056,4392103.826,2.182042,2.269834,1.757354,7.085467,1.924198,2081.66811863704,2165.42164993697,1676.51599748751,6759.5350862698,1835.68443382877
B Indústrias extrativas,4795.0,138923.0,130629.0,113704.0,16925.0,27024.0,103605.0,130428.37,113752.15,16676.22,26544.52,103883.85,9416457.009,8080773.493,1335683.516,4550883.032,4865573.977,5.82135,5.727981,6.458241,13.823852,3.776542,5553.56819107801,5464.49417439583,6161.16157295561,13187.9546338929,3602.8210478115
C Indústrias de transformação,175521.0,4157710.0,3897054.0,2810786.0,1086268.0,617129.0,3279925.0,3960698.44,2854989.65,1105708.79,620331.4,3340367.04,186924352.805,147457760.637,39466592.168,77285377.707,109638975.098,3.805418,4.164582,2.878042,10.045738,2.646544,3630.36888251845,3973.01078285332,2745.65213977432,9583.63393241841,2524.80257835102
D Eletricidade e gás,1155.0,55056.0,52815.0,43105.0,9710.0,20035.0,32780.0,52749.86,42998.86,9751.0,20154.07,32595.79,5170093.391,4322085.565,848007.826,2971009.952,2199083.439,7.902879,8.104845,7.012276,11.88638,5.439869,7539.34686490892,7732.02174161397,6689.71092511222,11339.6066936814,5189.6353651334
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",5080.0,222262.0,215454.0,172838.0,42616.0,27087.0,188367.0,214896.18,172186.09,42710.09,26800.69,188095.49,9234310.042,7518424.99,1715885.052,2658813.622,6575496.42,3.464847,3.520765,3.23941,7.999267,2.818762,3305.4637904327,3358.81013295647,3090.39755819184,7631.30071536333,2689.09912153171
F Construção,115520.0,1140143.0,961542.0,863024.0,98518.0,71323.0,890219.0,950132.08,852617.07,97515.01,70673.87,879458.21,30652176.451,27249894.997,3402281.454,5906692.003,24745484.448,2.601271,2.577028,2.813242,6.738973,2.268762,2481.61258485241,2458.48440378985,2683.83255049659,6428.98037574131,2164.39937912719
G Comércio; reparação de veículos automotores e motocicletas,833669.0,5791911.0,4626140.0,2534454.0,2091686.0,415810.0,4210330.0,4593439.11,2528771.79,2064667.32,411822.99,4181616.12,127656529.069,75915313.42,51741215.649,31915299.24,95741229.829,2.240853,2.420628,2.020667,6.2488,1.846134,2137.77363107523,2309.2789618023,1927.71662190185,5961.35494636066,1761.21140140577
"H Transporte, armazenagem e correio",105825.0,1448193.0,1303298.0,1065239.0,238059.0,153319.0,1149979.0,1307178.36,1071193.45,235984.91,152513.44,1154664.92,52033771.275,43474021.38,8559749.895,14570781.747,37462989.528,3.209658,3.272429,2.924726,7.70341,2.616102,3062.01350394495,3121.89688124888,2790.18815065499,7349.05307462638,2495.76164938896
I Alojamento e alimentação,155930.0,1279502.0,1063303.0,473702.0,589601.0,56884.0,1006419.0,1063141.2,473151.41,589989.79,58056.02,1005085.18,22238213.841,10724254.236,11513959.605,2528405.755,19709808.086,1.68662,1.827575,1.573579,3.511622,1.581204,1609.03540745395,1743.50665791836,1501.19411453648,3350.08755999146,1508.46825095805
J Informação e comunicação,92276.0,741814.0,602395.0,376240.0,226155.0,322082.0,280313.0,589849.81,367469.29,222380.52,312486.24,277363.57,42511323.659,29520736.995,12990586.664,32969875.148,9541448.511,5.811275,6.477604,4.71021,8.507357,2.773787,5543.95672336162,6179.63455583542,4493.54060882117,8116.01893943825,2646.19314558588
