codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",75387,262101,175187,143873,31314,10341,164846,193465.58,160694.34,32771.24,10631.74,182833.84,5177449.531,4434621.032,742828.499,891765.127,4285684.404,2.06271,2.127071,1.747116,6.465055,1.806715,2058.58503894316,2122.81711209761,1743.62196148912,6452.12518943639,1803.1018277411
01,"Agricultura, pecuária e serviços relacionados",70142,219745,139988,113048,26940,8809,131179,156095.28,127721.34,28373.94,8974.05,147121.23,4412639.686,3756401.586,656238.1,798948.994,3613690.692,2.178887,2.266912,1.782657,6.862094,1.893223,2174.5296975027,2262.37814412099,1779.09214744776,6848.37001388191,1889.43639933491
01.1,Produção de lavouras temporárias,20167,64877,42360,37096,5264,2629,39731,50345.16,44618.06,5727.1,2784.18,47560.98,1650206.916,1507689.733,142517.183,255761.618,1394445.298,2.526427,2.604518,1.918044,7.080504,2.259835,2521.3743195664,2599.30918797662,1914.2079291036,7066.34291438938,2255.31565840479
01.2,Horticultura e floricultura,5240,9065,3459,2104,1355,270,3189,3550.98,2174.55,1376.43,280.31,3270.67,96049.525,64275.797,31773.728,30546.443,65503.082,2.084842,2.278265,1.779263,8.399398,1.543658,2080.67209615374,2273.70815889406,1775.70448411973,8382.59921021506,1540.57077460723
01.3,Produção de lavouras permanentes,12941,41299,27109,20909,6200,1028,26081,29864.62,23008.69,6855.93,1031.04,28833.58,665943.746,534892.124,131051.622,88848.035,577095.711,1.718726,1.791845,1.473337,6.641993,1.542678,1715.28859232095,1788.26121782683,1470.3904503109,6628.70910029604,1539.59299432227
01.4,Produção de sementes e mudas certificadas,363,5354,4827,3602,1225,1513,3314,6088.5,4651.7,1436.8,1565.57,4522.93,304981.155,245351.914,59629.241,181417.575,123563.58,3.860902,4.065405,3.198815,8.931676,2.105701,3853.18039683893,4057.27457786318,3192.41696290903,8913.81290962594,2101.48969124677
01.5,Pecuária,25894,60637,31421,23788,7633,2021,29400,31658.23,24036.69,7621.54,2022.63,29635.6,857422.915,686409.068,171013.847,176982.473,680440.442,2.087539,2.201073,1.729476,6.744347,1.769712,2083.36375236878,2196.6709034589,1726.01748566462,6730.85852806266,1766.17218688127
01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,5537,38513,30812,25549,5263,1348,29464,34587.79,29231.65,5356.14,1290.32,33297.47,838035.429,717782.95,120252.479,65392.85,772642.579,1.867522,1.892631,1.730487,3.90624,1.788519,1863.78672269118,1888.8455861001,1727.02556174926,3898.42770070156,1784.94175498804
01.7,Caça e serviços relacionados,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Produção florestal,3946,39851,34189,30083,4106,1369,32820,36367.74,32240.78,4126.96,1499.31,34868.43,736508.707,657258.987,79249.72,82138.947,654369.76,1.560945,1.571293,1.480109,4.222637,1.446495,1557.82338751533,1568.15013828402,1477.14838711601,4214.19222072923,1443.60200286091
