faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",8307.0,81406.0,66595.0,53231.0,13364.0,3414.0,63181.0,69646.0,56117.3,13528.7,3379.42,66266.58,1816784.269,1536999.699,279784.57,238949.314,1577834.955,2.103369,2.208438,1.667539,5.701274,1.919885,2006.61396314107,2106.85022402936,1590.83208290523,5439.01511547498,1831.57059886574
B Indústrias extrativas,1871.0,18605.0,15474.0,14150.0,1324.0,874.0,14600.0,15883.92,14513.8,1370.12,895.5,14988.42,574543.305,531120.756,43422.549,69703.868,504839.437,2.916576,2.950668,2.555436,6.27624,2.715849,2782.41384029596,2814.93769855109,2437.88578877987,5987.53322166388,2590.92038027716
C Indústrias de transformação,118422.0,2048956.0,1873741.0,1219073.0,654668.0,181430.0,1692311.0,1919287.53,1239567.29,679720.24,182819.98,1736467.55,63299310.317,46017870.791,17281439.526,15702780.184,47596530.133,2.659299,2.9934,2.050019,6.92566,2.210125,2536.97147539551,2855.70315000189,1955.71857916133,6607.07964195161,2108.45952675148
D Eletricidade e gás,793.0,28958.0,27139.0,22012.0,5127.0,9986.0,17153.0,27607.53,22401.77,5205.76,10167.12,17440.41,2524502.802,2145038.127,379464.675,1302181.973,1222320.829,7.37321,7.720776,5.877539,10.327186,5.651149,7034.04191649051,7365.62034366721,5607.17174526205,9852.13551890044,5391.19660339672
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",3150.0,57150.0,53242.0,42342.0,10900.0,10660.0,42582.0,52701.36,41866.24,10835.12,10437.27,42264.09,2440662.25,1954120.717,486541.533,916307.83,1524354.42,3.73417,3.763533,3.620716,7.078851,2.90819,3562.3985794674,3590.41027402435,3454.16310749034,6753.22356251277,2774.41280074154
F Construção,60252.0,391143.0,290568.0,264447.0,26121.0,15658.0,274910.0,299683.11,273057.06,26626.05,15791.62,283891.49,8216851.022,7464335.869,752515.153,991564.183,7225286.839,2.21081,2.204175,2.278855,5.062936,2.052159,2109.11273321599,2102.78277452621,2174.02810405599,4830.04073825718,1957.759619028
G Comércio; reparação de veículos automotores e motocicletas,391289.0,2214539.0,1659844.0,893504.0,766340.0,136565.0,1523279.0,1647218.9,890938.6,756280.3,135047.77,1512171.13,42126849.874,24960955.908,17165893.966,6668034.976,35458814.898,2.06213,2.259029,1.830172,3.981243,1.890739,1967.27157112186,2155.11319341716,1745.98410404185,3798.10616187602,1803.76485960289
"H Transporte, armazenagem e correio",66874.0,516642.0,422284.0,359653.0,62631.0,27688.0,394596.0,422592.0,359212.31,63379.69,27464.67,395127.33,13126450.358,11457958.743,1668491.615,1660294.642,11466155.716,2.504577,2.571961,2.122669,4.874376,2.339856,2389.36598566794,2453.65043800762,2025.02582209149,4650.15499773121,2232.22215014549
I Alojamento e alimentação,60441.0,375430.0,292487.0,111585.0,180902.0,13010.0,279477.0,289398.62,109532.05,179866.57,12791.1,276607.52,6059890.348,2508355.772,3551534.576,471370.493,5588519.855,1.688405,1.846529,1.592113,2.971411,1.629075,1610.73819697072,1761.58890480001,1518.87572762752,2834.72638727769,1554.13758343341
J Informação e comunicação,24994.0,169036.0,129229.0,84142.0,45087.0,57813.0,71416.0,123778.37,80884.88,42893.49,55038.53,68739.84,5962710.519,4233665.277,1729045.242,3887631.457,2075079.062,3.884251,4.220437,3.250298,5.69543,2.434078,3705.57505259664,4026.29712461996,3100.78476136696,5433.44042101751,2322.10994828752
"K Atividades financeiras, de seguros e serviços relacionados",20544.0,146099.0,106117.0,37552.0,68565.0,51297.0,54820.0,103617.02,36698.64,66918.38,50002.59,53614.43,5255877.888,2399716.282,2856161.606,3493922.375,1761955.513,4.089992,5.27252,3.441483,5.634158,2.649851,3901.85221575493,5029.98367661162,3283.17480075096,5374.98676799311,2527.95822806544
L Atividades imobiliárias,24745.0,70856.0,25773.0,10798.0,14975.0,4572.0,21201.0,26128.27,11132.8,14995.47,4550.42,21577.85,735206.784,347885.453,387321.331,216382.463,518824.321,2.268857,2.51965,2.082666,3.834236,1.938744,2164.48957393658,2403.74564004909,1986.86326860455,3657.86121855869,1849.56161776294
"M Atividades profissionais, científicas e técnicas",69827.0,262618.0,154167.0,65737.0,88430.0,50443.0,103724.0,151567.92,64324.48,87243.44,50143.18,101424.74,5009748.175,2428273.555,2581474.62,2497125.042,2512623.133,2.665121,3.043895,2.385851,4.015473,1.997523,2542.52512161392,2903.87537468688,2276.10202863655,3830.76106645625,1905.63665766815
N Atividades administrativas e serviços complementares,102456.0,662391.0,553795.0,292379.0,261416.0,37656.0,516139.0,545700.42,285992.13,259708.29,36768.45,508931.97,12599822.67,7632753.773,4967068.897,1776164.107,10823658.563,1.861737,2.151966,1.542136,3.895077,1.714836,1776.09745739528,2052.97574312756,1471.19763811218,3715.90339627505,1635.95366239376
"O Administração pública, defesa e seguridade social",4112.0,925905.0,925882.0,353220.0,572662.0,490023.0,435859.0,954339.81,356440.47,597899.34,506572.49,447767.32,56383804.748,25781594.723,30602210.025,40385662.757,15998141.991,4.763867,5.832182,4.126986,6.428267,2.880882,4544.72893658932,5563.90129907786,3937.14459656241,6132.56642271702,2748.36115105497
