codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",9642,83216,66804,53391,13413,3619,63185,71539.29,57606.65,13932.64,3690.97,67848.32,1850159.523,1562752.859,287406.664,262588.683,1587570.84,1.993383,2.090951,1.589972,5.483547,1.803517,1989.3958034486,2086.76877382412,1586.7922319874,5472.58023271348,1799.90947227807
01,"Agricultura, pecuária e serviços relacionados",6817,60600,48284,36999,11285,2842,45442,51889.71,40153.53,11736.18,2876.01,49013.7,1348822.351,1110217.211,238605.14,203626.566,1145195.785,2.003547,2.131132,1.567037,5.457204,1.800895,1999.54028383544,2126.86964067859,1563.90252522214,5446.28912973182,1797.29307237647
01.1,Produção de lavouras temporárias,1704,16727,13105,11071,2034,886,12219,14941.09,12545.45,2395.64,891.43,14049.66,470155.256,417677.75,52477.506,79912.759,390242.497,2.42541,2.566145,1.688409,6.909633,2.140892,2420.55893666907,2561.0127729422,1685.03248850797,6895.81381341475,2136.61068064171
01.2,Horticultura e floricultura,293,2398,1931,1202,729,62,1869,1892.89,1185.08,707.81,69.63,1823.26,42922.415,28078.562,14843.853,3539.67,39382.745,1.747772,1.826221,1.616427,3.918253,1.664882,1744.27686277028,1822.56842121661,1613.19400143237,3910.41659762039,1661.5523420011
01.3,Produção de lavouras permanentes,319,5437,4760,3252,1508,224,4536,6299.53,4399.59,1899.94,243.95,6055.58,132526.663,99196.721,33329.942,14995.859,117530.804,1.621516,1.737846,1.352137,4.738017,1.495967,1618.27290167801,1734.37002084285,1349.43297804546,4728.5411575512,1492.97525206885
01.4,Produção de sementes e mudas certificadas,132,2118,1885,1171,714,320,1565,1646.31,1189.71,456.6,310.13,1336.18,66292.897,53547.467,12745.43,32228.762,34064.135,3.103713,3.469157,2.151517,8.009879,1.964982,3097.50509647917,3462.21845918495,2147.21351797567,7993.85915087718,1961.05171228658
01.5,Pecuária,1489,17926,14958,10364,4594,811,14147,14614.76,10165.4,4449.36,798.41,13816.35,356248.165,266005.663,90242.502,49607.85,306640.315,1.878828,2.016938,1.56329,4.789063,1.710653,1875.07047669616,2012.90397593042,1560.16391640077,4779.48480296898,1707.23212269967
01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,2880,15994,11645,9939,1706,539,11106,12495.13,10668.3,1826.83,562.46,11932.67,280676.955,245711.048,34965.907,23341.666,257335.289,1.731379,1.775234,1.475274,3.198647,1.662217,1727.91599607207,1771.68338405874,1472.32372680882,3192.24970527819,1658.8929578015
01.7,Caça e serviços relacionados,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Produção florestal,2636,21461,17654,15665,1989,743,16911,18718.34,16661.72,2056.62,779.43,17938.91,478424.276,432245.716,46178.56,57294.105,421130.171,1.970026,1.999572,1.730663,5.66577,1.809449,1966.08606236533,1995.57251361435,1727.2013901824,5654.43830254654,1805.8303731086
