municipios_uf,posicao_municipio,pib,partipacao_percentual,percentual_acumulado
Oliveira de Fátima (TO),1º,20798.420048626853,0.004947007628055917,0.004947007628055917
Rio da Conceição (TO),2º,23166.42385552939,0.005510249108352191,0.010457256736408108
São Félix do Tocantins (TO),3º,23257.320627972866,0.005531869357659216,0.015989126094067323
Chapada de Areia (TO),4º,24102.32210323874,0.005732857160294483,0.021721983254361806
Lavandeira (TO),5º,25746.274734988805,0.006123879468259029,0.027845862722620837
Taipas do Tocantins (TO),6º,27860.397921450192,0.006626734180569971,0.03447259690319081
Novo Alegre (TO),7º,29336.902208455966,0.006977928067105455,0.04145052497029626
Cachoeirinha (TO),8º,29532.098405664627,0.007024356453218491,0.048474881423514755
Juarina (TO),9º,30599.335728973772,0.00727820415737162,0.055753085580886375
Novo Jardim (TO),10º,30831.97006727856,0.007333537391504349,0.06308662297239072
Tupiratins (TO),11º,31483.137433675864,0.007488420787511212,0.07057504375990192
Santa Terezinha do Tocantins (TO),12º,32724.948796818164,0.007783791795102581,0.0783588355550045
Ipueiras (TO),13º,33083.28152056229,0.007869023015243328,0.08622785857024783
Porto Alegre do Tocantins (TO),14º,34848.98393652099,0.008289004114778875,0.0945168626850267
Santa Tereza do Tocantins (TO),15º,36095.959683151625,0.00858560349666268,0.10310246618168938
São Salvador do Tocantins (TO),16º,36386.751533355375,0.008654769784186979,0.11175723596587636
Monte Santo do Tocantins (TO),17º,38117.69522528315,0.009066483348375105,0.12082371931425147
Lizarda (TO),18º,38788.72273321093,0.009226090577798923,0.1300498098920504
Angico (TO),19º,38890.64254333788,0.00925033271143067,0.13930014260348106
Carmolândia (TO),20º,41442.87922624315,0.00985739489737638,0.14915753750085745
Maurilândia do Tocantins (TO),21º,41930.58136452362,0.009973397276049945,0.1591309347769074
Centenário (TO),22º,42479.54374587154,0.010103970708151735,0.16923490548505915
Carrasco Bonito (TO),23º,43325.04648658626,0.010305077739266536,0.17953998322432568
Brasilândia do Tocantins (TO),24º,43680.30255238331,0.010389577161015988,0.18992956038534167
Sampaio (TO),25º,44538.39258539419,0.010593678142193344,0.200523238527535
Santarém Novo (PA),26º,45342.60335382085,0.010784963672376396,0.2113082021999114
Luzinópolis (TO),27º,45658.617430681355,0.010860129191927732,0.2221683313918391
Lagoa do Tocantins (TO),28º,45685.074063332606,0.010866422033558606,0.23303475342539773
Itaporã do Tocantins (TO),29º,46519.27811183508,0.011064841614548333,0.24409959503994605
São João da Ponta (PA),30º,46627.96553318911,0.011090693458162177,0.2551902884981082
Santo Antônio dos Milagres (PI),1º,15515.26909286447,0.0014807952475458038,0.0014807952475458038
Miguel Leão (PI),2º,16910.834481283913,0.001613989624159055,0.003094784871704859
Viçosa (RN),3º,19218.495255017027,0.00183423544047322,0.0049290203121780795
Parari (PB),4º,20151.765190476974,0.0019233078037583689,0.006852328115936448
Areia de Baraúnas (PB),5º,20576.61639916387,0.0019638560950559387,0.008816184210992388
Coxixola (PB),6º,20793.396634042423,0.0019845458516852747,0.010800730062677663
São Luis do Piauí (PI),7º,21883.784284013444,0.002088613711571914,0.012889343774249577
Floresta do Piauí (PI),8º,22071.745120145108,0.002106552911414507,0.014995896685664084
Aroeiras do Itaim (PI),9º,22512.08537247394,0.002148579494972219,0.017144476180636303
Quixaba (PB),10º,23105.28730448194,0.0022051953742389485,0.019349671554875252
Curral Velho (PB),11º,23390.950768685187,0.0022324594260357804,0.02158213098091103
São Miguel da Baixa Grande (PI),12º,23457.092343970315,0.002238772054567144,0.023820903035478173
Zabelê (PB),13º,23511.289772331944,0.002243944719885854,0.026064847755364027
Olho D'Água do Piauí (PI),14º,23588.046327108514,0.002251270454351098,0.028316118209715125
São Domingos do Cariri (PB),15º,23839.32043145513,0.002275252345823346,0.03059137055553847
Passagem (PB),16º,23885.704467181477,0.0022796792919017195,0.03287104984744019
João Dias (RN),17º,24047.694305608267,0.002295139789651219,0.03516618963709141
Pedro Laurentino (PI),18º,24454.901136437536,0.0023340040810954123,0.03750019371818682
Lagoinha do Piauí (PI),19º,24727.44629750693,0.0023600161068513025,0.03986020982503812
Porto Alegre do Piauí (PI),20º,25131.84702498059,0.0023986125805420147,0.04225882240558013
Prata do Piauí (PI),21º,25170.709379697426,0.0024023216486753927,0.044661144054255524
São José do Brejo do Cruz (PB),22º,25280.741031175283,0.002412823196899455,0.04707396725115498
Monte das Gameleiras (RN),23º,25400.1198071346,0.00242421684550718,0.04949818409666216
São Miguel do Fidalgo (PI),24º,25430.44776178949,0.0024271113806165587,0.05192529547727872
Algodão de Jandaíra (PB),25º,25523.647155427007,0.0024360064386620586,0.054361301915940775
Novo Santo Antônio (PI),26º,25621.86806992969,0.0024453807564734117,0.056806682672414184
Tamboril do Piauí (PI),27º,25870.74025853456,0.0024691334063260593,0.059275816078740245
Santo André (PB),28º,25972.66882658811,0.0024788615868854454,0.06175467766562569
Lastro (PB),29º,26180.66245403734,0.002498712739527605,0.0642533904051533
Amparo (PB),30º,26204.14001333535,0.0025009534649719648,0.06675434387012526
Serra da Saudade (MG),1º,19107.32558169774,0.00048774480304131506,0.00048774480304131506
Cedro do Abaeté (MG),2º,19597.699107115048,0.0005002623653526224,0.0009880071683939374
Passabém (MG),3º,20345.8853175673,0.0005193610055204966,0.0015073681739144339
São Sebastião do Rio Preto (MG),4º,20766.12569355055,0.0005300883079123234,0.0020374564818267573
Senador José Bento (MG),5º,22574.25350658742,0.0005762436392941228,0.00261370012112088
