unidade_federativa,participacao_num_mun_uf,partipacao_total_pop_uf,year,participacao_percentual_pib_uf
Rondônia (52 municípios),9.615384615384617,53.54352994134114,2002,58.323313722372745
Acre (22 municípios),22.727272727272727,69.21008917890775,2002,80.06775667211971
Amazonas (62 municípios),8.064516129032258,62.270155578455515,2002,88.1189014089059
Roraima (15 municípios),33.33333333333333,79.49735951967855,2002,87.46615653615325
Pará (144 municípios),3.4722222222222223,29.618621238389768,2002,49.287934270614265
Amapá (16 municípios),31.25,83.96889791198385,2002,91.72348759344742
Tocantins (139 municípios),3.597122302158273,42.629569206785575,2002,52.29185737945174
Maranhão (217 municípios),2.3041474654377883,24.671948321887456,2002,52.099004485447125
Piauí (224 municípios),2.232142857142857,35.977889709451865,2002,60.20697487470517
Ceará (184 municípios),2.717391304347826,40.97391634193225,2002,61.07998871559547
Rio Grande do Norte (167 municípios),2.9940119760479043,43.89747731085392,2002,60.409557301609084
Paraíba (223 municípios),2.242152466367713,38.0941916470037,2002,56.37921190648022
Pernambuco (185 municípios),2.7027027027027026,28.57606687237125,2002,58.746758815453695
Alagoas (102 municípios),4.901960784313726,42.987579692553126,2002,54.07107884191666
Sergipe (75 municípios),6.666666666666667,45.032139961090984,2002,61.78149940963675
Bahia (417 municípios),1.1990407673860912,28.001177161612432,2002,43.431614858889496
Minas Gerais (853 municípios),0.5861664712778429,23.031277506589774,2002,37.00671972276464
Espírito Santo (78 municípios),6.41025641025641,47.983402386373534,2002,64.61365950058112
Rio de Janeiro (92 municípios),5.434782608695652,51.091034589572644,2002,68.06402445765615
São Paulo (645 municípios),0.7751937984496124,34.425534378989425,2002,47.1484289229214
Paraná (399 municípios),1.2531328320802004,29.680774556000166,2002,42.56757162225965
Santa Catarina (295 municípios),1.694915254237288,26.724586966146102,2002,34.352168540182035
Rio Grande do Sul (497 municípios),1.0060362173038229,24.907774197237135,2002,34.76569655220042
Mato Grosso do Sul (79 municípios),6.329113924050633,51.97147448745693,2002,52.07422127308841
Mato Grosso (141 municípios),3.546099290780142,39.125593419479486,2002,41.69436205172154
