municipios_uf,posicao_municipio,val_add_agropecuaria,partipacao_percentual,percentual_acumulado
São Desidério (BA),1º,1575333.2270704978,0.5070042634289065,0.5070042634289065
Sorriso (MT),2º,1469327.2600851615,0.47288736911924045,0.9798916325481469
Rio Verde (GO),3º,1467676.4489831652,0.4723560731036131,1.45224770565176
Diamantino (MT),4º,1362645.8958785287,0.43855310538904724,1.8908008110408072
Campo Novo do Parecis (MT),5º,1323744.192197006,0.4260330053351319,2.316833816375939
Sapezal (MT),6º,1263945.7860535092,0.40678752359195436,2.7236213399678935
Jataí (GO),7º,1244867.8752517828,0.4006475006764352,3.1242688406443286
Formosa do Rio Preto (BA),8º,1184592.8795067668,0.3812486336331041,3.5055174742774327
Petrolina (PE),9º,1075281.6224457326,0.3460679668266409,3.8515854411040737
Ulianópolis (PA),10º,1018655.9160881897,0.327843584804092,4.179429025908166
Brasília (DF),11º,992393.58410208,0.319391332254767,4.498820358162933
Cristalina (GO),12º,988804.2778469552,0.3182361521678946,4.817056510330828
Nova Mutum (MT),13º,930066.7036528316,0.29933208791777277,5.1163885982486015
Tasso Fragoso (MA),14º,912683.4899382016,0.2937374852559584,5.41012608350456
Campo Verde (MT),15º,887168.6934954339,0.28552581907974245,5.695651902584302
Balsas (MA),16º,873435.2826714647,0.28110586670425597,5.976757769288558
Barreiras (BA),17º,861267.7394435686,0.27718987217942087,6.253947641467979
Nova Ubiratã (MT),18º,819662.7646544848,0.263799753037997,6.517747394505976
Santana do Mundaú (AL),19º,816130.5344696424,0.2626629422779919,6.7804103367839685
São Bento do Una (PE),20º,794583.701796516,0.25572832308699106,7.03613865987096
Unaí (MG),21º,782041.1195262555,0.25169162623063424,7.2878302861015944
Três Lagoas (MS),22º,774408.3756247174,0.24923510869311166,7.537065394794706
Primavera do Leste (MT),23º,738278.4178477338,0.23760706561266354,7.77467246040737
Luís Eduardo Magalhães (BA),24º,734860.3438755855,0.2365069948169645,8.011179455224335
Itapeva (SP),25º,733416.4894706487,0.23604230561566145,8.247221760839997
Maracaju (MS),26º,726689.6908286453,0.23387735693552364,8.481099117775521
Santa Maria de Jetibá (ES),27º,724601.3483115134,0.2332052460820919,8.714304363857613
Arapiraca (AL),28º,714756.4207390656,0.23003676073143253,8.944341124589045
Rio Brilhante (MS),29º,700154.318857257,0.22533722936760323,9.169678353956648
Ponta Porã (MS),30º,670139.2606903841,0.21567720176444635,9.385355555721095
Costa Rica (MS),31º,659701.7410956769,0.21231799696688103,9.597673552687976
Lucas do Rio Verde (MT),32º,655482.3834984329,0.21096004154895848,9.808633594236934
