municipios_uf,posicao_municipio,val_add_servicos,partipacao_percentual,percentual_acumulado
São Paulo (SP),1º,528380119.1528453,14.866881513553952,14.866881513553952
Rio de Janeiro (RJ),2º,182466623.6033457,5.134011623371617,20.00089313692557
Brasília (DF),3º,125261853.48797783,3.5244572353700243,23.525350372295595
Belo Horizonte (MG),4º,58649783.37984926,1.6502123162805784,25.17556268857617
Osasco (SP),5º,58285769.62493513,1.6399701645276148,26.815532853103786
Porto Alegre (RS),6º,57616369.17560593,1.6211354339907187,28.436668287094506
Curitiba (PR),7º,54620794.71503271,1.5368498052244939,29.973518092319
Fortaleza (CE),8º,39811444.93484464,1.1201633318048843,31.093681424123886
Campinas (SP),9º,39748104.84888611,1.118381149775565,32.21206257389945
Salvador (BA),10º,39290861.48425635,1.1055158229428514,33.3175783968423
Guarulhos (SP),11º,36397150.87871416,1.0240963085673198,34.34167470540962
Recife (PE),12º,32806964.13671043,0.9230802427272993,35.264754948136925
Barueri (SP),13º,32615519.515025955,0.9176936197189364,36.182448567855864
Goiânia (GO),14º,31386484.081365768,0.8831125983938327,37.065561166249694
Manaus (AM),15º,28503901.761261985,0.8020061974286372,37.86756736367833
São Bernardo do Campo (SP),16º,27448910.09361115,0.7723221961723096,38.639889559850644
Jundiaí (SP),17º,26774854.70582955,0.753356490952763,39.393246050803405
Ribeirão Preto (SP),18º,24844129.065946605,0.699032211361507,40.09227826216491
Duque de Caxias (RJ),19º,21134166.80516542,0.594646055729418,40.68692431789433
São José dos Campos (SP),20º,19099864.421130892,0.5374074666722226,41.22433178456655
Niterói (RJ),21º,18961627.190571453,0.5335179249332487,41.7578497094998
Sorocaba (SP),22º,18299716.43191188,0.5148939296979322,42.272743639197735
Belém (PA),23º,18073651.167737182,0.5085331954935417,42.781276834691276
Uberlândia (MG),24º,17594854.66410289,0.4950614341031858,43.27633826879446
Santo André (SP),25º,17190523.736949496,0.48368488951272576,43.760023158307185
Contagem (MG),26º,15975976.33437987,0.4495115138082283,44.20953467211541
Santos (SP),27º,15674438.843492001,0.4410272389719384,44.65056191108735
Campo Grande (MS),28º,15438984.321670555,0.43440232188883116,45.08496423297618
São Luís (MA),29º,14908473.044616241,0.41947547659000345,45.504439709566185
Joinville (SC),30º,14842472.42149929,0.41761843578144,45.92205814534763
Natal (RN),31º,14054625.814874658,0.39545101931936116,46.31750916466699
Cuiabá (MT),32º,13823876.341083104,0.38895848683787015,46.70646765150486
Florianópolis (SC),33º,13585222.93214218,0.3822435635753919,47.08871121508025
Maceió (AL),34º,13402931.571949288,0.3771144832888788,47.46582569836913
São José do Rio Preto (SP),35º,13314849.272557884,0.3746361366194528,47.84046183498858
Londrina (PR),36º,12852866.19206614,0.36163744974616674,48.20209928473475
Paulínia (SP),37º,12836072.55038007,0.3611649318143259,48.56326421654908
Itajaí (SC),38º,12802223.437836653,0.3602125289375319,48.92347674548661
Caxias do Sul (RS),39º,12715361.209131746,0.3577685110508833,49.281245256537495
Cajamar (SP),40º,12445618.395707443,0.3501788340343797,49.631424090571876
Vitória (ES),41º,12221583.380610593,0.34387522437231993,49.975299314944195
Piracicaba (SP),42º,12114738.672887554,0.34086896514247705,50.31616828008667
Serra (ES),43º,12054588.075092351,0.33917652483676597,50.65534480492344
Teresina (PI),44º,11647168.174806286,0.3277130666855997,50.983057871609034
Maringá (PR),45º,11546436.005121227,0.32487879420443205,51.307936665813465
João Pessoa (PB),46º,10790090.220615927,0.3035977074376841,51.611534373251146
Campos dos Goytacazes (RJ),47º,10287482.686401984,0.28945598183499033,51.90099035508614
Aracaju (SE),48º,10218295.822622318,0.2875092906768221,52.18849964576296
Juiz de Fora (MG),49º,10197314.225780996,0.2869189374388819,52.475418583201844
Maricá (RJ),50º,10108562.276011981,0.2844217490067579,52.759840332208604
São José dos Pinhais (PR),51º,10055295.026716301,0.28292298352500295,53.04276331573361
Bauru (SP),52º,9930604.876082333,0.2794146121306467,53.32217792786425
Betim (MG),53º,9924628.617509142,0.27924645983861035,53.60142438770286
Embu das Artes (SP),54º,9101299.376026614,0.2560806785457979,53.85750506624866
Canoas (RS),55º,8948286.419375628,0.25177539639359275,54.10928046264225
Nova Iguaçu (RJ),56º,8918527.685468815,0.25093808334007495,54.36021854598233
Blumenau (SC),57º,8809647.90898255,0.247874563957781,54.60809310994011
Mogi das Cruzes (SP),58º,8633821.095603762,0.24292737479101367,54.85102048473112
Louveira (SP),59º,8428126.533640575,0.2371398052556722,55.088160289986796
São Gonçalo (RJ),60º,8299206.621032132,0.2335124222486045,55.3216727122354
Feira de Santana (BA),61º,8057247.400332934,0.22670448429852755,55.54837719653393
Camaçari (BA),62º,7855130.185889975,0.22101756957548546,55.769394766109414
São Caetano do Sul (SP),63º,7555367.557761366,0.2125832335491324,55.98197799965855
Taubaté (SP),64º,7332440.629080886,0.206310801800211,56.18828880145876
Vila Velha (ES),65º,7258121.556013595,0.20421970712530146,56.392508508584065
Indaiatuba (SP),66º,7251748.787237631,0.20404039833817783,56.596548906922244
Porto Velho (RO),67º,7194917.28829858,0.2024413465753689,56.798990253497614
Uberaba (MG),68º,7167920.591149895,0.20168174816653728,57.00067200166415
Aparecida de Goiânia (GO),69º,7151504.91510668,0.20121986494676236,57.201891866610914
Cascavel (PR),70º,7132726.630851951,0.20069150569000135,57.40258337230092
Ponta Grossa (PR),71º,7075149.877203824,0.19907148490686855,57.601654857207784
Mauá (SP),72º,6995204.262594758,0.19682207782882247,57.798476935036604
Diadema (SP),73º,6884719.697782429,0.19371340497266923,57.99219034000927
Hortolândia (SP),74º,6830436.010319012,0.19218604025854766,58.18437638026782
Sumaré (SP),75º,6658724.749777184,0.1873546492343901,58.371731029502214
Itapevi (SP),76º,6625625.33060874,0.1864233402674031,58.55815436976962
Jaboatão dos Guararapes (PE),77º,6538730.871527659,0.18397841552380367,58.74213278529342
Cotia (SP),78º,6507973.277250242,0.18311299781941037,58.92524578311283
Petrópolis (RJ),79º,6476415.722154526,0.18222507184441783,59.10747085495725
Anápolis (GO),80º,6443922.916199196,0.18131083098131476,59.28878168593857
Limeira (SP),81º,6442340.6312630875,0.18126631067895457,59.470047996617524
Passo Fundo (RS),82º,6314734.842134892,0.1776759027914397,59.647723899408966
São José (SC),83º,6299647.417648066,0.17725139220888794,59.824975291617854
Americana (SP),84º,6267577.743297199,0.17634905687969912,60.001324348497555
Franca (SP),85º,6200181.912705516,0.17445275951423325,60.175777108011786
Macaé (RJ),86º,6162300.425566475,0.17338689885740857,60.349164006869195
Araraquara (SP),87º,6094081.973205056,0.17146745561658167,60.520631462485774
Araucária (PR),88º,5995994.021689946,0.16870758275190917,60.68933904523768
São Carlos (SP),89º,5918229.26211257,0.16651953777319106,60.85585858301087
Jacareí (SP),90º,5895082.236428283,0.16586825647821873,61.02172683948909
Presidente Prudente (SP),91º,5683889.700511433,0.15992599200949345,61.18165283149858
Jaguariúna (SP),92º,5650237.364227713,0.158979125770494,61.340631957269075
Pelotas (RS),93º,5560307.4445226975,0.1564487931324654,61.49708075040154
Palmas (TO),94º,5517115.9350096015,0.15523352588253128,61.652314276284066
Itaguaí (RJ),95º,5435370.5001433585,0.15293347777250987,61.80524775405657
Marília (SP),96º,5407991.614180128,0.15216312582542857,61.957410879882005
Chapecó (SC),97º,5364051.2066349955,0.15092678704402604,62.10833766692603
Santa Maria (RS),98º,5356374.3368535815,0.1507107851368796,62.25904845206291
Guarujá (SP),99º,5347454.747203823,0.1504598171733516,62.40950826923626
Rondonópolis (MT),100º,5334006.275822005,0.1500814213493519,62.55958969058561
