municipios_uf,posicao_municipio,pib,partipacao_percentual,percentual_acumulado
Manaus (AM),1º,84867423.37470977,20.186138650270156,20.186138650270156
Belém (PA),2º,32405322.901894543,7.707767186665282,27.89390583693544
Parauapebas (PA),3º,23035846.88047918,5.4791907255465935,33.37309656248203
Porto Velho (RO),4º,17912070.136804778,4.260474949244815,37.63357151172685
Macapá (AP),5º,11434726.098069131,2.7198064612418844,40.35337797296874
Marabá (PA),6º,11417650.048768053,2.7157448380055045,43.06912281097424
Canaã dos Carajás (PA),7º,10710595.175334739,2.5475683205512545,45.6166911315255
Boa Vista (RR),8º,10571980.089611208,2.5145980331527555,48.13128916467826
Palmas (TO),9º,10449601.21153481,2.4854896084771587,50.61677877315542
Rio Branco (AC),10º,9143620.2946007,2.1748555534353167,52.79163432659073
Ananindeua (PA),11º,8165793.044709159,1.942274479833346,54.733908806424076
Barcarena (PA),12º,5369310.054778394,1.2771170952545368,56.011025901678615
Tucuruí (PA),13º,5318264.261163742,1.2649755994196872,57.2760015010983
Santarém (PA),14º,5126171.5059305765,1.2192853824122907,58.49528688351059
Araguaína (TO),15º,4710554.522193749,1.120428816188097,59.61571569969868
Vitória do Xingu (PA),16º,4051017.4233042104,0.9635546376897246,60.57927033738841
Castanhal (PA),17º,4040634.5364499167,0.9610850164228524,61.54035535381126
Ji-Paraná (RO),18º,3782971.682626998,0.8997986254206286,62.44015397923189
Paragominas (PA),19º,3136000.922639256,0.7459134131157736,63.18606739234766
Vilhena (RO),20º,2831175.3711367073,0.673409139955418,63.85947653230308
Altamira (PA),21º,2778919.8259957987,0.660979898704597,64.52045643100767
Ariquemes (RO),22º,2578829.72533288,0.6133874733201848,65.13384390432786
Gurupi (TO),23º,2325922.641723497,0.5532322659111684,65.68707617023902
Cacoal (RO),24º,2260643.564901403,0.5377053128908755,66.2247814831299
Coari (AM),25º,2212267.1884328667,0.5261987511978227,66.75098023432773
Santana (AP),26º,2125735.242035239,0.505616697469763,67.25659693179749
Oriximiná (PA),27º,2087920.7521431118,0.496622333017558,67.75321926481504
Itaituba (PA),28º,2046615.557973526,0.48679768719554223,68.24001695201059
Itacoatiara (AM),29º,2034551.1117131275,0.48392809866242653,68.72394505067302
Marituba (PA),30º,1932709.770398826,0.4597046292279511,69.18364967990098
Fortaleza (CE),1º,67412733.42303419,6.433949335935838,6.433949335935838
Salvador (BA),2º,63804120.22743949,6.089539114090234,12.523488450026072
Recife (PE),3º,54691223.45473439,5.219793694166882,17.743282144192953
São Luís (MA),4º,32103746.49070975,3.0640187384002044,20.807300882593157
Camaçari (BA),5º,26244432.85432461,2.5047990603715604,23.312099942964718
Natal (RN),6º,24855507.373550493,2.372238404232411,25.68433834719713
Maceió (AL),7º,23411869.48238186,2.2344559322930295,27.91879427949016
Teresina (PI),8º,22017655.090719223,2.1013904963745835,30.020184775864745
João Pessoa (PB),9º,20846769.678103685,1.989639836811792,32.00982461267654
Aracaju (SE),10º,17534512.574220907,1.673514183513573,33.683338796190114
Feira de Santana (BA),11º,14898191.624662144,1.4219006594589079,35.10523945564902
Jaboatão dos Guararapes (PE),12º,13870739.476847034,1.3238394367718285,36.42907889242085
Ipojuca (PE),13º,12718762.304060359,1.2138934015123897,37.642972293933234
Goiana (PE),14º,10225461.068799056,0.9759298445945778,38.61890213852781
Cabo de Santo Agostinho (PE),15º,9922739.359258782,0.9470377341108261,39.56593987263864
Maracanaú (CE),16º,9748584.61448581,0.9304162036137512,40.49635607625239
Campina Grande (PB),17º,9510037.927106768,0.9076490315541228,41.40400510780651
São Francisco do Conde (BA),18º,8383471.460751557,0.8001282235398754,42.204133331346384
Caruaru (PE),19º,7610822.129506917,0.7263856767056283,42.93051900805201
Imperatriz (MA),20º,7458048.213519726,0.7118047572649957,43.642323765317
Petrolina (PE),21º,7266146.276627064,0.6934894142023234,44.33581317951933
Vitória da Conquista (BA),22º,7263728.660008013,0.6932586740728128,45.02907185359214
Mossoró (RN),23º,6926042.22684337,0.6610294898802634,45.690101343472406
Caucaia (CE),24º,6919758.034534819,0.6604297192897911,46.3505310627622
Lauro de Freitas (BA),25º,6556097.012781731,0.6257214902860617,46.97625255304826
Luís Eduardo Magalhães (BA),26º,6105421.878441341,0.5827085336222784,47.55896108667054
Olinda (PE),27º,5774906.512767628,0.5511637644145315,48.110124851085075
