regiao,faixas,total_municipios,total_incentivo_empreendimento,total_reducao_ipty,total_isencao_iptu,total_reducao_issqn,total_isencao_issqn,total_isencao_taxas,total_cessao_terrenos,total_doacao_terrenos,total_outros,total_empr_industrial,total_empr_comercial,total_empr_turismo,total_agro,total_outros,total_industrial_2018,total_comercial_2018,total_turismo_2018,total_agro_2018,total_outros_2018,total_nenhum_empreendimento
Brasil,Até 5 000,  1 253 ,   708 ,   145 ,   184 ,   101 ,   96 ,   237 ,   349 ,   233 ,   184 ,   486 ,   433 ,   121 ,   207 ,   100 ,   260 ,   249 ,   55 ,   140 ,   47 ,   236 
Brasil,De 5 001 a 10 000,  1 199 ,   645 ,   151 ,   193 ,   112 ,   87 ,   232 ,   262 ,   210 ,   167 ,   426 ,   410 ,   118 ,   168 ,   98 ,   214 ,   267 ,   49 ,   88 ,   51 ,   204 
Brasil,De 10 001 a 20 000,  1 345 ,   797 ,   218 ,   258 ,   171 ,   108 ,   320 ,   306 ,   273 ,   186 ,   519 ,   512 ,   142 ,   171 ,   138 ,   284 ,   338 ,   61 ,   100 ,   87 ,   237 
Brasil,De 20 001 a 50 000,  1 100 ,   764 ,   244 ,   311 ,   210 ,   138 ,   321 ,   277 ,   282 ,   186 ,   536 ,   519 ,   190 ,   203 ,   146 ,   298 ,   331 ,   68 ,   102 ,   93 ,   216 
Brasil,De 50 001 a 100 000,   349 ,   288 ,   119 ,   153 ,   99 ,   59 ,   136 ,   115 ,   107 ,   66 ,   234 ,   204 ,   72 ,   67 ,   58 ,   156 ,   147 ,   31 ,   35 ,   37 ,   69 
Brasil,De 100 001 a 500 000,   276 ,   235 ,   113 ,   162 ,   117 ,   74 ,   133 ,   72 ,   73 ,   56 ,   191 ,   184 ,   68 ,   48 ,   56 ,   127 ,   135 ,   38 ,   20 ,   37 ,   40 
Brasil,Mais de 500 000,   48 ,   47 ,   32 ,   31 ,   34 ,   19 ,   25 ,   12 ,   7 ,   13 ,   28 ,   37 ,   17 ,   6 ,   20 ,   16 ,   31 ,   8 ,   4 ,   13 ,   6 
Norte,Até 5 000,   76 ,   40 ,   9 ,   12 ,   5 ,   5 ,   14 ,   12 ,   18 ,   3 ,   13 ,   25 ,   8 ,   5 ,   9 ,   5 ,   20 ,   5 ,   3 ,   3 ,   10 
Norte,De 5 001 a 10 000,   78 ,   43 ,   9 ,   16 ,   4 ,   2 ,   12 ,   19 ,   14 ,   8 ,   15 ,   23 ,   10 ,   9 ,   9 ,   5 ,   17 ,   4 ,   4 ,   4 ,   16 
Norte,De 10 001 a 20 000,   107 ,   70 ,   20 ,   17 ,   14 ,   6 ,   31 ,   19 ,   20 ,   15 ,   24 ,   51 ,   23 ,   16 ,   15 ,   15 ,   37 ,   11 ,   9 ,   6 ,   16 
Norte,De 20 001 a 50 000,   115 ,   79 ,   22 ,   24 ,   18 ,   10 ,   30 ,   23 ,   21 ,   22 ,   33 ,   63 ,   23 ,   28 ,   13 ,   13 ,   48 ,   10 ,   15 ,   14 ,   18 
Norte,De 50 001 a 100 000,   44 ,   30 ,   12 ,   10 ,   9 ,   1 ,   12 ,   10 ,   14 ,   6 ,   16 ,   24 ,   8 ,   7 ,   9 ,   9 ,   19 ,   1 ,   2 ,   5 ,   8 
