regiao,faixas,total_municipios,total_municipios_ilum_pub,total_municipios_coleta_lixo,total_incendio,total_limp_pub,total_poder_policia,total_outro_tributo,sem_tributo
Brasil,Até 5 000,1 253,814 ,668 ,12 ,439 ,498 ,266 ,136 
Brasil,De 5 001 a 10 000,1 199 ,879 ,570 ,19 ,445 ,456 ,245 ,104 
Brasil,De 10 001 a 20 000,1 345 ,1 046 ,641 ,28 ,475 ,593 ,293 ,75 
Brasil,De 20 001 a 50 000,1 100 ,898 ,544 ,43 ,349 ,617 ,288 ,50 
Brasil,De 50 001 a 100 000,349 ,299 ,205 ,19 ,120 ,237 ,111 ,7 
Brasil,De 100 001 a 500 000,276 ,244 ,178 ,14 ,99 ,178 ,86 ,4 
Brasil,Mais de 500 000,48 ,44 ,38 ,2 ,14 ,38 ,21 ,,
Norte,Até 5 000,76 ,41 ,10 ,,,5 ,24 ,8 ,24 
Norte,De 5 001 a 10 000,78 ,57 ,22 ,2 ,18 ,26 ,15 ,9 
Norte,De 10 001 a 20 000,107 ,77 ,40 ,1 ,31 ,35 ,19 ,14 
Norte,De 20 001 a 50 000,115 ,89 ,44 ,4 ,31 ,36 ,18 ,12 
Norte,De 50 001 a 100 000,44 ,34 ,22 ,2 ,20 ,23 ,14 ,3 
Norte,De 100 001 a 500 000,25 ,23 ,16 ,1 ,10 ,12 ,7 ,,
Norte,Mais de 500 000,5 ,5 ,4 ,,,2 ,5 ,1 ,,
Nordeste,Até 5 000,228 ,145 ,23 ,1 ,22 ,66 ,46 ,49 
Nordeste,De 5 001 a 10 000,368 ,259 ,50 ,,,45 ,95 ,67 ,58 
Nordeste,De 10 001 a 20 000,565 ,430 ,108 ,1 ,97 ,210 ,106 ,44 
Nordeste,De 20 001 a 50 000,449 ,374 ,121 ,4 ,117 ,234 ,113 ,22 
Nordeste,De 50 001 a 100 000,121 ,106 ,43 ,1 ,39 ,84 ,41 ,3 
Nordeste,De 100 001 a 500 000,52 ,51 ,26 ,,,20 ,42 ,23 ,,
Nordeste,Mais de 500 000,11 ,11 ,7 ,,,3 ,10 ,5 ,,
Sudeste,Até 5 000,375 ,224 ,220 ,1 ,215 ,139 ,106 ,26 
Sudeste,De 5 001 a 10 000,385 ,270 ,222 ,8 ,216 ,143 ,94 ,22 
Sudeste,De 10 001 a 20 000,359 ,268 ,235 ,5 ,193 ,178 ,108 ,9 
Sudeste,De 20 001 a 50 000,289 ,228 ,188 ,9 ,115 ,189 ,86 ,11 
Sudeste,De 50 001 a 100 000,106 ,90 ,75 ,7 ,34 ,68 ,25 ,1 
Sudeste,De 100 001 a 500 000,133 ,109 ,82 ,4 ,44 ,78 ,37 ,4 
Sudeste,Mais de 500 000,21 ,18 ,18 ,1 ,5 ,14 ,9 ,,
Sul,Até 5 000,439 ,320 ,389 ,9 ,175 ,226 ,89 ,7 
Sul,De 5 001 a 10 000,259 ,215 ,239 ,9 ,134 ,153 ,56 ,2 
Sul,De 10 001 a 20 000,221 ,194 ,211 ,19 ,118 ,126 ,44 ,1 
Sul,De 20 001 a 50 000,161 ,138 ,142 ,23 ,53 ,112 ,46 ,1 
Sul,De 50 001 a 100 000,58 ,50 ,53 ,8 ,17 ,46 ,22 ,,
Sul,De 100 001 a 500 000,47 ,43 ,42 ,8 ,18 ,33 ,15 ,,
Sul,Mais de 500 000,6 ,5 ,5 ,,,,,5 ,4 ,,
CentroOeste,Até 5 000,135 ,84 ,26 ,1 ,22 ,43 ,17 ,30 
CentroOeste,De 5 001 a 10 000,109 ,78 ,37 ,,,32 ,39 ,13 ,13 
CentroOeste,De 10 001 a 20 000,93 ,77 ,47 ,2 ,36 ,44 ,16 ,7 
CentroOeste,De 20 001 a 50 000,86 ,69 ,49 ,3 ,33 ,46 ,25 ,4 
CentroOeste,De 50 001 a 100 000,20 ,19 ,12 ,1 ,10 ,16 ,9 ,,
CentroOeste,De 100 001 a 500 000,19 ,18 ,12 ,1 ,7 ,13 ,4 ,,
CentroOeste,Mais de 500 000,5 ,5 ,4 ,1 ,4 ,4 ,2 ,,

