regiao,faixas,total_municipios,total_municipios_ilum_pub,total_municipios_coleta_lixo,total_incendio,total_limp_pub,total_poder_policia,total_outro_tributo,sem_tributo
Norte,Rondônia,52,45,43,3,25,30,9,1
Norte,Acre,22,20,17,2,14,9,9,  
Norte,Amazonas,62,37,14,1,13,16,6,17
Norte,Roraima,15,13,8,  ,6,6,  ,2
Norte,Pará,144,123,53,3,43,42,30,6
Norte,Amapá,16,3,3,  ,3,16,14,  
Norte,Tocantins,139,85,20,1,13,42,14,36
Nordeste,Maranhão,217,195,12,1,10,48,32,17
Nordeste,Piauí,224,199,34,1,32,73,50,15
Nordeste,Ceará,184,158,5,  ,7,142,51,8
Nordeste,Rio Grande do Norte,167,129,67,  ,53,50,27,23
Nordeste,Paraíba,223,136,45,2,34,87,53,34
Nordeste,Pernambuco,185,163,114,3,111,76,53,5
Nordeste,Alagoas,102,75,44,  ,38,15,25,9
Nordeste,Sergipe,75,51,9,  ,6,51,16,8
Nordeste,Bahia,417,270,48,  ,52,199,94,57
Sudeste,Minas Gerais,853,658,526,8,464,419,285,34
Sudeste,Espírito Santo,78,70,63,  ,35,42,23,1
Sudeste,Rio de Janeiro,92,77,69,4,41,57,31,  
Sudeste,São Paulo,645,402,382,23,282,291,126,38
Sul,Paraná,399,370,366,32,223,223,92,2
Sul,Santa Catarina,295,242,269,32,121,194,90,  
Sul,Rio Grande do Sul,497,353,446,12,171,284,94,9
CentroOeste,Mato Grosso do Sul,79,72,49,2,38,45,15,  
CentroOeste,Mato Grosso,141,115,84,3,56,84,31,6
CentroOeste,Goiás,246,162,53,3,49,75,39,48
CentroOeste,Distrito Federal,1,1,1,1,1,1,1,  
