ufs;total_municipios;total_cadastro_imob;total_informatizado;total_georef;total_acesso_pub;total_atualizado_menor_um_ano;total_atualizado_maior_um_ano;total_atualizado_sob_demanda;total_imoveis;total_residencial;total_nao_residencial;total_com_iptu;planta_generica_total;planta_generica_informatizada;planta_generica_atualizada_menos_que_dez_dias;total_cadastro_issqn;total_informatizado
Rondônia;   52 ;   51 ;   41 ;   23 ;   26 ;   10 ;   18 ;   31 ;  500 613 ;  239 352 ;  90 757 ;   51 ;   50 ;   37 ;   37 ;   51 ;   48 
Acre;   22 ;   21 ;   18 ;   4 ;   8 ;   2 ;   13 ;   7 ;  160 225 ;  79 927 ;  47 096 ;   22 ;   19 ;   16 ;   11 ;   21 ;   20 
Amazonas;   62 ;   49 ;   34 ;   8 ;   22 ;   14 ;   12 ;   28 ;  770 060 ;  561 702 ;  130 409 ;   48 ;   39 ;   17 ;   19 ;   56 ;   43 
Roraima;   15 ;   10 ;   9 ;   5 ;   7 ;   2 ;   1 ;   7 ;  95 111 ;  72 463 ;  22 648 ;   8 ;   12 ;   8 ;   7 ;   14 ;   12 
Pará;   144 ;   125 ;   92 ;   23 ;   51 ;   35 ;   50 ;   60 ; 3 086 723 ; 2 471 759 ;  528 862 ;   129 ;   113 ;   73 ;   52 ;   137 ;   117 
Amapá;   16 ;   11 ;   9 ;   2 ;   3 ;   2 ;   9 ; - ;  157 611 ;  121 758 ;  35 853 ;   11 ;   12 ;   4 ;   5 ;   16 ;   10 
Tocantins;   139 ;   125 ;   90 ;   19 ;   53 ;   25 ;   21 ;   82 ;  611 512 ;  309 125 ;  150 953 ;   124 ;   120 ;   72 ;   89 ;   138 ;   114 
Maranhão;   217 ;   86 ;   50 ;   19 ;   28 ;   13 ;   27 ;   57 ; 1 112 681 ;  717 207 ;  222 704 ;   110 ;   90 ;   47 ;   55 ;   181 ;   100 
Piauí;   224 ;   157 ;   108 ;   9 ;   47 ;   36 ;   71 ;   85 ;  901 738 ;  536 703 ;  251 533 ;   160 ;   122 ;   77 ;   71 ;   210 ;   178 
Ceará;   184 ;   176 ;   156 ;   46 ;   53 ;   34 ;   79 ;   101 ; 2 616 918 ; 1 387 221 ;  698 912 ;   180 ;   137 ;   101 ;   79 ;   179 ;   170 
Rio Grande do Norte;   167 ;   147 ;   123 ;   32 ;   74 ;   30 ;   37 ;   101 ; 1 332 399 ;  820 517 ;  406 971 ;   143 ;   104 ;   70 ;   73 ;   160 ;   134 
Paraíba;   223 ;   191 ;   152 ;   27 ;   50 ;   44 ;   95 ;   74 ; 1 339 868 ;  854 864 ;  364 598 ;   207 ;   121 ;   63 ;   57 ;   193 ;   156 
