uf,atividades,faixa,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Brasil,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",Total,132186,659991,529789,556414.86,14135927.9,1.958176,1954.25957752237
Brasil,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",0 a 4,116002,118057,18859,29823.41,642951.109,1.661678,1658.35421286113
Brasil,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",5 a 9,7441,47972,32182,35469.53,778727.488,1.692217,1688.83304801441
Brasil,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",10 a 19,4268,57146,47561,50434.1,1231608.678,1.882238,1878.47367310853
Brasil,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",20 a 29,1311,31220,29275,30448.26,747731.129,1.892819,1889.03336853555
Brasil,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",30 a 49,1189,45028,43632,43826.58,1105830.725,1.94481,1940.92037122397
Brasil,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",50 a 99,1036,72354,71140,70711.28,1817624.542,1.981261,1977.29799915287
Brasil,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",100 a 249,625,95127,94382,96695.65,2569117.534,2.047874,2043.77782963668
Brasil,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",250 a 499,183,61563,61390,63085.84,1640538.108,2.004382,2000.37344476864
Brasil,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",500 ou mais,131,131524,131368,135920.21,3601798.587,2.042497,2038.41231388055
Brasil,B Indústrias extrativas,Total,14405,231044,213818,218040.67,17327411.175,6.125228,6112.97783432929
Brasil,B Indústrias extrativas,0 a 4,9717,14419,4289,6056.32,290165.32,3.69286,3685.47389021208
Brasil,B Indústrias extrativas,5 a 9,1814,12005,8871,9153.02,253132.474,2.131619,2127.35564537505
Brasil,B Indústrias extrativas,10 a 19,1366,18567,16133,16655.99,537180.929,2.485858,2480.88585086068
Brasil,B Indústrias extrativas,20 a 29,515,12508,11812,12066.58,458852.051,2.930992,2925.12970662645
Brasil,B Indústrias extrativas,30 a 49,404,15315,14877,14984.85,621458.929,3.196584,3190.1909595358
Brasil,B Indústrias extrativas,50 a 99,312,21126,20834,21175.82,1065371.802,3.877815,3870.05920322911
Brasil,B Indústrias extrativas,100 a 249,150,23840,23768,23380,2228781.585,7.347661,7332.96566756597
Brasil,B Indústrias extrativas,250 a 499,60,21513,21497,22656.48,1961588.901,6.673316,6659.96897678178
Brasil,B Indústrias extrativas,500 ou mais,67,91751,91737,91911.61,9910879.184,8.31128,8294.6574632536
Brasil,C Indústrias de transformação,Total,416419,7333281,6784397,7030413.22,266643576.95,2.92332,2917.47351669455
