mun_capital,cnae,atividades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Porto Velho - RO,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",42,188,141,150.08,2406.713,1.236026,1233.55389945875
Porto Velho - RO,01,"Agricultura, pecuária e serviços relacionados",24,92,64,91.62,1201.393,1.010697,1008.67546555169
Porto Velho - RO,02,Produção florestal,16,,,,,,
Porto Velho - RO,03,Pesca e aquicultura,2,,,,,,
Porto Velho - RO,B,Indústrias extrativas,35,233,182,205.46,6284.317,2.357528,2352.81319964957
Porto Velho - RO,05,Extração de carvão mineral,,,,,,,
Porto Velho - RO,06,Extração de petróleo e gás natural,,,,,,,
Porto Velho - RO,07,Extração de minerais metálicos,6,29,9,10.82,355.238,2.530569,2525.50831792976
Porto Velho - RO,08,Extração de minerais não-metálicos,29,204,173,194.64,5929.079,2.347909,2343.21311138512
Porto Velho - RO,09,Atividades de apoio à extração de minerais,,,,,,,
Porto Velho - RO,C,Indústrias de transformação,502,5936,5344,4943.12,109823.066,1.712452,1709.02752792693
Porto Velho - RO,10,Fabricação de produtos alimentícios,114,2010,1878,1387.67,26769.234,1.48688,1483.90600514088
Porto Velho - RO,11,Fabricação de bebidas,10,570,557,566.7,14176.667,1.928178,1924.32123902214
Porto Velho - RO,12,Fabricação de produtos do fumo,,,,,,,
Porto Velho - RO,13,Fabricação de produtos têxteis,1,,,,,,
Porto Velho - RO,14,Confecção de artigos do vestuário e acessórios,36,253,216,202.3,3442.73,1.311696,1309.07258831134
Porto Velho - RO,15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",6,206,203,184.17,4042.728,1.691927,1688.54361146265
Porto Velho - RO,16,Fabricação de produtos de madeira,70,934,842,847.04,18250.393,1.660712,1657.39089607974
Porto Velho - RO,17,"Fabricação de celulose, papel e produtos de papel",3,22,18,20.66,230.936,0.861564,859.840643383722
Porto Velho - RO,18,Impressão e reprodução de gravações,31,161,120,123.77,2632.463,1.639355,1636.07622078172
Porto Velho - RO,19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",,,,,,,
Porto Velho - RO,20,Fabricação de produtos químicos,10,79,73,70.47,1757.138,1.921886,1918.04259313838
Porto Velho - RO,21,Fabricação de produtos farmoquímicos e farmacêuticos,,,,,,,
Porto Velho - RO,22,Fabricação de produtos de borracha e de material plástico,11,105,93,88.66,1620.482,1.408778,1405.96054069999
Porto Velho - RO,23,Fabricação de produtos de minerais não-metálicos,44,724,669,671.08,17729.206,2.036297,2032.22429058097
Porto Velho - RO,24,Metalurgia,6,89,81,78.01,2056.768,2.032175,2028.11079447408
Porto Velho - RO,25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",47,261,197,175.02,3474.51,1.530143,1527.08261912924
Porto Velho - RO,26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",,,,,,,
Porto Velho - RO,27,"Fabricação de máquinas, aparelhos e materiais elétricos",1,,,,,,
Porto Velho - RO,28,Fabricação de máquinas e equipamentos,5,,,,,,
Porto Velho - RO,29,"Fabricação de veículos automotores, reboques e carrocerias",15,86,66,70.09,1388.493,1.526911,1523.85723849556
Porto Velho - RO,30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",4,12,10,9.16,218.406,1.837787,1834.11152166611
Porto Velho - RO,31,Fabricação de móveis,18,73,52,58.44,1203.788,1.587691,1584.5153477597
Porto Velho - RO,32,Fabricação de produtos diversos,29,128,93,96.61,2175.612,1.735743,1732.27170304077
Porto Velho - RO,33,"Manutenção, reparação e instalação de máquinas e equipamentos",41,207,164,226.21,5885.845,2.005502,2001.49112635298
Porto Velho - RO,D,Eletricidade e gás,29,2144,2126,2178.15,195938.625,6.933594,6919.72633798266
Porto Velho - RO,35,"Eletricidade, gás e outras utilidades",29,2144,2126,2178.15,195938.625,6.933594,6919.72633798266
Porto Velho - RO,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",34,1141,1114,1104.09,65225.778,4.553453,4544.34651021342
Porto Velho - RO,36,"Captação, tratamento e distribuição de água",4,617,613,622.85,52438.931,6.489279,6476.30075150827
Porto Velho - RO,37,Esgoto e atividades relacionadas,8,32,25,23.63,446.754,1.457239,1454.32468504834
Porto Velho - RO,38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",22,492,476,457.61,12340.093,2.078495,2074.33824233938
Porto Velho - RO,39,Descontaminação e outros serviços de gestão de resíduos,,,,,,,
Porto Velho - RO,F,Construção,485,4406,3802,3980.71,85137.776,1.648496,1645.19889474684
Porto Velho - RO,41,Construção de edifícios,260,2014,1684,1784.37,33094.15,1.429527,1426.66814962919
Porto Velho - RO,42,Obras de infraestrutura,58,1428,1369,1313.75,34258.899,2.009957,2005.93714411183
Porto Velho - RO,43,Serviços especializados para construção,167,964,749,882.59,17784.727,1.553153,1550.04693354437
Porto Velho - RO,G,Comércio; reparação de veículos automotores e motocicletas,4643,31230,26299,26853.49,599649.181,1.721165,1717.72309956445
Porto Velho - RO,45,Comércio e reparação de veículos automotores e motocicletas,608,4365,3690,3853.99,101721.328,2.034359,2030.29004705812
Porto Velho - RO,46,"Comércio por atacado, exceto veículos automotores e motocicletas",837,7048,6230,6269.34,168503.014,2.071629,2067.48562172291
Porto Velho - RO,47,Comércio varejista,3198,19817,16379,16730.16,329424.839,1.517687,1514.65211514829
Porto Velho - RO,H,"Transporte, armazenagem e correio",384,5424,5119,5324.19,164195.283,2.377022,2372.26815433247
Porto Velho - RO,49,Transporte terrestre,241,3359,3157,3208.86,84803.894,2.037,2032.92647904192
Porto Velho - RO,50,Transporte aquaviário,37,697,667,650.51,19487.291,2.308998,2304.38023184176
Porto Velho - RO,51,Transporte aéreo,9,185,183,192.42,7671.855,3.073097,3066.95090067401
Porto Velho - RO,52,Armazenamento e atividades auxiliares dos transportes,68,767,716,749.57,28051.592,2.884506,2878.73683475962
Porto Velho - RO,53,Correio e outras atividades de entrega,29,416,396,522.83,24180.651,3.564787,3557.65751185486
Porto Velho - RO,I,Alojamento e alimentação,659,4608,3900,3937.83,69942.884,1.369029,1366.2910400281
