mun_capital,atividades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Porto Velho - RO,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",42,188,141,150.08,2406.713,1.236026,1233.55389945875
Porto Velho - RO,B Indústrias extrativas,35,233,182,205.46,6284.317,2.357528,2352.81319964957
Porto Velho - RO,C Indústrias de transformação,502,5936,5344,4943.12,109823.066,1.712452,1709.02752792693
Porto Velho - RO,D Eletricidade e gás,29,2144,2126,2178.15,195938.625,6.933594,6919.72633798266
Porto Velho - RO,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",34,1141,1114,1104.09,65225.778,4.553453,4544.34651021342
Porto Velho - RO,F Construção,485,4406,3802,3980.71,85137.776,1.648496,1645.19889474684
Porto Velho - RO,G Comércio; reparação de veículos automotores e motocicletas,4643,31230,26299,26853.49,599649.181,1.721165,1717.72309956445
Porto Velho - RO,"H Transporte, armazenagem e correio",384,5424,5119,5324.19,164195.283,2.377022,2372.26815433247
Porto Velho - RO,I Alojamento e alimentação,659,4608,3900,3937.83,69942.884,1.369029,1366.2910400281
Porto Velho - RO,J Informação e comunicação,171,1422,1271,1351.98,42430.964,2.419016,2414.17795210899
Porto Velho - RO,"K Atividades financeiras, de seguros e serviços relacionados",276,2255,1973,1948.83,119976.029,4.745114,4735.62358322291
Porto Velho - RO,L Atividades imobiliárias,109,316,179,184.99,4072.729,1.696928,1693.5339540183
Porto Velho - RO,"M Atividades profissionais, científicas e técnicas",753,4180,3215,3252.42,149916.192,3.552778,3545.67207471076
Porto Velho - RO,N Atividades administrativas e serviços complementares,834,11693,10772,11356.77,256924.04,1.743717,1740.22963327669
Porto Velho - RO,"O Administração pública, defesa e seguridade social",51,72948,72948,73445.13,4277174.372,4.488695,4479.71721516143
Porto Velho - RO,P Educação,331,8278,7941,8142.79,480832.502,4.551418,4542.31480100328
Porto Velho - RO,Q Saúde humana e serviços sociais,629,5890,4888,4880.65,120463.17,1.902404,1898.59909895356
Porto Velho - RO,"R Artes, cultura, esporte e recreação",114,539,421,405.48,7419.214,1.41031,1407.48931940113
Porto Velho - RO,S Outras atividades de serviços,693,2752,2310,2305.15,59007.292,1.973025,1969.07900203391
Porto Velho - RO,U Organismos internacionais e outras instituições extraterritoriais,,,,,,,
Rio Branco - AC,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",45,288,221,241.03,4466.079,1.428175,1425.31858466389
Rio Branco - AC,B Indústrias extrativas,12,,,,,,
Rio Branco - AC,C Indústrias de transformação,327,3601,3269,3314.1,62638.962,1.456817,1453.90353106656
Rio Branco - AC,D Eletricidade e gás,6,464,463,520.04,27114.799,4.018794,4010.7564211037
Rio Branco - AC,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",18,1067,1050,1145.76,44109.706,2.967335,2961.40056180379
Rio Branco - AC,F Construção,276,3267,2829,3078.69,67769.217,1.696651,1693.25807155241
Rio Branco - AC,G Comércio; reparação de veículos automotores e motocicletas,2603,20119,17558,18225.29,367646.099,1.554825,1551.71572873991
Rio Branco - AC,"H Transporte, armazenagem e correio",168,2504,2353,2332.24,67070.218,2.216576,2212.14263474665
Rio Branco - AC,I Alojamento e alimentação,425,2919,2484,2567.98,40139.517,1.204777,1202.36729018378
Rio Branco - AC,J Informação e comunicação,114,836,761,824.98,26229.787,2.450628,2445.72707590114
Rio Branco - AC,"K Atividades financeiras, de seguros e serviços relacionados",107,1109,1013,1006.44,68815.47,5.270166,5259.62570278178
Rio Branco - AC,L Atividades imobiliárias,74,273,183,166.86,2976.574,1.374962,1372.21161913719
