cnae,atividades,faixa,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",0 a 4,116002,118057,18859,29823.41,642951.109,1.661678,1658.35421286113
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",5 a 9,7441,47972,32182,35469.53,778727.488,1.692217,1688.83304801441
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",10 a 19,4268,57146,47561,50434.1,1231608.678,1.882238,1878.47367310853
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",20 a 29,1311,31220,29275,30448.26,747731.129,1.892819,1889.03336853555
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",30 a 49,1189,45028,43632,43826.58,1105830.725,1.94481,1940.92037122397
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",50 a 99,1036,72354,71140,70711.28,1817624.542,1.981261,1977.29799915287
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",100 a 249,625,95127,94382,96695.65,2569117.534,2.047874,2043.77782963668
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",250 a 499,183,61563,61390,63085.84,1640538.108,2.004382,2000.37344476864
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",500 ou mais,131,131524,131368,135920.21,3601798.587,2.042497,2038.41231388055
01,"Agricultura, pecuária e serviços relacionados",0 a 4,104979,103386,14638,22659.14,498681.825,1.696314,1692.9212840653
01,"Agricultura, pecuária e serviços relacionados",5 a 9,5806,37336,24265,27020.41,617523.132,1.761519,1757.99624745203
01,"Agricultura, pecuária e serviços relacionados",10 a 19,3265,43666,35918,38706.73,985176.96,1.961796,1957.87252183078
01,"Agricultura, pecuária e serviços relacionados",20 a 29,1022,24395,22843,24090.16,604748.043,1.934911,1931.04073326077
01,"Agricultura, pecuária e serviços relacionados",30 a 49,932,35417,34343,34525.63,903980.915,2.018105,2014.06877909363
01,"Agricultura, pecuária e serviços relacionados",50 a 99,800,55985,55027,55077.17,1446878.578,2.024821,2020.77107726933
01,"Agricultura, pecuária e serviços relacionados",100 a 249,496,75654,75054,77427.98,2075972.4,2.066568,2062.43511215693
01,"Agricultura, pecuária e serviços relacionados",250 a 499,147,49707,49560,51161.31,1331321.285,2.005706,2001.69482789601
01,"Agricultura, pecuária e serviços relacionados",500 ou mais,112,117014,116866,120912.42,3182087.087,2.028464,2024.40683735576
02,Produção florestal,0 a 4,8652,11440,3524,6261.93,127952.372,1.574948,1571.79817625655
02,Produção florestal,5 a 9,1302,8484,6380,6874.08,132903.23,1.490209,1487.22816502214
02,Produção florestal,10 a 19,814,10962,9625,9652.89,206476.584,1.648692,1645.39471120526
02,Produção florestal,20 a 29,240,,,,,,
02,Produção florestal,30 a 49,220,8247,7983,8032.82,173864.909,1.668284,1664.9475239369
02,Produção florestal,50 a 99,209,14542,14326,13886.64,331667.023,1.840904,1837.22253353417
02,Produção florestal,100 a 249,119,18111,17977,18009.29,463691.237,1.984533,1980.56429166878
02,Produção florestal,250 a 499,35,,,,,,
02,Produção florestal,500 ou mais,17,,,,,,
03,Pesca e aquicultura,0 a 4,2371,3231,697,902.34,16316.912,1.393779,1390.99128590451
03,Pesca e aquicultura,5 a 9,333,2152,1537,1575.04,28301.126,1.384963,1382.19327274716
03,Pesca e aquicultura,10 a 19,189,2518,2018,2074.48,39955.134,1.484532,1481.56253429961
03,Pesca e aquicultura,20 a 29,49,,,,,,
03,Pesca e aquicultura,30 a 49,37,1364,1306,1268.13,27984.901,1.700929,1697.52682477955
03,Pesca e aquicultura,50 a 99,27,1827,1787,1747.47,39078.941,1.72369,1720.2426276934
03,Pesca e aquicultura,100 a 249,10,1362,1351,1258.38,29453.897,1.804085,1800.47710915255
03,Pesca e aquicultura,250 a 499,1,,,,,,
03,Pesca e aquicultura,500 ou mais,2,,,,,,
B,Indústrias extrativas,0 a 4,9717,14419,4289,6056.32,290165.32,3.69286,3685.47389021208
B,Indústrias extrativas,5 a 9,1814,12005,8871,9153.02,253132.474,2.131619,2127.35564537505
B,Indústrias extrativas,10 a 19,1366,18567,16133,16655.99,537180.929,2.485858,2480.88585086068
B,Indústrias extrativas,20 a 29,515,12508,11812,12066.58,458852.051,2.930992,2925.12970662645
B,Indústrias extrativas,30 a 49,404,15315,14877,14984.85,621458.929,3.196584,3190.1909595358
B,Indústrias extrativas,50 a 99,312,21126,20834,21175.82,1065371.802,3.877815,3870.05920322911
B,Indústrias extrativas,100 a 249,150,23840,23768,23380,2228781.585,7.347661,7332.96566756597
B,Indústrias extrativas,250 a 499,60,21513,21497,22656.48,1961588.901,6.673316,6659.96897678178
B,Indústrias extrativas,500 ou mais,67,91751,91737,91911.61,9910879.184,8.31128,8294.6574632536
05,Extração de carvão mineral,0 a 4,42,65,36,40.62,2434.07,4.618695,4609.45725864485
05,Extração de carvão mineral,5 a 9,7,44,33,26.72,1023.056,2.951135,2945.23261169968
05,Extração de carvão mineral,10 a 19,6,83,60,75.08,6151.911,6.31556,6302.9291832302
05,Extração de carvão mineral,20 a 29,5,,,,,,
05,Extração de carvão mineral,30 a 49,5,,,,,,
05,Extração de carvão mineral,50 a 99,1,,,,,,
05,Extração de carvão mineral,100 a 249,4,826,826,923.96,48456.594,4.042275,4034.19012478063
05,Extração de carvão mineral,250 a 499,2,,,,,,
05,Extração de carvão mineral,500 ou mais,2,,,,,,
06,Extração de petróleo e gás natural,0 a 4,257,198,53,59.5,25634.027,33.20672,33140.3063994829
06,Extração de petróleo e gás natural,5 a 9,18,122,91,120.66,17246.867,11.017245,10995.2103176121
06,Extração de petróleo e gás natural,10 a 19,17,222,207,225.63,37866.179,12.935426,12909.5554669149
06,Extração de petróleo e gás natural,20 a 29,12,,,,,,
06,Extração de petróleo e gás natural,30 a 49,11,,,,,,
06,Extração de petróleo e gás natural,50 a 99,11,,,,,,
06,Extração de petróleo e gás natural,100 a 249,15,2452,2442,2555.88,634840.655,19.14478,19106.4903432327
06,Extração de petróleo e gás natural,250 a 499,7,,,,,,
06,Extração de petróleo e gás natural,500 ou mais,13,16611,16611,18622.94,4862300.542,20.124248,20083.9995519174
07,Extração de minerais metálicos,0 a 4,967,1066,246,344.74,17133.431,3.830706,3823.04412243787
07,Extração de minerais metálicos,5 a 9,101,630,429,508.23,19674.95,2.983867,2977.89916436986
07,Extração de minerais metálicos,10 a 19,89,1145,896,952.54,51152.136,4.139107,4130.82882850872
07,Extração de minerais metálicos,20 a 29,42,1000,967,1011,59635.898,4.546558,4537.46465799285
07,Extração de minerais metálicos,30 a 49,27,1034,1008,1021.03,41571.505,3.13822,3131.94330913203
07,Extração de minerais metálicos,50 a 99,36,2602,2553,2619.74,140343.644,4.12915,4120.8917385225
07,Extração de minerais metálicos,100 a 249,35,5797,5787,5682.75,356718.776,4.838308,4828.63153335161
07,Extração de minerais metálicos,250 a 499,26,9390,9387,9440.81,507949.641,4.147033,4138.73908146571
07,Extração de minerais metálicos,500 ou mais,37,61469,61463,59643.74,3612152.645,4.667962,4658.62629957864
08,Extração de minerais não-metálicos,0 a 4,7915,12422,3731,4861.15,105772.103,1.677097,1673.74296522111
08,Extração de minerais não-metálicos,5 a 9,1615,10743,7941,8136.64,196910.769,1.865308,1861.57704295252
08,Extração de minerais não-metálicos,10 a 19,1198,16317,14222,14658.57,392937.443,2.066131,2061.99903222798
08,Extração de minerais não-metálicos,20 a 29,424,10317,9711,9865.18,299110.573,2.336968,2332.2945567526
08,Extração de minerais não-metálicos,30 a 49,337,12751,12362,12359.46,409086.053,2.551181,2546.07870595292
08,Extração de minerais não-metálicos,50 a 99,233,15521,15298,15378.01,547209.867,2.74271,2737.22456236585
08,Extração de minerais não-metálicos,100 a 249,53,8017,7975,7782.2,300361.908,2.974874,2968.92423143149
08,Extração de minerais não-metálicos,250 a 499,10,,,,,,
08,Extração de minerais não-metálicos,500 ou mais,5,,,,,,
09,Atividades de apoio à extração de minerais,0 a 4,536,668,223,750.31,139191.689,14.29877,14270.1723287708
09,Atividades de apoio à extração de minerais,5 a 9,73,466,377,360.77,18276.832,3.90478,3896.97079537144
09,Atividades de apoio à extração de minerais,10 a 19,56,800,748,744.17,49073.26,5.082751,5072.58577186148
09,Atividades de apoio à extração de minerais,20 a 29,32,773,738,787.52,51881.638,5.07783,5067.6747647923
09,Atividades de apoio à extração de minerais,30 a 49,24,937,926,912.16,69946.427,5.910451,5898.63004803476
09,Atividades de apoio à extração de minerais,50 a 99,31,2141,2125,2350.67,192343.715,6.306849,6294.23542420475
09,Atividades de apoio à extração de minerais,100 a 249,43,6748,6738,6435.21,888403.652,10.640786,10619.5046411133
09,Atividades de apoio à extração de minerais,250 a 499,15,5475,5473,6238.71,728265.773,8.997487,8979.49160594467
09,Atividades de apoio à extração de minerais,500 ou mais,10,8992,8984,8714.05,1177666.882,10.416661,10395.8274457739
C,Indústrias de transformação,0 a 4,233470,448386,169148,229909.24,5084620.997,1.704623,1701.21345308663
C,Indústrias de transformação,5 a 9,76654,506220,388146,399643.69,8751880.327,1.68793,1684.55446804473
C,Indústrias de transformação,10 a 19,52633,712578,628314,638701.48,15630451.505,1.886252,1882.47946984801
C,Indústrias de transformação,20 a 29,18481,439813,412138,421125.31,10903589.448,1.995649,1991.65813578422
C,Indústrias de transformação,30 a 49,14030,532204,515153,524012.21,14689307.847,2.160658,2156.33669578336
C,Indústrias de transformação,50 a 99,10697,741241,728747,740761.33,24575806.83,2.557146,2552.0320819538
C,Indústrias de transformação,100 a 249,6304,976183,969503,1005753.68,39945645.44,3.061286,3055.16352366026
C,Indústrias de transformação,250 a 499,2341,815729,813629,844537.94,37938884.239,3.462514,3455.58863902823
C,Indústrias de transformação,500 ou mais,1809,2160927,2159619,2225968.34,109123390.317,3.778548,3770.99116668548
10,Fabricação de produtos alimentícios,0 a 4,31318,60041,24801,33799.22,613877.544,1.399913,1397.11358837457
10,Fabricação de produtos alimentícios,5 a 9,12021,79738,62044,64041.92,1167282.436,1.404875,1402.06534431486
10,Fabricação de produtos alimentícios,10 a 19,8122,109000,95352,97395.15,1932065.14,1.529011,1525.95273362806
10,Fabricação de produtos alimentícios,20 a 29,2821,67133,62915,64249.02,1405827.225,1.68652,1683.14716347784
10,Fabricação de produtos alimentícios,30 a 49,2255,85501,82850,85358.19,2055005.344,1.855641,1851.92931286202
10,Fabricação de produtos alimentícios,50 a 99,1694,118567,116647,118898.81,3376077.724,2.188573,2184.19584234307
10,Fabricação de produtos alimentícios,100 a 249,1173,182504,181283,185214.19,6190817.005,2.57632,2571.16742886875
10,Fabricação de produtos alimentícios,250 a 499,476,166613,166186,170453.77,6152082.706,2.781901,2776.33713370358
10,Fabricação de produtos alimentícios,500 ou mais,552,727657,727300,731911.16,22891131.28,2.410655,2405.83331494452
11,Fabricação de bebidas,0 a 4,3622,6211,1429,1791.5,50388.699,2.167916,2163.58011120891
11,Fabricação de bebidas,5 a 9,777,5121,3524,3496.17,73200.212,1.613786,1610.55827904866
11,Fabricação de bebidas,10 a 19,577,7815,6677,6542.81,150432.137,1.772158,1768.61361496877
11,Fabricação de bebidas,20 a 29,218,5168,4834,4831.76,108062.6,1.723837,1720.38919406338
11,Fabricação de bebidas,30 a 49,177,6715,6488,6347.48,161323.568,1.958947,1955.02864613504
11,Fabricação de bebidas,50 a 99,175,11786,11566,11724.26,380738.581,2.503039,2498.03255419499
11,Fabricação de bebidas,100 a 249,108,16632,16540,16945.8,567061.15,2.579253,2574.09437509816
11,Fabricação de bebidas,250 a 499,63,22616,22560,23030.86,993018.187,3.323328,3316.68093960084
11,Fabricação de bebidas,500 ou mais,56,47919,47904,49448.07,2795330.5,4.357224,4348.50992317644
12,Fabricação de produtos do fumo,0 a 4,177,253,107,118.21,2525.082,1.646446,1643.1526683282
12,Fabricação de produtos do fumo,5 a 9,33,216,187,187.55,7620.37,3.131736,3125.47218177717
12,Fabricação de produtos do fumo,10 a 19,34,457,413,423.88,9902.873,1.800713,1797.11111998316
12,Fabricação de produtos do fumo,20 a 29,9,205,195,495.97,13963.861,2.170082,2165.74218974162
12,Fabricação de produtos do fumo,30 a 49,8,297,282,313.9,9377.025,2.302501,2297.89619428039
12,Fabricação de produtos do fumo,50 a 99,17,1202,1191,1574.72,66730.204,3.266218,3259.68592218592
12,Fabricação de produtos do fumo,100 a 249,12,1754,1745,3274.77,148980.289,3.506502,3499.4891948959
12,Fabricação de produtos do fumo,250 a 499,8,2885,2881,6098.35,357676.599,4.520685,4511.64405756664
12,Fabricação de produtos do fumo,500 ou mais,3,2465,2465,3939.68,208013.586,4.069648,4061.50882227061
13,Fabricação de produtos têxteis,0 a 4,6139,11798,4628,6288.27,117152.695,1.435976,1433.10413980805
13,Fabricação de produtos têxteis,5 a 9,2137,14187,10977,11490.23,227058.198,1.523122,1520.07533624386
13,Fabricação de produtos têxteis,10 a 19,1513,20608,18189,18903.42,423031.774,1.724879,1721.42954514621
