faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Produção florestal - florestas nativas,969,6143,5007,5155.12,102135.688,1.597523,1524.03656648446
Atividades de apoio à produção florestal,1991,32112,29849,29642.22,758960.23,2.064508,1969.54061314727
Pesca e aquicultura,2736,14964,11431,11653.97,242370.651,1.676928,1599.78927616677
Pesca,1045,3196,2046,2261.09,54736.97,1.951961,1862.17096791643
Aquicultura,1691,11768,9385,9392.88,187633.681,1.610721,1536.62775175698
Indústrias extrativas,12771,214230,198316,199489.74,15229376.471,6.155592,5872.43483183261
Extração de carvão mineral,77,3547,3484,3579.81,193069.827,4.348733,4148.69089528387
Extração de carvão mineral,77,3547,3484,3579.81,193069.827,4.348733,4148.69089528387
Extração de petróleo e gás natural,266,15822,15670,16648.35,4469509.746,21.646962,20651.2021912081
Extração de petróleo e gás natural,266,15822,15670,16648.35,4469509.746,21.646962,20651.2021912081
Extração de minerais metálicos,1091,78472,77369,75128.03,4797194.864,5.148653,4911.81506474297
Extração de minério de ferro,301,50556,50231,48948.01,2997516.971,4.937816,4710.67625708301
Extração de minerais metálicos não-ferrosos,790,27916,27138,26180.02,1799677.893,5.542849,5287.87835150623
Extração de minerais não-metálicos,10647,91482,77508,79018.43,2617332.009,2.670784,2547.92750832355
"Extração de pedra, areia e argila",9258,71705,59410,60783.93,1859676.133,2.46693,2353.4511544543
Extração de outros minerais não-metálicos,1389,19777,18098,18234.5,757655.876,3.350321,3196.20616034271
Atividades de apoio à extração de minerais,690,24907,24285,25115.12,3152270.025,10.120371,9654.83380590595
Atividades de apoio à extração de petróleo e gás natural,306,20370,20209,21033.48,2943716.285,11.28478,10765.6799650257
"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",384,4537,4076,4081.64,208553.74,4.119946,3930.42879445894
Indústrias de transformação,407579,7355743,6807385,6909344.85,259005780.468,3.022601,2883.56161213484
Fabricação de produtos alimentícios,58137,1631917,1556170,1545679.53,45717631.364,2.384913,2275.20699206895
Abate e fabricação de produtos de carne,5096,506128,499947,497508.71,12468163.001,2.020738,1927.78426254162
Preservação do pescado e fabricação de produtos do pescado,639,19958,19196,19891.46,467423.806,1.894752,1807.59368013285
"Fabricação de conservas de frutas, legumes e outros vegetais",3504,67152,62343,63383.03,1857575.944,2.363099,2254.39612512638
Fabricação de óleos e gorduras vegetais e animais,611,38953,38362,37647.99,2155967.243,4.617518,4405.11257246199
Laticínios,7588,136005,125893,125561.43,4095611.53,2.630091,2509.10682340294
"Moagem, fabricação de produtos amiláceos e de alimentos para animais",6178,147014,139462,139815.87,5066042.788,2.921599,2787.20576624759
Fabricação e refino de açúcar,540,264363,263857,258978.33,8505886.822,2.648283,2526.46229631526
Torrefação e moagem de café,1796,22386,19879,19580.84,702819.603,2.894149,2761.01772879077
Fabricação de outros produtos alimentícios,32185,429958,387231,383311.87,10398140.627,2.187317,2086.70024047962
Fabricação de bebidas,4937,128542,121145,119936.34,4815206.205,3.237221,3088.30899215111
Fabricação de bebidas alcoólicas,3225,58118,52995,52127.57,2688035.793,4.157917,3966.6530413162
Fabricação de bebidas não-alcoólicas,1712,70424,68150,67808.77,2127170.412,2.529442,2413.08746981798
Fabricação de produtos do fumo,272,10016,9751,16094.4,792178.399,3.968775,3786.21134823771
Processamento industrial do fumo,54,4347,4308,10027.32,411930.711,3.312437,3160.06448076164
Fabricação de produtos do fumo,218,5669,5443,6067.08,380247.688,5.053533,4821.07078756933
Fabricação de produtos têxteis,11688,259876,244295,254996.22,6905325.14,2.183527,2083.08521954983
Preparação e fiação de fibras têxteis,772,34594,33555,34753.39,899639.332,2.087274,1991.25971706534
"Tecelagem, exceto malha",1053,64704,63209,66662.74,1923883.614,2.32704,2219.9964662534
Fabricação de tecidos de malha,810,23826,22731,23729.53,737970.916,2.507601,2392.25107022607
"Acabamentos em fios, tecidos e artefatos têxteis",2874,39755,35941,37564.05,951736.756,2.042926,1948.95171559796
"Fabricação de artefatos têxteis, exceto vestuário",6179,96997,88859,92286.51,2392094.522,2.09001,1993.86964490343
Confecção de artigos do vestuário e acessórios,57783,615771,542088,565593.69,10992842.926,1.567161,1495.07202246192
Confecção de artigos do vestuário e acessórios,55577,596941,526071,548486.21,10631125.891,1.562866,1490.97443068315
Fabricação de artigos de malharia e tricotagem,2206,18830,16017,17107.48,361717.035,1.70487,1626.4457013945
"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",12302,343944,328226,349227.44,7113592.676,1.642438,1566.88557066244
Curtimento e outras preparações de couro,654,32915,32050,33180.24,902732.622,2.193754,2092.84112842695
Fabricação de artigos para viagem e de artefatos diversos de couro,2605,22662,19255,20066.28,388094.258,1.559476,1487.73985320341
Fabricação de calçados,7482,262832,253352,270000.42,5297180.469,1.581935,1509.16587719496
"Fabricação de partes para calçados, de qualquer material",1561,25535,23569,25980.5,525585.327,1.631188,1556.15328952336
Fabricação de produtos de madeira,16120,184878,162636,165063.19,4035751.711,1.971435,1880.74905924024
Desdobramento de madeira,7200,74097,64196,65227.22,1418299.399,1.753264,1672.61388373183
"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis",8920,110781,98440,99835.97,2617452.312,2.113976,2016.73290236436
"Fabricação de celulose, papel e produtos de papel",5163,180955,174169,177332.89,8462695.873,3.847935,3670.92988568215
Fabricação de celulose e outras pastas para a fabricação de papel,123,17459,17419,17953.87,1687842.907,7.580227,7231.53669761621
"Fabricação de papel, cartolina e papel-cartão",336,40041,39717,39971.96,2389180.169,4.819497,4597.80030609149
"Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado",2319,67500,64291,65893.71,2395709.322,2.931558,2796.70597484249
"Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado",2385,55955,52742,53513.35,1989963.475,2.998412,2860.48459798421
Impressão e reprodução de gravações,19553,124471,97322,99562.67,3169602.427,2.566945,2448.8653358502
Atividade de impressão,13058,94461,76436,78256.36,2574707.881,2.652874,2530.84161318793
Serviços de pré-impressão e acabamentos gráficos,6105,28414,19811,20170.99,534828.096,2.137939,2039.59363269878
Reprodução de materiais gravados em qualquer suporte,390,1596,1075,1135.32,60066.45,4.266011,4069.77429609815
"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",755,139843,139149,149747.05,8834897.689,4.757201,4538.36996814603
Coquerias,16,530,517,519.21,40981.578,6.364348,6071.58775239898
Fabricação de produtos derivados do petróleo,330,20368,20126,20899.75,4261488.194,16.441009,15684.722743279
Fabricação de biocombustíveis,409,118945,118506,128328.09,4532427.917,2.847852,2716.85101295977
Fabricação de produtos químicos,11270,294231,280016,282272.47,18674163.679,5.334343,5088.96290578336
Fabricação de produtos químicos inorgânicos,1651,52673,51063,51855.13,3607032.807,5.608757,5350.7543434357
Fabricação de produtos químicos orgânicos,507,25357,24804,24609.57,2807941.192,9.200094,8776.88949086442
Fabricação de resinas e elastômeros,386,15724,15329,15355.95,1340843.505,7.0406,6716.73247678737
Fabricação de fibras artificiais e sintéticas,105,3790,3657,3440.9,192245.954,4.504986,4297.75649036366
Fabricação de defensivos agrícolas e desinfestantes domissanitários,307,13588,13216,13660.97,1992030.784,11.757711,11216.8562869818
"Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",4418,100106,94035,94961.1,4034515.113,3.425736,3268.15207895249
"Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",1542,31433,29427,29901.87,1710396.784,4.612186,4400.02526211957
Fabricação de produtos e preparados químicos diversos,2354,51560,48485,48486.98,2989157.54,4.970865,4742.20492562365
Fabricação de produtos farmoquímicos e farmacêuticos,870,102361,101447,100371.06,8393880.663,6.743146,6432.96113364825
Fabricação de produtos farmoquímicos,122,2934,2775,2792.47,189691.076,5.477302,5225.34574436582
Fabricação de produtos farmacêuticos,748,99427,98672,97578.59,8204189.587,6.779371,6467.520248984
Fabricação de produtos de borracha e de material plástico,16419,413028,390314,395557.83,14274846.903,2.909844,2775.99143059465
Fabricação de produtos de borracha,3063,92406,88156,89966.57,3877225.242,3.474947,3315.09910334985
Fabricação de produtos de material plástico,13356,320622,302158,305591.26,10397621.661,2.743477,2617.27724427117
Fabricação de produtos de minerais não-metálicos,30440,407882,365162,372432.68,11754935.413,2.544959,2427.8905948855
Fabricação de vidro e de produtos do vidro,1309,43157,41500,42829.76,1837789.522,3.459859,3300.70550872176
Fabricação de cimento,152,14046,14011,14518.89,1097071.097,6.092698,5812.43362162089
"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",13002,116964,98884,100627.14,2573930.269,2.062481,1967.60671203537
Fabricação de produtos cerâmicos,6947,144288,133965,136893.6,3656998.672,2.154021,2054.93602442953
Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos,9030,89427,76802,77563.29,2589145.853,2.691588,2567.77485348268
Metalurgia,3908,198787,193446,195229.84,11434512.889,4.722585,4505.34567122762
Produção de ferro-gusa e de ferroligas,197,19126,18881,17540.37,915160.715,4.206946,4013.4260609624
Siderurgia,648,78758,78025,80459.4,5762276.7,5.774649,5509.01515355762
"Produção de tubos de aço, exceto tubos sem costura",279,15024,14652,14987.96,753341.97,4.052826,3866.39558069893
Metalurgia dos metais não-ferrosos,1175,47520,45993,46565.37,2687412.126,4.653498,4439.43663912276
Fundição,1609,38359,35895,35676.74,1316321.378,2.974987,2838.13741433171
"Fabricação de produtos de metal, exceto máquinas e equipamentos",45577,460740,396897,403784.73,13935823.578,2.782858,2654.84638083496
Fabricação de estruturas metálicas e obras de caldeiraria pesada,15217,128592,107480,110265.91,3308691.702,2.419487,2308.19068475191
"Fabricação de tanques, reservatórios metálicos e caldeiras",665,11092,10175,9890.18,405057.699,3.302334,3150.42643697704
"Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais",10970,92529,77056,77465.93,2477615.1,2.578881,2460.25287404511
"Fabricação de artigos de cutelaria, de serralheria e ferramentas",8486,76798,65022,66338.77,2529759.345,3.074823,2933.38077706758
"Fabricação de equipamento bélico pesado, armas de fogo e munições",24,7437,7413,7598.62,420873.467,4.466066,4260.62654494146
Fabricação de produtos de metal não especificados anteriormente,10215,144292,129751,132225.32,4793826.265,2.923317,2788.84457635241
"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",4215,127420,121447,122033.4,5858000.83,3.870606,3692.55833617304
Fabricação de componentes eletrônicos,1091,20340,18778,19258.9,808714.144,3.385882,3230.1315395839
Fabricação de equipamentos de informática e periféricos,631,25956,25147,24558.92,1287823.334,4.228198,4033.70072399826
Fabricação de equipamentos de comunicação,370,29274,28764,28962.83,1465467.453,4.079843,3892.17026151742
"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",411,16438,15907,17410.34,661136.369,3.061908,2921.05977075869
"Fabricação de aparelhos e instrumentos de medida, teste e controle; cronômetros e relógios",1283,25782,23827,23896.93,1190405.912,4.016625,3831.85980535833
Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,301,7853,7426,6265.4,380979.052,4.902985,4677.44771651881
"Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos",113,1697,1539,1594.38,61866.835,3.128775,2984.85135770162
"Fabricação de mídias virgens, magnéticas e ópticas",15,80,59,85.7,1607.731,1.512658,1443.07602549143
"Fabricação de máquinas, aparelhos e materiais elétricos",5407,182935,175478,178519,7734936.752,3.49366,3332.95130921208
"Fabricação de geradores, transformadores e motores elétricos",759,39457,38452,39202.18,2137682.95,4.396847,4194.59198442536
"Fabricação de pilhas, baterias e acumuladores elétricos",189,10684,10459,10845.06,443892.845,3.300308,3148.49373461636
Fabricação de equipamentos para distribuição e controle de energia elétrica,1835,55963,53417,54021.17,2388312.31,3.564802,3400.82103994529
Fabricação de lâmpadas e outros equipamentos de iluminação,769,10548,9520,9722.19,309447.307,2.566439,2448.38241178171
Fabricação de eletrodomésticos,566,46710,46005,45825.51,1721503.74,3.029067,2889.73029684524
Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente,1289,19573,17625,18902.89,734097.6,3.131366,2987.32342799679
Fabricação de máquinas e equipamentos,16688,357690,333172,333401.53,17334795.696,4.192368,3999.5192066732
"Fabricação de motores, bombas, compressores e equipamentos de transmissão",1532,67917,65844,65587.02,3558678.252,4.37501,4173.76000499911
Fabricação de máquinas e equipamentos de uso geral,6006,103172,94238,94581.65,4495740.818,3.832681,3656.3774978469
Fabricação de tratores e de máquinas e equipamentos para a agricultura e pecuária,2294,67264,63890,64758.75,3332657.943,4.149546,3958.66664053417
Fabricação de máquinas-ferramenta,1503,23291,21122,21210.72,1178084.018,4.478464,4272.45503870031
Fabricação de máquinas e equipamentos de uso na extração mineral e na construção,459,28110,27510,28020.01,1994200.574,5.738638,5474.66057841686
Fabricação de máquinas e equipamentos de uso industrial específico,4894,67936,60568,59243.38,2775434.091,3.777456,3603.69259952628
"Fabricação de veículos automotores, reboques e carrocerias",7219,440457,430895,432230.06,26369303.783,4.919172,4692.88966923701
"Fabricação de automóveis, camionetas e utilitários",118,91190,91131,89912.54,8536663.414,7.655546,7303.3907891106
Fabricação de caminhões e ônibus,39,21739,21722,22216.5,2449009.315,8.888389,8479.52341381752
"Fabricação de cabines, carrocerias e reboques para veículos automotores",1998,49340,46674,45851.1,1818474.214,3.197906,3050.80209299567
Fabricação de peças e acessórios para veículos automotores,3254,265768,261659,264558.48,13314146.425,4.057887,3871.2238958108
Recondicionamento e recuperação de motores para veículos automotores,1810,12420,9709,9691.44,251010.415,2.08839,1992.32451127371
"Fabricação de outros equipamentos de transporte, exceto veículos automotores",1595,71638,69618,73620.9,4695188.911,5.142333,4905.78596253551
Construção de embarcações,616,20682,19921,23798.95,1185462.68,4.016413,3831.65799008263
Fabricação de veículos ferroviários,85,,,,,,
Fabricação de aeronaves,102,19221,19098,19101.6,1920607.647,8.107317,7734.38087747784
Fabricação de veículos militares de combate,2,,,,,,
Fabricação de equipamentos de transporte não especificados anteriormente,790,26075,25011,24897.7,1094169.833,3.543511,3380.50945391619
Fabricação de móveis,24008,268107,235147,238427.14,6043181.249,2.043705,1949.69455271293
Fabricação de móveis,24008,268107,235147,238427.14,6043181.249,2.043705,1949.69455271293
Fabricação de produtos diversos,16529,174238,152139,154516.53,4535624.392,2.366848,2257.97320196098
"Fabricação de artigos de joalheria, bijuteria e semelhantes",2325,20966,17692,18523.91,461314.884,2.008043,1915.67332748282
Fabricação de instrumentos musicais,182,1603,1344,1356.93,33418.4,1.985804,1894.45745458215
Fabricação de artefatos para pesca e esporte,580,5251,4508,4611.31,109534.987,1.9153,1827.19622640188
Fabricação de brinquedos e jogos recreativos,795,14300,13239,14114.62,338866.666,1.935833,1846.78486671158
Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos,5340,66531,59307,58754.69,1998173.481,2.742199,2616.05758424758
Fabricação de produtos diversos,7307,65587,56049,57155.07,1594315.974,2.249199,2145.73598296166
"Manutenção, reparação e instalação de máquinas e equipamentos",36724,236016,187256,183714.26,7126861.32,3.127978,2984.09117255493
Manutenção e reparação de máquinas e equipamentos,28463,186517,148546,146798.59,5923963.119,3.253859,3104.18152308076
Instalação de máquinas e equipamentos,8261,49499,38710,36915.67,1202898.201,2.627401,2506.54074126662
Eletricidade e gás,6612,132280,127060,127640.11,12773729.04,8.069355,7698.16432732988
"Eletricidade, gás e outras utilidades",6612,132280,127060,127640.11,12773729.04,8.069355,7698.16432732988
"Geração, transmissão e distribuição de energia elétrica",6409,127700,122591,123186.52,12239963.724,8.01171,7643.17127455929
Produção e distribuição de combustíveis gasosos por redes urbanas,167,3968,3892,3890,504868.483,10.464945,9983.55710895788
"Produção e distribuição de vapor, água quente e ar condicionado",36,612,577,563.59,28896.833,4.134236,3944.06094446727
"Água, esgoto, atividades de gestão de resíduos e descontaminação",15536,408667,393430,388238.73,16856422.471,3.500861,3339.82104872591
"Captação, tratamento e distribuição de água",4677,150679,149157,148291.99,10088755.398,5.485651,5233.31103411898
"Captação, tratamento e distribuição de água",4677,150679,149157,148291.99,10088755.398,5.485651,5233.31103411898
Esgoto e atividades relacionadas,1415,17220,15476,15374.66,581694.905,3.05069,2910.35781754373
Esgoto e atividades relacionadas,1415,17220,15476,15374.66,581694.905,3.05069,2910.35781754373
"Coleta, tratamento e disposição de resíduos; recuperação de materiais",9300,238945,227141,222794.19,6134545.467,2.220173,2118.04496717869
Coleta de resíduos,5136,192361,185892,183018.02,5025788.728,2.214209,2112.35556434867
Tratamento e disposição de resíduos,526,14946,14431,13048.38,441215.245,2.726479,2601.06114558047
Recuperação de materiais,3638,31638,26818,26727.79,667541.494,2.013833,1921.1968401543
