faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
               Total,5447946,52217587,45456277,45707415.71,1754586912.824,3.095255,2952.87366320857
"Agricultura, pecuária, produção florestal, pesca e aquicultura",129991,640129,513661,538990.05,13990191.122,2.092913,1996.63898776268
"Agricultura, pecuária e serviços relacionados",116652,527137,415911,441599.79,11568307.91,2.112269,2015.10476087584
Produção de lavouras temporárias,39187,149275,119486,128335.5,3908869.978,2.455911,2342.9394516716
Horticultura e floricultura,6694,17410,10226,10261.41,223392.073,1.755371,1674.6242100632
Produção de lavouras permanentes,16935,115336,99172,107707.02,2175430.862,1.628582,1553.66693404442
Produção de sementes e mudas certificadas,993,15950,14869,16356.3,729947.848,3.598446,3432.91786415867
Pecuária,40158,141741,101364,102049.76,2520881.567,1.991814,1900.19032570295
Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,12685,87425,70794,76889.8,2009785.582,2.107605,2010.65539152237
Caça e serviços relacionados,,,,,,,
Produção florestal,10603,98028,86319,85736.29,2179512.561,2.04976,1955.47080920594
