faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",129991.0,640129.0,513661.0,538990.05,13990191.122,2.092913,1996.63898776268
B Indústrias extrativas,12771.0,214230.0,198316.0,199489.74,15229376.471,6.155592,5872.43483183261
C Indústrias de transformação,407579.0,7355743.0,6807385.0,6909344.85,259005780.468,3.022601,2883.56161213484
D Eletricidade e gás,6612.0,132280.0,127060.0,127640.11,12773729.04,8.069355,7698.16432732988
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",15536.0,408667.0,393430.0,388238.73,16856422.471,3.500861,3339.82104872591
F Construção,247363.0,2235052.0,1859942.0,1876724.85,54786881.849,2.35388,2245.60117421909
G Comércio; reparação de veículos automotores e motocicletas,2002995.0,11420897.0,8976676.0,8911409.8,228392984.525,2.066544,1971.48279695405
"H Transporte, armazenagem e correio",257773.0,2636773.0,2336678.0,2345775.11,85683292.317,2.945222,2809.74184516907
I Alojamento e alimentação,313183.0,2273885.0,1878257.0,1873925.38,37258318.358,1.603169,1529.42295337124
J Informação e comunicação,151381.0,1079375.0,866867.0,843787.31,52493026.541,5.016224,4785.47741911224
"K Atividades financeiras, de seguros e serviços relacionados",135012.0,1079380.0,913962.0,905219.73,87380195.146,7.783363,7425.32807230045
L Atividades imobiliárias,100345.0,329004.0,155538.0,154289.7,4952577.102,2.588228,2469.16981097646
"M Atividades profissionais, científicas e técnicas",330762.0,1512139.0,1020755.0,982904.89,44884123.2,3.682049,3512.67441709285
N Atividades administrativas e serviços complementares,500205.0,4998509.0,4441219.0,4395238.5,116244291.097,2.132541,2034.44444389607
"O Administração pública, defesa e seguridade social",21670.0,7607514.0,7607305.0,7829999.8,424630413.484,4.37278,4171.63202996604
P Educação,192678.0,3512807.0,3315019.0,3412861.01,160039223.311,3.781082,3607.1523127927
Q Saúde humana e serviços sociais,257294.0,3400199.0,2978906.0,2945540.12,110112043.531,3.014242,2875.58710783824
"R Artes, cultura, esporte e recreação",72395.0,368831.0,282569.0,277557.09,8303059.131,2.412093,2301.13688045501
S Outras atividades de serviços,292134.0,1009432.0,780090.0,785852.4,21382396.824,2.193935,2093.01359350981
U Organismos internacionais e outras instituições extraterritoriais,267.0,2741.0,2642.0,2626.54,188586.836,5.789428,5523.1139416524
