faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
               Total,5790027.0,53220285.0,46214846.0,47063343.9,1820628515.254,2.981705,2975.74153729503
  0          a                4,4196943.0,6943624.0,2372028.0,2862401.92,60938401.091,1.640917,1637.63491141464
  5          a                9,847526.0,5493781.0,4169295.0,4176791.53,95360036.162,1.759745,1756.2254051681
 10          a              19,429923.0,5684502.0,4914126.0,4944784.61,127274905.283,1.983908,1979.94009883912
 20          a              29,118205.0,2808239.0,2660768.0,2677724.23,75956641.608,2.186382,2182.0090806105
 30          a              49,85649.0,3227582.0,3134074.0,3142570.25,97079552.261,2.381052,2376.28987489803
 50          a              99,58033.0,3982015.0,3923258.0,3940137.64,132209336.17,2.586288,2581.11514504195
100          a             249 ,32264.0,4953610.0,4926955.0,4963538.19,191145410.139,2.968237,2962.30078721634
250          a            499,11540.0,3988147.0,3980504.0,4047485.13,171262706.274,3.261397,3254.87405280949
500          e           mais,9944.0,16138785.0,16133838.0,16307910.4,869401526.266,4.109114,4100.89575191681
