atividades,faixa,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",0 a 4,116002,118057,18859,29823.41,642951.109,1.661678,1658.35421286113
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",5 a 9,7441,47972,32182,35469.53,778727.488,1.692217,1688.83304801441
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",10 a 19,4268,57146,47561,50434.1,1231608.678,1.882238,1878.47367310853
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",20 a 29,1311,31220,29275,30448.26,747731.129,1.892819,1889.03336853555
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",30 a 49,1189,45028,43632,43826.58,1105830.725,1.94481,1940.92037122397
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",50 a 99,1036,72354,71140,70711.28,1817624.542,1.981261,1977.29799915287
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",100 a 249,625,95127,94382,96695.65,2569117.534,2.047874,2043.77782963668
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",250 a 499,183,61563,61390,63085.84,1640538.108,2.004382,2000.37344476864
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",500 ou mais,131,131524,131368,135920.21,3601798.587,2.042497,2038.41231388055
B Indústrias extrativas,0 a 4,9717,14419,4289,6056.32,290165.32,3.69286,3685.47389021208
B Indústrias extrativas,5 a 9,1814,12005,8871,9153.02,253132.474,2.131619,2127.35564537505
B Indústrias extrativas,10 a 19,1366,18567,16133,16655.99,537180.929,2.485858,2480.88585086068
B Indústrias extrativas,20 a 29,515,12508,11812,12066.58,458852.051,2.930992,2925.12970662645
B Indústrias extrativas,30 a 49,404,15315,14877,14984.85,621458.929,3.196584,3190.1909595358
B Indústrias extrativas,50 a 99,312,21126,20834,21175.82,1065371.802,3.877815,3870.05920322911
B Indústrias extrativas,100 a 249,150,23840,23768,23380,2228781.585,7.347661,7332.96566756597
B Indústrias extrativas,250 a 499,60,21513,21497,22656.48,1961588.901,6.673316,6659.96897678178
B Indústrias extrativas,500 ou mais,67,91751,91737,91911.61,9910879.184,8.31128,8294.6574632536
C Indústrias de transformação,0 a 4,233470,448386,169148,229909.24,5084620.997,1.704623,1701.21345308663
C Indústrias de transformação,5 a 9,76654,506220,388146,399643.69,8751880.327,1.68793,1684.55446804473
C Indústrias de transformação,10 a 19,52633,712578,628314,638701.48,15630451.505,1.886252,1882.47946984801
C Indústrias de transformação,20 a 29,18481,439813,412138,421125.31,10903589.448,1.995649,1991.65813578422
C Indústrias de transformação,30 a 49,14030,532204,515153,524012.21,14689307.847,2.160658,2156.33669578336
C Indústrias de transformação,50 a 99,10697,741241,728747,740761.33,24575806.83,2.557146,2552.0320819538
C Indústrias de transformação,100 a 249,6304,976183,969503,1005753.68,39945645.44,3.061286,3055.16352366026
C Indústrias de transformação,250 a 499,2341,815729,813629,844537.94,37938884.239,3.462514,3455.58863902823
C Indústrias de transformação,500 ou mais,1809,2160927,2159619,2225968.34,109123390.317,3.778548,3770.99116668548
D Eletricidade e gás,0 a 4,6221,,,,,,
D Eletricidade e gás,5 a 9,857,5695,4285,4275.59,274742.148,4.952852,4942.94620967291
D Eletricidade e gás,10 a 19,591,7863,6791,7173.33,524537.061,5.636136,5624.86386271198
D Eletricidade e gás,20 a 29,203,,,,,,
D Eletricidade e gás,30 a 49,251,9788,9565,9834.42,802017.364,6.285808,6273.23658991739
D Eletricidade e gás,50 a 99,233,16231,16110,16369.02,1364920.231,6.427035,6414.18141850135
D Eletricidade e gás,100 a 249,157,22581,22505,22904.26,2127270.866,7.158675,7144.35744536337
D Eletricidade e gás,250 a 499,39,13136,13121,12965.95,1157572.101,6.881289,6867.52669640333
D Eletricidade e gás,500 ou mais,40,53909,53889,55660.7,6144479.059,8.508686,8491.66890297269
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",0 a 4,10271,15368,6578,8873.78,252287.586,2.191358,2186.97526697928
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",5 a 9,2426,15968,12987,13194.49,397946.995,2.324656,2320.00685950668
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",10 a 19,1643,21979,19537,19726.41,624158.185,2.438781,2433.90297965636
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",20 a 29,621,14819,14256,14460.6,481168.842,2.564704,2559.57483411158
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",30 a 49,520,19791,19411,19300.22,755212.13,3.01601,3009.97816445775
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",50 a 99,470,32635,32418,32153.98,1419274.354,3.402183,3395.37905751301
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",100 a 249,334,50523,50358,52211.34,2152414.254,3.177511,3171.1564428488
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",250 a 499,128,46140,46069,46501.93,1916940.915,3.177341,3170.98652596867
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",500 ou mais,127,199065,199021,194939.93,9566501.052,3.782496,3774.930545567
F Construção,0 a 4,212915,340499,78857,120286.12,2523024.621,1.61671,1613.47640941449
F Construção,5 a 9,32933,213287,145202,152588.93,3286931.276,1.660327,1657.00662154598
F Construção,10 a 19,18890,252397,206996,212976.59,5084991.082,1.840282,1836.60166666133
F Construção,20 a 29,6716,160179,145251,147989.9,3718798.21,1.936853,1932.97921526557
F Construção,30 a 49,4813,182210,174584,175410.26,4597136.948,2.020033,2015.99335795365
F Construção,50 a 99,3488,240697,236049,236657.79,6667399.13,2.17151,2167.16659170123
F Construção,100 a 249,1930,293005,290434,291107.17,9058746.686,2.398509,2393.71180089397
F Construção,250 a 499,641,220226,219458,220804.19,7346856.386,2.564604,2559.47497610021
F Construção,500 ou mais,386,421346,420889,400529.36,14768946.347,2.842112,2836.42826064755
G Comércio; reparação de veículos automotores e motocicletas,0 a 4,1421007,2688805,1068905,1222826.17,23470770.647,1.479411,1476.45179684295
G Comércio; reparação de veículos automotores e motocicletas,5 a 9,359644,2325681,1811772,1792945.11,37827244.68,1.626162,1622.90972326961
G Comércio; reparação de veículos automotores e motocicletas,10 a 19,160985,2116899,1900733,1908535.96,44780450.875,1.808482,1804.86516340394
G Comércio; reparação de veículos automotores e motocicletas,20 a 29,36435,859777,826517,829468.44,21190702.029,1.969117,1965.17905157521
G Comércio; reparação de veículos automotores e motocicletas,30 a 49,22414,838828,820868,820627.76,22841290.308,2.145362,2141.07103979107
G Comércio; reparação de veículos automotores e motocicletas,50 a 99,13719,941845,932808,942868.96,27093858.742,2.214857,2210.4269719027
G Comércio; reparação de veículos automotores e motocicletas,100 a 249,7071,1060238,1056978,1063194.42,31644415.723,2.29409,2289.50206947677
G Comércio; reparação de veículos automotores e motocicletas,250 a 499,1253,405885,405423,415361.52,13889361.547,2.577402,2572.24700711878
G Comércio; reparação de veículos automotores e motocicletas,500 ou mais,288,249881,249739,253220.76,14066059.569,4.281533,4272.96949203837
"H Transporte, armazenagem e correio",0 a 4,196992,329464,117934,152127.1,3700939.369,1.87513,1871.38020621724
"H Transporte, armazenagem e correio",5 a 9,33705,218533,169727,177040.65,4459727.354,1.941607,1937.72419106963
"H Transporte, armazenagem e correio",10 a 19,18115,242499,215291,224072.92,6194511.39,2.130805,2126.54378830716
"H Transporte, armazenagem e correio",20 a 29,6162,147328,141156,146061.07,4393622.511,2.318539,2313.90172880847
"H Transporte, armazenagem e correio",30 a 49,5563,210529,205671,217198.63,6985229.606,2.478847,2473.88924279906
"H Transporte, armazenagem e correio",50 a 99,4107,281984,278453,283391.98,9877504.923,2.686494,2681.12058428753
"H Transporte, armazenagem e correio",100 a 249,2331,356301,354267,357991.36,13123790.359,2.825614,2819.96284856621
"H Transporte, armazenagem e correio",250 a 499,812,283496,282867,286747.86,10818193.268,2.907908,2902.09214786495
"H Transporte, armazenagem e correio",500 ou mais,560,597280,596660,614865.15,28534903.119,3.57703,3569.8763340472
I Alojamento e alimentação,0 a 4,180175,358906,157189,202606.53,3454819.106,1.314311,1311.68188826961
I Alojamento e alimentação,5 a 9,72615,479334,377212,367116.98,6486228.804,1.361802,1359.07818055915
I Alojamento e alimentação,10 a 19,41162,546018,484478,474516.58,9045630.253,1.46931,1466.37175832556
I Alojamento e alimentação,20 a 29,10587,250940,237821,234885.15,4730136.211,1.552188,1549.08316517832
I Alojamento e alimentação,30 a 49,6655,247488,240208,235486.46,5004340.388,1.637974,1634.69806550824
I Alojamento e alimentação,50 a 99,2767,181692,179316,178026.66,3926250.849,1.699883,1696.48352711287
I Alojamento e alimentação,100 a 249,691,99802,99245,96310.6,2272719.585,1.818854,1815.21642956786
I Alojamento e alimentação,250 a 499,147,51960,51843,53258.06,1445389.557,2.091827,2087.64292347343
I Alojamento e alimentação,500 ou mais,88,97131,97075,97041.09,2242669.643,1.781295,1777.73198406508
J Informação e comunicação,0 a 4,138257,209277,32647,42106.45,1300345.181,2.380324,2375.56365793401
J Informação e comunicação,5 a 9,14313,93582,66137,66453.59,2047676.132,2.375029,2370.27899644526
J Informação e comunicação,10 a 19,8805,118345,102737,102693.16,3706758.234,2.782139,2776.57488355827
J Informação e comunicação,20 a 29,2757,65917,62219,61763.41,2599159.732,3.243604,3237.11666826686
J Informação e comunicação,30 a 49,2420,91822,88860,85533.63,4043989.267,3.644175,3636.8864207159
J Informação e comunicação,50 a 99,1559,107210,105402,102835.72,5955417.433,4.463693,4454.76565251541
J Informação e comunicação,100 a 249,836,127141,126277,123657.36,9005520.712,5.613258,5602.03098676487
J Informação e comunicação,250 a 499,320,111799,111549,110612.46,8691086.109,6.056143,6044.03053062641
J Informação e comunicação,500 ou mais,206,223835,223748,227660.61,19882227.296,6.731367,6717.90389954726
"K Atividades financeiras, de seguros e serviços relacionados",0 a 4,129432,175731,33532,42297.4,1659816.97,3.024633,3018.58337537386
"K Atividades financeiras, de seguros e serviços relacionados",5 a 9,18828,124028,91536,91450.97,5351645.74,4.510505,4501.48376690894
"K Atividades financeiras, de seguros e serviços relacionados",10 a 19,13495,181050,166583,167793.12,11281652.659,5.182325,5171.96077710273
"K Atividades financeiras, de seguros e serviços relacionados",20 a 29,4558,108618,105660,106490.78,7862323.938,5.690691,5679.30997478771
"K Atividades financeiras, de seguros e serviços relacionados",30 a 49,3041,113427,110835,111894.26,9327472.322,6.425135,6412.28487433651
"K Atividades financeiras, de seguros e serviços relacionados",50 a 99,1520,102036,99019,99177.35,8543788.793,6.639939,6626.6594392617
"K Atividades financeiras, de seguros e serviços relacionados",100 a 249,691,103515,101954,100904.15,8322319.215,6.357135,6344.42092970256
"K Atividades financeiras, de seguros e serviços relacionados",250 a 499,224,75280,74817,74440.91,6296570.287,6.519563,6506.52390652481
"K Atividades financeiras, de seguros e serviços relacionados",500 ou mais,175,252866,252655,253439.12,25988259.376,7.903685,7887.87806348492
L Atividades imobiliárias,0 a 4,117440,186161,25260,28004.92,631048.561,1.736819,1733.34531932246
L Atividades imobiliárias,5 a 9,11699,72289,33582,33073.82,831022.337,1.936665,1932.79140884984
L Atividades imobiliárias,10 a 19,3274,41638,30443,30166.29,825520.304,2.109269,2105.0504336514
L Atividades imobiliárias,20 a 29,634,15108,13941,13711.26,422097.839,2.372804,2368.05840881593
L Atividades imobiliárias,30 a 49,438,16508,15802,15479.5,574377.997,2.860006,2854.28617501559
L Atividades imobiliárias,50 a 99,254,17298,16901,16709.56,585013.801,2.69853,2693.13265073315
L Atividades imobiliárias,100 a 249,98,,,,,,
L Atividades imobiliárias,250 a 499,17,,,,,,
L Atividades imobiliárias,500 ou mais,6,,,,,,
"M Atividades profissionais, científicas e técnicas",0 a 4,331796,526973,102618,120192.12,3003501,1.926096,1922.24364177567
"M Atividades profissionais, científicas e técnicas",5 a 9,36495,234307,159183,159728.07,4317485.517,2.083415,2079.24800279914
"M Atividades profissionais, científicas e técnicas",10 a 19,15633,204896,167760,166810.79,5436021.296,2.511789,2506.76520570218
"M Atividades profissionais, científicas e técnicas",20 a 29,3981,94738,86603,85739.07,3235772.563,2.908877,2903.05903445455
"M Atividades profissionais, científicas e técnicas",30 a 49,2614,98313,93172,88845.69,3998307.905,3.468694,3461.75651895395
"M Atividades profissionais, científicas e técnicas",50 a 99,1639,111148,108226,101727.57,5125625.703,3.883599,3875.83130345853
"M Atividades profissionais, científicas e técnicas",100 a 249,767,112894,111705,105707.86,7386722.792,5.386053,5375.28094446772
"M Atividades profissionais, científicas e técnicas",250 a 499,232,79621,79230,75317.29,6007936.885,6.148325,6136.02787824477
"M Atividades profissionais, científicas e técnicas",500 ou mais,158,172485,172303,158445.7,9463765.594,4.603728,4594.5201969459
N Atividades administrativas e serviços complementares,0 a 4,395185,582810,241605,286334.83,6749167.265,1.816779,1813.14551461416
N Atividades administrativas e serviços complementares,5 a 9,79564,507594,412450,417226.92,10452800.511,1.931019,1927.15651657671
N Atividades administrativas e serviços complementares,10 a 19,34376,442384,325965,327137.45,8237622.13,1.940876,1936.9938867263
