ufs,cidades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal,numero_empresas
Rondônia,Alta Floresta D'Oeste - RO,459.0,3023.0,2443.0,2541.62,58804.681,1.783312,1779.74559532896,453.0
Rondônia,Ariquemes - RO,2570.0,20013.0,16718.0,17015.45,440332.092,1.994633,1990.64376108862,2473.0
Rondônia,Cabixi - RO,71.0,608.0,536.0,536.33,13351.63,1.918794,1914.95620520661,70.0
Rondônia,Cacoal - RO,2394.0,20304.0,17058.0,17198.88,436894.117,1.957952,1954.03652849667,2300.0
Rondônia,Cerejeiras - RO,401.0,2453.0,2022.0,2069.23,50927.688,1.897017,1893.22330603097,385.0
Rondônia,Colorado do Oeste - RO,317.0,2422.0,2110.0,2091.32,47579.921,1.753595,1750.08794592742,315.0
Rondônia,Corumbiara - RO,130.0,984.0,877.0,874.25,20597.148,1.815924,1812.29167858164,130.0
Rondônia,Costa Marques - RO,198.0,1036.0,872.0,840.73,19379.533,1.776695,1773.14156470247,197.0
Rondônia,Espigão D'Oeste - RO,661.0,5192.0,4345.0,4543.74,107549.13,1.824398,1820.74898651771,650.0
Rondônia,Guajará-Mirim - RO,709.0,4422.0,3754.0,3855.79,100893.428,2.016859,2012.82562667493,691.0
Rondônia,Jaru - RO,1172.0,11004.0,9562.0,9818.0,244813.492,1.921934,1918.08994468559,1125.0
Rondônia,Ji-Paraná - RO,3717.0,33124.0,28558.0,28681.9,721012.72,1.937587,1933.71139719046,3526.0
Rondônia,Machadinho D'Oeste - RO,528.0,3604.0,3032.0,2983.52,71912.082,1.8578,1854.08464343615,517.0
Rondônia,Nova Brasilândia D'Oeste - RO,367.0,2028.0,1611.0,1636.88,40616.619,1.912551,1908.72593451707,363.0
Rondônia,Ouro Preto do Oeste - RO,767.0,6653.0,5699.0,5614.06,141200.999,1.938594,1934.7166413776,747.0
Rondônia,Pimenta Bueno - RO,984.0,10430.0,9179.0,9164.84,215895.561,1.815704,1812.07209794757,961.0
Rondônia,Porto Velho - RO,10774.0,165583.0,153945.0,155951.31,6816820.127,3.369139,3362.40060439377,9952.0
Rondônia,Presidente Médici - RO,393.0,2781.0,2403.0,2470.87,56800.294,1.771849,1768.30565129504,388.0
Rondônia,Rio Crespo - RO,37.0,416.0,383.0,404.7,10862.989,2.068913,2064.77523711771,37.0
Rondônia,Rolim de Moura - RO,1337.0,13142.0,11322.0,11295.35,254268.04,1.735075,1731.60459835242,1298.0
Rondônia,Santa Luzia D'Oeste - RO,113.0,811.0,694.0,738.61,16528.546,1.724827,1721.37747307052,111.0
Rondônia,Vilhena - RO,3255.0,24018.0,20032.0,20189.63,532636.385,2.033427,2029.36010295308,3124.0
Rondônia,São Miguel do Guaporé - RO,337.0,3436.0,3076.0,3157.7,75331.253,1.838783,1835.10522507862,325.0
Rondônia,Nova Mamoré - RO,305.0,2128.0,1808.0,1739.49,40407.428,1.790463,1786.88218518514,291.0
Rondônia,Alvorada D'Oeste - RO,226.0,1502.0,1234.0,1230.76,25275.825,1.582917,1579.75091063183,222.0
Rondônia,Alto Alegre dos Parecis - RO,166.0,1115.0,928.0,930.82,22775.882,1.885974,1882.2016319771,166.0
Rondônia,Alto Paraíso - RO,217.0,1512.0,1244.0,1296.75,31860.589,1.893754,1889.96686983732,215.0
