faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",8818.0,86838.0,75447.0,80929.7,2627607.186,2.617947,2497.5210545981
B Indústrias extrativas,1146.0,13742.0,12357.0,12313.9,574186.027,3.759805,3586.85354949098
C Indústrias de transformação,29642.0,475393.0,439446.0,446182.11,13247150.06,2.393969,2283.84670796622
D Eletricidade e gás,592.0,11946.0,11432.0,11291.6,1243768.073,8.88162,8473.06556677939
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",1212.0,34820.0,33426.0,34261.29,1676329.2,3.945153,3763.6761487965
F Construção,20968.0,177800.0,148893.0,155296.46,4323747.709,2.244952,2141.68421878634
G Comércio; reparação de veículos automotores e motocicletas,173811.0,959889.0,759057.0,751028.17,18172447.799,1.951037,1861.28917098153
"H Transporte, armazenagem e correio",22386.0,200013.0,176067.0,177689.83,6110995.205,2.77305,2645.48935766762
I Alojamento e alimentação,25640.0,185231.0,154962.0,154916.36,2926158.617,1.523031,1452.97194166333
J Informação e comunicação,9737.0,86028.0,74119.0,72207.33,3771113.788,4.21111,4017.39928619435
"K Atividades financeiras, de seguros e serviços relacionados",9439.0,98594.0,87531.0,86585.96,10607531.611,9.878139,9423.74456640457
L Atividades imobiliárias,7179.0,24098.0,13051.0,13323.48,477908.396,2.892246,2759.20287400081
"M Atividades profissionais, científicas e técnicas",27042.0,114687.0,78745.0,78274.26,3382845.504,3.484749,3324.45027168672
N Atividades administrativas e serviços complementares,33302.0,373110.0,338847.0,339976.81,7770230.871,1.842862,1758.09069742139
"O Administração pública, defesa e seguridade social",2463.0,896843.0,896816.0,916555.46,73256724.797,6.444616,6148.16333830176
P Educação,14319.0,343992.0,329723.0,370128.94,19178615.947,4.178039,3985.8492280264
Q Saúde humana e serviços sociais,22732.0,298035.0,263986.0,263806.37,11922821.604,3.644199,3476.56549530861
"R Artes, cultura, esporte e recreação",5091.0,26647.0,20952.0,21037.26,541522.464,2.075561,1980.08553175871
S Outras atividades de serviços,22547.0,88259.0,71212.0,72678.72,2236716.134,2.481486,2367.33788419457
U Organismos internacionais e outras instituições extraterritoriais,122.0,1549.0,1501.0,1491.99,90659.94,4.899568,4674.18785545583
