faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
               Total,472065.0,4620326,4085136,4196736.21,191561980.822,3.518226,3511.18970765801
  0          a                4,336936.0,562951,220846,267278.32,5513199.828,1.589886,1586.70667513002
  5          a                9,73034.0,473634,365546,364772.25,7979072.398,1.685997,1682.62470581617
 10          a              19,36241.0,480450,422113,424743.19,10809024.133,1.96149,1957.56733579685
 20          a              29,9689.0,229758,218153,218823.99,6073266.899,2.139211,2134.93217469508
 30          a              49,7104.0,266544,259074,258920.94,7749204.638,2.306832,2302.21883352323
 50          a              99,4756.0,326040,321378,323627.71,10425864.496,2.48309,2478.12394252453
100          a             249 ,2568.0,391836,389795,389281.25,13606134.419,2.693999,2688.61067554233
250          a            499,920.0,315428,314873,316334.99,13923703.624,3.392608,3385.8224944483
500          e           mais,817.0,1573685,1573358,1632953.57,115482510.387,5.450903,5440.00159769958
