faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
               Total,836877.0,9499224.0,8509996.0,8517641.09,262732857.971,2.487158,2372.7484676069
  0          a                4,577152.0,1019739.0,413616.0,503531.36,8755628.709,1.402068,1337.57289852276
  5          a                9,139860.0,906192.0,705446.0,702458.22,13142403.793,1.50856,1439.16621535595
 10          a              19,68905.0,908695.0,780566.0,771900.17,16343606.849,1.707242,1628.70870574644
 20          a              29,18470.0,437326.0,414096.0,409212.42,9399302.728,1.85206,1766.86545039183
 30          a              49,13735.0,517785.0,502732.0,489646.35,11968609.47,1.970922,1880.25963416878
 50          a              99,9105.0,624637.0,615235.0,601603.46,15843407.55,2.123472,2025.79230128149
100          a             249 ,5132.0,796503.0,792146.0,787238.73,24324062.537,2.491368,2376.76534742566
250          a            499,2256.0,787572.0,786246.0,783979.64,25857088.888,2.659397,2537.06440327769
500          e           mais,2262.0,3500775.0,3499913.0,3468070.74,137098747.447,3.187527,3040.90034101296
