faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",7125.0,134450.0,124212.0,124226.08,2458766.848,1.595926,1522.51372163249
B Indústrias extrativas,2226.0,34263.0,31678.0,31794.51,2000572.005,5.073531,4840.14863669134
C Indústrias de transformação,54724.0,982743.0,915780.0,898944.95,22843764.24,2.049004,1954.74999202805
D Eletricidade e gás,1548.0,25296.0,24502.0,24470.95,2263890.484,7.459554,7116.41443614383
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",2628.0,83383.0,80893.0,77545.85,3061482.593,3.183329,3036.89573329843
F Construção,35155.0,432145.0,376615.0,379121.5,9097510.765,1.934873,1845.86872647585
G Comércio; reparação de veículos automotores e motocicletas,374547.0,1968771.0,1552671.0,1534636.43,30185706.409,1.586003,1513.04724082232
"H Transporte, armazenagem e correio",26878.0,333589.0,306004.0,307995.86,9148990.382,2.395171,2284.99334673874
I Alojamento e alimentação,46230.0,375232.0,320226.0,318335.5,5328792.244,1.349746,1287.65750502947
J Informação e comunicação,13958.0,113924.0,95797.0,92488.21,3291523.065,2.869583,2737.58224884098
"K Atividades financeiras, de seguros e serviços relacionados",12810.0,114434.0,100894.0,100786.79,8968681.79,7.175188,6845.12920027287
L Atividades imobiliárias,10369.0,43944.0,25691.0,25610.45,556618.24,1.752462,1671.84831552385
"M Atividades profissionais, científicas e técnicas",38064.0,200028.0,144967.0,140215.38,4377043.709,2.51706,2401.27488099435
N Atividades administrativas e serviços complementares,60148.0,866959.0,788759.0,792984.83,15447954.419,1.570776,1498.52070445903
"O Administração pública, defesa e seguridade social",6113.0,2087269.0,2087199.0,2139993.52,88518565.072,3.335264,3181.84159275111
P Educação,38800.0,737366.0,702252.0,705436.9,30916022.236,3.533733,3371.18111714228
Q Saúde humana e serviços sociais,41599.0,725828.0,650534.0,641438.99,20422672.362,2.567234,2449.14141729508
"R Artes, cultura, esporte e recreação",9957.0,48162.0,36210.0,35521.35,819417.002,1.860046,1774.48427711568
S Outras atividades de serviços,53986.0,191392.0,145069.0,146050.91,3022642.841,1.668748,1591.98588881939
U Organismos internacionais e outras instituições extraterritoriais,12.0,46.0,43.0,42.13,2241.265,4.289533,4092.21457393781
