faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
               Total,863313.0,9600494,8599924,8698337.38,271347114.352,2.404446,2399.63731438454
  0          a                4,600265.0,1032146,414187,495327.94,8478724.65,1.319362,1316.72279270485
  5          a                9,140900.0,912869,710233,709523.68,12984683.957,1.410557,1407.73574018862
 10          a              19,70487.0,929450,802157,804514.92,16650338.253,1.5952,1592.00931939307
 20          a              29,18784.0,445187,422795,425743.95,9620779.176,1.741758,1738.27469918336
 30          a              49,13812.0,521730,506847,509334.69,12346160.037,1.868335,1864.59834147713
 50          a              99,9282.0,636472,627470,625566.48,16044163.888,1.976832,1972.8781710348
100          a             249 ,5211.0,807590,803300,806323.67,24623570.754,2.35379,2349.08250582644
250          a            499,2281.0,796999,795744,809684.04,26480261.64,2.520768,2515.72601465248
500          e           mais,2291.0,3518051,3517191,3512318.01,144118431.997,3.162655,3156.32958034414
