faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",2238.0,35225.0,32212.0,32120.69,712874.169,1.789519,1707.20101400255
B Indústrias extrativas,626.0,25357.0,24661.0,23693.41,1577254.236,5.367628,5120.71706533913
C Indústrias de transformação,11965.0,245085.0,230658.0,233419.07,6976466.806,2.409947,2299.08932791666
D Eletricidade e gás,716.0,10980.0,10830.0,11109.42,1268121.542,9.204025,8780.63939639305
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",646.0,18335.0,17691.0,17539.5,632668.932,2.90849,2774.69944542757
F Construção,8306.0,123419.0,111807.0,111707.33,2930705.357,2.11543,2018.1206874731
G Comércio; reparação de veículos automotores e motocicletas,92802.0,590833.0,486942.0,483398.47,10193287.008,1.700268,1622.055197269
"H Transporte, armazenagem e correio",8478.0,115106.0,106046.0,106002.41,3162958.567,2.405947,2295.27333533121
I Alojamento e alimentação,9798.0,79380.0,68222.0,68993.46,1200602.651,1.403136,1338.59136905039
J Informação e comunicação,3177.0,28204.0,24801.0,24147.17,813991.008,2.718076,2593.04477183359
"K Atividades financeiras, de seguros e serviços relacionados",3174.0,33150.0,30421.0,30136.82,2604714.208,6.969007,6648.43309229758
L Atividades imobiliárias,1750.0,7768.0,5045.0,4764.96,134456.189,2.275254,2170.59193974992
"M Atividades profissionais, científicas e técnicas",9834.0,53098.0,40144.0,38602.42,1563425.593,3.26566,3115.43958005343
N Atividades administrativas e serviços complementares,11098.0,196468.0,184079.0,176843.35,3642260.09,1.660697,1584.30527965526
"O Administração pública, defesa e seguridade social",1992.0,802766.0,802754.0,824685.22,38254948.148,3.740311,3568.25640585255
P Educação,8818.0,261533.0,253925.0,256436.47,12089071.046,3.801206,3626.35058110104
Q Saúde humana e serviços sociais,9390.0,186030.0,171946.0,170018.6,6438767.586,3.053617,2913.15076296177
"R Artes, cultura, esporte e recreação",1969.0,11775.0,9651.0,9612.51,231248.434,1.93977,1850.54070965056
S Outras atividades de serviços,11617.0,40612.0,32349.0,32621.68,736626.682,1.820746,1736.99180799631
U Organismos internacionais e outras instituições extraterritoriais,10.0,50.0,44.0,43.26,1581.547,2.94784,2812.23905544294
