faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
               Total,212318.0,2885286,2654033,2691771.05,97722958.215,2.798238,2792.64116163337
  0          a                4,141914.0,242224,103076,128842.86,2382254.482,1.425128,1422.27784115651
  5          a                9,36072.0,235737,187652,189325.46,3817882.988,1.554317,1551.20873214427
 10          a              19,19011.0,251705,223169,224362.57,5062464.607,1.739153,1735.67433455864
 20          a              29,5559.0,131837,125417,125845.42,3050807.284,1.868545,1864.8075026061
 30          a              49,3917.0,147211,142845,143640.62,3741187.28,2.007513,2003.49759645341
 50          a              99,2780.0,191378,188715,191371.62,5467452.118,2.202082,2197.67821292496
100          a             249 ,1693.0,260866,259489,260911.9,8333084.393,2.461716,2456.79285524819
250          a            499,667.0,231433,231031,232144.45,8964807.901,2.97652,2970.56685080876
500          e           mais,705.0,1192895,1192639,1195326.15,56903017.162,3.66923,3661.89191653482
