faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",101559.0,293055.0,205932.0,221870.93,6048555.899,2.198161,2097.04592977686
B Indústrias extrativas,6511.0,121167.0,113039.0,114555.65,10442142.551,7.349899,7011.80373637012
C Indústrias de transformação,185895.0,3601887.0,3344401.0,3409177.8,152908763.233,3.616521,3450.16107883391
D Eletricidade e gás,2374.0,53801.0,51873.0,51902.35,5206505.223,8.088492,7716.42135219756
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",7134.0,210515.0,203724.0,202651.84,8923181.754,3.550401,3387.08297176842
F Construção,119694.0,1091493.0,913029.0,914551.81,29290075.496,2.582382,2463.5922271714
G Comércio; reparação de veículos automotores e motocicletas,920586.0,5663357.0,4496086.0,4474067.86,126618624.547,2.281935,2176.96613030878
"H Transporte, armazenagem e correio",124823.0,1454677.0,1309444.0,1315044.18,52981704.366,3.248582,3099.14737652505
I Alojamento e alimentação,166354.0,1241311.0,1025060.0,1026049.87,21409171.611,1.68244,1605.04806135038
J Informação e comunicação,97345.0,660173.0,520878.0,508526.73,37637500.427,5.967814,5693.29431422113
"K Atividades financeiras, de seguros e serviços relacionados",80841.0,643557.0,545405.0,539614.33,53505357.902,7.995066,7627.29329610707
L Atividades imobiliárias,55815.0,181962.0,85562.0,84311.48,3046865.501,2.913901,2779.86188011042
"M Atividades profissionais, científicas e técnicas",184333.0,874727.0,595706.0,568223.42,29876877.765,4.239595,4044.57346467427
N Atividades administrativas e serviços complementares,289815.0,2853168.0,2529400.0,2491824.63,74306626.897,2.404464,2293.8590091279
"O Administração pública, defesa e seguridade social",6649.0,2867621.0,2867544.0,2967167.44,164425023.27,4.468216,4262.6777790056
P Educação,94868.0,1577965.0,1472851.0,1505498.16,69472995.414,3.720866,3549.70647742784
Q Saúde humana e serviços sociais,134199.0,1711538.0,1492271.0,1475576.19,55267593.036,3.020071,2881.14794700065
"R Artes, cultura, esporte e recreação",37303.0,220155.0,172751.0,168910.26,5360594.339,2.55897,2441.25733210231
S Outras atividades de serviços,142500.0,520171.0,404814.0,409361.32,12104898.709,2.384309,2274.63125861149
U Organismos internacionais e outras instituições extraterritoriais,101.0,1012.0,975.0,974.69,88397.282,7.312749,6976.3626620535
