faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
               Total,2951921.0,26390433.0,22762319.0,23196112.7,955067381.481,3.173547,3167.19972016624
  0          a                4,2158074.0,3511070.0,1111625.0,1361935.59,31400178.41,1.777058,1773.50409003613
  5          a                9,417265.0,2707271.0,2041253.0,2051569.87,49681651.13,1.866534,1862.80054480351
 10          a              19,214222.0,2836547.0,2452023.0,2472088.61,67111035.593,2.092454,2088.26954358553
 20          a              29,60583.0,1441362.0,1365287.0,1377847.95,41638908.838,2.329293,2324.63457781279
 30          a              49,44402.0,1674533.0,1624788.0,1629627.62,54323565.879,2.569366,2564.22742567787
 50          a              99,30419.0,2087555.0,2055739.0,2066828.53,76515101.898,2.85344,2847.73360907541
100          a             249 ,16669.0,2549170.0,2535256.0,2555285.33,109912509.172,3.315384,3308.75315511092
250          a            499,5635.0,1944945.0,1940934.0,1974571.64,93138329.078,3.635647,3628.3752420114
500          e           mais,4652.0,7637980.0,7635414.0,7706357.56,431346101.483,4.314225,4305.59691611898
