faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
               Total,1215778.0,9512363.0,7963738.0,8024041.46,293627488.9,2.95061,2814.88200528124
  0          a                4,891644.0,1536669.0,515893.0,619958.63,13367854.825,1.73863,1658.65345724762
  5          a                9,177552.0,1147940.0,853773.0,849499.79,20681202.715,1.963002,1872.70410897652
 10          a              19,87932.0,1160516.0,992903.0,983320.77,26750588.602,2.193544,2092.6412291375
 20          a              29,22804.0,540780.0,509763.0,502716.69,15004966.742,2.406689,2295.98148198158
 30          a              49,15902.0,599549.0,582220.0,571011.51,17956568.559,2.535635,2418.99590524622
 50          a              99,10451.0,718544.0,708054.0,691179.89,22604653.011,2.63703,2515.72635075453
100          a             249 ,6066.0,938605.0,933688.0,921108.83,33404327.563,2.924153,2789.64176110689
250          a            499,1962.0,675766.0,674383.0,675942.49,27160847.181,3.239976,3090.9374213182
500          e           mais,1465.0,2193994.0,2193061.0,2209302.86,116696479.702,4.259031,4063.11531447039
