faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
"A Agricultura, pecuária, produção florestal, pesca e aquicultura",10251.0,90561.0,75858.0,79842.65,2142387.02,2.163572,2064.04724215017
B Indústrias extrativas,2262.0,19701.0,16581.0,17132.27,635221.652,2.989638,2852.11498534637
C Indústrias de transformação,125353.0,2050635.0,1877100.0,1921620.92,63029636.129,2.644754,2523.09573544017
D Eletricidade e gás,1382.0,30257.0,28423.0,28865.79,2791443.718,7.79747,7438.7861841354
"E Água, esgoto, atividades de gestão de resíduos e descontaminação",3916.0,61614.0,57696.0,56240.25,2562759.992,3.674252,3505.23662323692
F Construção,63240.0,410195.0,309598.0,316047.75,9144842.522,2.333092,2225.76944391862
G Comércio; reparação de veículos automotores e motocicletas,441249.0,2238047.0,1681920.0,1668278.87,43222918.762,2.089073,1992.97609324107
"H Transporte, armazenagem e correio",75208.0,533388.0,439117.0,439042.83,14278643.797,2.622336,2501.70858080941
I Alojamento e alimentação,65161.0,392731.0,309787.0,305630.19,6393593.235,1.686774,1609.18286322032
J Informação e comunicação,27164.0,191046.0,151272.0,146417.87,6978898.253,3.843271,3666.48092308573
"K Atividades financeiras, de seguros e serviços relacionados",28748.0,189645.0,149711.0,148095.83,11693909.635,6.366858,6073.98270690414
L Atividades imobiliárias,25232.0,71232.0,26189.0,26279.33,736728.776,2.260485,2156.5026318286
"M Atividades profissionais, científicas e técnicas",71489.0,269599.0,161193.0,157589.41,5683930.629,2.908238,2774.45948303252
N Atividades administrativas e serviços complementares,105842.0,708804.0,600134.0,593608.88,15077218.82,2.047996,1953.78826387658
"O Administração pública, defesa e seguridade social",4453.0,953015.0,952992.0,981598.16,60175152.197,4.943013,4715.6342074925
P Educação,35873.0,591951.0,556268.0,575360.54,28382518.668,3.977582,3794.61314251622
Q Saúde humana e serviços sociais,49374.0,478768.0,400169.0,394699.97,16060188.943,3.280891,3129.97021373358
"R Artes, cultura, esporte e recreação",18075.0,62092.0,43005.0,42475.71,1350276.892,2.563247,2445.33765841158
S Outras atividades de serviços,61484.0,168998.0,126646.0,125139.77,3281512.458,2.114399,2017.13680016168
U Organismos internacionais e outras instituições extraterritoriais,22.0,84.0,79.0,74.47,5706.802,6.179022,5894.78674943963
