uf,cnae,atividades,unidades,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Brasil,01,"Agricultura, pecuária e serviços relacionados",117559,542560,428514,451580.95,11646370.225,1.987838,1983.86276633748
Brasil,02,Produção florestal,11608,102362,90045,93359.72,2262275.488,1.867721,1863.98578942413
Brasil,03,Pesca e aquicultura,3019,15069,11230,11474.19,227282.187,1.526755,1523.7019043476
Brasil,B,Indústrias extrativas,14405,231044,213818,218040.67,17327411.175,6.125228,6112.97783432929
Brasil,05,Extração de carvão mineral,74,3345,3276,3613.5,184497.87,3.935405,3927.53392725995
Brasil,06,Extração de petróleo e gás natural,361,23538,23300,25634.19,6454230.454,19.406668,19367.854638368
Brasil,07,Extração de minerais metálicos,1360,84133,82736,81224.58,4806332.626,4.56092,4551.79816636408
Brasil,08,Extração de minerais não-metálicos,11790,93028,78174,80274.83,2567300.357,2.465037,2460.1066467055
Brasil,09,Atividades de apoio à extração de minerais,820,27000,26332,27293.57,3315049.868,9.361724,9343.00042097827
Brasil,C,Indústrias de transformação,416419,7333281,6784397,7030413.22,266643576.95,2.92332,2917.47351669455
Brasil,10,Fabricação de produtos alimentícios,60432,1596754,1519378,1551321.43,45784166.404,2.274781,2270.23161418833
Brasil,11,Fabricação de bebidas,5773,129983,121522,124158.71,5279555.634,3.277527,3270.97200151199
Brasil,12,Fabricação de produtos do fumo,301,9734,9466,16427.03,824789.889,3.869995,3862.25483711438
Brasil,13,Fabricação de produtos têxteis,11773,257970,242551,256373.25,6990620.773,2.101692,2097.488951993
Brasil,14,Confecção de artigos do vestuário e acessórios,56637,601901,530949,554037.76,11079655.967,1.541392,1538.30892001074
Brasil,15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",12086,332681,317419,337783.11,7090319.842,1.617909,1614.67285506189
Brasil,16,Fabricação de produtos de madeira,16361,180134,158041,166236.35,4059663.56,1.882306,1878.54107905817
Brasil,17,"Fabricação de celulose, papel e produtos de papel",5358,181574,174699,178300.5,8736481.008,3.776679,3769.12572099004
Brasil,18,Impressão e reprodução de gravações,19443,122573,96128,98822,3093823.737,2.41306,2408.23340255907
Brasil,19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",881,190850,190106,206846.56,13958982.538,5.201536,5191.13243913006
Brasil,20,Fabricação de produtos químicos,11924,291563,276663,285133.5,18087361.896,4.889372,4879.59334999759
Brasil,21,Fabricação de produtos farmoquímicos e farmacêuticos,925,103364,102412,106673.42,8703248.08,6.288561,6275.98347871908
Brasil,22,Fabricação de produtos de borracha e de material plástico,17215,402355,379446,392212.29,14341377.159,2.818355,2812.71874062033
Brasil,23,Fabricação de produtos de minerais não-metálicos,30900,399082,356746,369217.58,11252013.043,2.348951,2344.25312263342
Brasil,24,Metalurgia,4005,197467,192255,205497.78,11615667.561,4.356755,4348.04156671518
Brasil,25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",45775,467449,404403,413799.94,14263014.98,2.656728,2651.41410716864
Brasil,26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",4315,119811,113811,118025.66,6017182.819,3.929551,3921.69140885257
Brasil,27,"Fabricação de máquinas, aparelhos e materiais elétricos",5809,193920,186181,191526.15,8447216.161,3.399473,3392.67436085601
Brasil,28,Fabricação de máquinas e equipamentos,17496,353026,328151,337071.55,17574222.361,4.018649,4010.61216391138
Brasil,29,"Fabricação de veículos automotores, reboques e carrocerias",7539,436584,426999,448626.95,26384820.75,4.533096,4524.02958884625
