uf,atividades,unidades,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Brasil,B Indústrias extrativas,14405,231044,213818,218040.67,17327411.175,6.125228,6112.97783432929
Brasil,C Indústrias de transformação,416419,7333281,6784397,7030413.22,266643576.95,2.92332,2917.47351669455
Brasil,D Eletricidade e gás,8592,139420,132965,136214.89,12938091.705,7.321023,7306.38055400212
Brasil,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",16540,416288,400635,401362.68,17565904.313,3.373336,3366.58956107306
Brasil,F Construção,282712,2323846,1917720,1958350.31,57052830.686,2.245499,2241.00829209584
Brasil,G Comércio; reparação de veículos automotores e motocicletas,2022816,11487839,9073743,9249049.1,236804154.12,1.973415,1969.46777621463
Brasil,"H Transporte, armazenagem e correio",268347,2667414,2362026,2459496.72,88088421.899,2.76057,2755.04837988531
Brasil,I Alojamento e alimentação,314887,2313271,1924387,1939248.11,38608184.396,1.534518,1531.4493915654
Brasil,J Informação e comunicação,169473,1148928,919576,923316.39,57232180.096,4.777667,4768.11138595731
Brasil,"K Atividades financeiras, de seguros e serviços relacionados",171964,1236551,1036591,1047888.06,84633849.3,6.225229,6212.77820457273
Brasil,L Atividades imobiliárias,133860,372947,159743,160080.41,5072345.573,2.442287,2437.40273211636
Brasil,"M Atividades profissionais, científicas e técnicas",393315,1635375,1080800,1062514.16,47975139.255,3.480227,3473.26696079767
Brasil,N Atividades administrativas e serviços complementares,535279,5198817,4618939,4580108.91,116456550.267,1.959811,1955.89151926621
Brasil,"O Administração pública, defesa e seguridade social",22058,7669570,7669320,7836906.21,449176595.942,4.417724,4408.88852256563
Brasil,P Educação,208759,3466089,3257466,3380526.19,164155108.375,3.742796,3735.31081232243
Brasil,Q Saúde humana e serviços sociais,305413,3538232,3066308,3051540.06,115332371.591,2.913119,2907.29294624282
Brasil,"R Artes, cultura, esporte e recreação",77145,365035,275364,279215.13,8923267.244,2.463265,2458.33802994624
Brasil,S Outras atividades de serviços,295587,1013573,788582,789985.29,22303110.978,2.176068,2171.71628776102
Brasil,U Organismos internacionais e outras instituições extraterritoriais,270,2774,2677,2672.53,203493.489,5.868864,5857.12613429683
  Norte,Total,212318,2885286,2654033,2691771.05,97722958.215,2.798238,2792.64116163337
  Norte,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",2602,34909,31581,30975.53,683733.48,1.701352,1697.94941610113
  Norte,B Indústrias extrativas,744,27682,26818,25910.65,1594296.483,4.742604,4733.11904564339
  Norte,C Indústrias de transformação,12440,246815,232226,237017.26,7127967.534,2.317992,2313.35555445657
  Norte,D Eletricidade e gás,723,12710,12506,12955.94,947103.785,5.634492,5623.2228080473
  Norte,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",698,18531,17850,17791.11,637999.287,2.764033,2758.50513153869
  Norte,F Construção,9231,117973,105719,109103.66,2785480.506,1.967827,1963.8913234512
  Norte,G Comércio; reparação de veículos automotores e motocicletas,95466,604979,500360,505453.66,10538001.468,1.606952,1603.73850599571
  Norte,"H Transporte, armazenagem e correio",9081,113765,104332,109506.25,3163579.359,2.226722,2222.26821194786
  Norte,I Alojamento e alimentação,10006,79453,68281,69285.63,1183706.68,1.316822,1314.18823787847
  Norte,J Informação e comunicação,3686,29571,25588,26195.48,867792.096,2.55338,2548.27314307072
  Norte,"K Atividades financeiras, de seguros e serviços relacionados",3801,38044,34853,34609.4,2181723.931,4.858831,4849.1137601123
  Norte,L Atividades imobiliárias,2299,,,,,,
  Norte,"M Atividades profissionais, científicas e técnicas",11781,55081,40176,41211.24,1610163.238,3.011482,3005.45944784444
  Norte,N Atividades administrativas e serviços complementares,12094,205231,192037,189609.13,3889060.397,1.580926,1577.76417241576
  Norte,"O Administração pública, defesa e seguridade social",2076,794783,794765,809465.04,40153603.949,3.823425,3815.77784422622
  Norte,P Educação,10305,252459,244166,250835.17,12573407.389,3.863587,3855.85954222141
  Norte,Q Saúde humana e serviços sociais,11071,189740,173690,172583.49,6619129.282,2.956159,2950.24623110285
  Norte,"R Artes, cultura, esporte e recreação",2102,11822,9500,9667.14,232480.531,1.853594,1849.8871195856
  Norte,S Outras atividades de serviços,12102,42935,34264,34307.13,808479.408,1.816397,1812.76381009743
  Norte,U Organismos internacionais e outras instituições extraterritoriais,10,,,,,,
    Rondônia,Total,36307,372332,329874,333709.29,11205168.106,2.588071,2582.89485484161
    Rondônia,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",375,1849,1362,1331.38,27368.287,1.584425,1581.25617491163
    Rondônia,B Indústrias extrativas,201,1565,1298,1475.35,38998.527,2.037414,2033.33899909018
    Rondônia,C Indústrias de transformação,2442,37147,34042,35473.67,780534.084,1.695945,1692.55347373461
    Rondônia,D Eletricidade e gás,85,2638,2561,2571.57,208784.198,6.257853,6245.33764318176
    Rondônia,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",122,2038,1891,1860.94,86718.912,3.591762,3584.57851325757
    Rondônia,F Construção,1350,10562,8680,8709.6,200041.296,1.770303,1766.76219344172
    Rondônia,G Comércio; reparação de veículos automotores e motocicletas,16385,102006,82131,82715.03,1782227.417,1.660752,1657.43053822634
    Rondônia,"H Transporte, armazenagem e correio",2008,15735,13628,14249.04,373700.132,2.021453,2017.41057643182
    Rondônia,I Alojamento e alimentação,1720,11299,9279,9255.23,156124.198,1.300197,1297.59646084513
    Rondônia,J Informação e comunicação,626,4038,3330,3348.32,84594.247,1.947332,1943.43723695189
    Rondônia,"K Atividades financeiras, de seguros e serviços relacionados",773,6740,5978,5858.42,317534.746,4.177696,4169.34082778423
    Rondônia,L Atividades imobiliárias,363,1270,718,719.04,14209.56,1.523189,1520.14224093663
    Rondônia,"M Atividades profissionais, científicas e técnicas",2036,8597,5985,5943.53,206951.983,2.683807,2678.43912753739
    Rondônia,N Atividades administrativas e serviços complementares,1814,18791,16678,17042.22,367251.285,1.660976,1657.65368867165
    Rondônia,"O Administração pública, defesa e seguridade social",219,109520,109520,109994.24,5461454.83,3.827053,3819.39917944794
    Rondônia,P Educação,1139,14726,13660,14122.7,658894.289,3.596037,3588.84463147437
    Rondônia,Q Saúde humana e serviços sociais,1841,16220,13451,13429.78,321299.407,1.844026,1840.33833763472
    Rondônia,"R Artes, cultura, esporte e recreação",343,1332,984,937.72,15784.56,1.297434,1294.83952893926
    Rondônia,S Outras atividades de serviços,2465,6259,4698,4671.51,102696.148,1.694427,1691.03859187023
    Rondônia,U Organismos internacionais e outras instituições extraterritoriais,-,-,-,-,-,-,-
    Acre,Total,9695,140114,130745,130049.81,4805062.891,2.847839,2842.14350166767
    Acre,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",83,564,451,467.32,8299.129,1.368813,1366.07579059646
    Acre,B Indústrias extrativas,20,,,,,,
    Acre,C Indústrias de transformação,580,6190,5543,5577.45,102087.95,1.410798,1407.97662565675
    Acre,D Eletricidade e gás,13,538,536,597.97,30377.118,3.915555,3907.72343865977
    Acre,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",23,1074,1052,1147.68,44136.921,2.964199,2958.27039700158
    Acre,F Construção,396,,,,,,
    Acre,G Comércio; reparação de veículos automotores e motocicletas,4520,29177,24683,25272.59,497403.781,1.516999,1513.96549810258
    Acre,"H Transporte, armazenagem e correio",267,3040,2807,2830.84,81851.193,2.228619,2224.16159704703
    Acre,I Alojamento e alimentação,565,3593,3003,3119.56,49145.823,1.214281,1211.85292896335
    Acre,J Informação e comunicação,147,1009,887,949.04,28392.261,2.305906,2301.29402019206
